Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 071, P, 0, 0, 0, 38, 18, 35, 4, 21
INVAR-1, Run: 072, P, 0, 0, 0, 38, 18, 29, 4, 15
INVAR-1, Run: 073, P, 0, 0, 0, 38, 34, 46, 20, 32
INVAR-1, Run: 074, P, 0, 0, 0, 38, 19, 34, 5, 20
INVAR-1, Run: 075, P, 0, 0, 0, 38, 21, 29, 7, 15
INVAR-1, Run: 076, P, 0, 34, 0, 4, 24, 16, 44, 36
INVAR-1, Run: 077, P, 0, 0, 0, 38, 15, 25, 1, 11
INVAR-1, Run: 078, P, 0, 35, 0, 3, 19, 13, 40, 34
INVAR-1, Run: 079, P, 0, 33, 0, 5, 16, 10, 35, 29
INVAR-1, Run: 080, P, 0, 0, 0, 38, 17, 22, 3, 8
INVAR-1, Run: 081, P, 0, 0, 0, 38, 32, 50, 18, 36
INVAR-1, Run: 082, P, 0, 0, 0, 38, 16, 21, 2, 7
INVAR-1, Run: 083, P, 0, 0, 0, 38, 20, 35, 6, 21
INVAR-1, Run: 084, P, 0, 0, 0, 38, 21, 32, 7, 18
INVAR-1, Run: 085, P, 0, 0, 0, 38, 21, 30, 7, 16
INVAR-1, Run: 086, P, 0, 0, 0, 38, 26, 54, 12, 40
INVAR-1, Run: 087, P, 0, 0, 0, 38, 16, 23, 2, 9
INVAR-1, Run: 088, P, 0, 0, 0, 38, 20, 25, 6, 11
INVAR-1, Run: 089, P, 0, 0, 0, 38, 19, 28, 5, 14
INVAR-1, Run: 090, P, 0, 0, 0, 38, 17, 26, 3, 12
INVAR-1, Run: 091, P, 0, 0, 0, 38, 31, 40, 17, 26
INVAR-1, Run: 092, P, 0, 0, 0, 38, 15, 27, 1, 13
INVAR-1, Run: 093, P, 0, 0, 0, 38, 30, 52, 16, 38
INVAR-1, Run: 094, P, 0, 0, 0, 38, 21, 29, 7, 15
INVAR-1, Run: 095, P, 0, 37, 0, 1, 27, 20, 50, 43
INVAR-1, Run: 096, P, 0, 35, 0, 3, 19, 15, 40, 36
INVAR-1, Run: 097, P, 0, 0, 0, 38, 24, 41, 10, 27
INVAR-1, Run: 098, P, 0, 0, 0, 38, 19, 40, 5, 26
INVAR-1, Run: 099, P, 0, 0, 0, 38, 22, 37, 8, 23
INVAR-1, Run: 100, P, 0, 0, 0, 38, 17, 33, 3, 19
INVAR-10, Run: 001, P, 0, 0, 0, 12, 5, 10, 0, 5
INVAR-10, Run: 002, P, 0, 9, 0, 3, 3, 2, 7, 6
INVAR-10, Run: 003, P, 0, 10, 0, 2, 3, 2, 8, 7
INVAR-10, Run: 004, P, 0, 0, 0, 12, 7, 8, 2, 3
INVAR-10, Run: 005, P, 0, 0, 0, 12, 5, 6, 0, 1
INVAR-10, Run: 006, P, 0, 0, 0, 12, 6, 11, 1, 6
INVAR-10, Run: 007, P, 0, 0, 0, 12, 11, 14, 6, 9
INVAR-10, Run: 008, P, 0, 0, 0, 12, 10, 12, 5, 7
INVAR-10, Run: 009, P, 0, 0, 0, 12, 6, 10, 1, 5
INVAR-10, Run: 010, P, 0, 10, 0, 2, 5, 6, 10, 11
INVAR-10, Run: 011, P, 0, 0, 0, 12, 9, 10, 4, 5
