Input Number, Run_Number, Result@ 100, Y, X, XP, Z, YP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 002, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 003, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 004, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 005, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 006, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 007, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 008, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 009, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 010, P, 0, 0, 10, 24, 0, 24, 24, 14, 14
INVAR-1, Run: 011, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 012, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 013, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 014, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 015, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 016, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 017, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 018, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 019, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 020, P, 0, 0, 9, 24, 0, 23, 24, 15, 15
INVAR-1, Run: 021, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 022, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 023, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 024, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 025, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 026, P, 0, 0, 9, 24, 0, 23, 24, 15, 15
INVAR-1, Run: 027, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 028, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 029, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 030, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 031, P, 0, 0, 9, 24, 0, 23, 24, 15, 15
INVAR-1, Run: 032, P, 0, 0, 9, 24, 0, 23, 24, 15, 15
INVAR-1, Run: 033, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 034, P, 0, 0, 1, 24, 0, 15, 24, 23, 23
INVAR-1, Run: 035, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 036, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 037, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 038, P, 0, 0, 0, 28, 4, 10, 24, 28, 24
INVAR-1, Run: 039, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 040, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 041, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 042, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 043, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 044, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 045, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 046, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 047, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 048, P, 0, 0, 0, 28, 4, 10, 24, 28, 24
INVAR-1, Run: 049, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 050, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 051, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 052, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 053, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 054, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 055, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 056, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 057, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 058, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 059, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 060, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 061, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 062, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 063, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 064, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 065, P, 0, 0, 0, 25, 1, 13, 24, 25, 24
