Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 054, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
INVAR-1, Run: 055, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6
INVAR-1, Run: 057, F, 0, 1, 0, 0, 0, 0, 48, 0, 2, 1, 2, 1
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
INVAR-1, Run: 060, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 062, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 064, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 065, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-1, Run: 066, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 068, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 069, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 074, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
INVAR-1, Run: 080, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 081, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6
INVAR-1, Run: 082, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2, 6
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 087, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 091, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 093, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5
INVAR-1, Run: 095, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3
INVAR-1, Run: 097, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0, 7
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2, 2
INVAR-1, Run: 100, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54
INVAR-10, Run: 002, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 003, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 004, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 005, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 006, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53
INVAR-10, Run: 007, F, 0, 1, 0, 0, 0, 0, 564, 0, 0, 1, 0, 63
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48
INVAR-10, Run: 009, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 0, 546, 0, 2, 1, 2, 45
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48
INVAR-10, Run: 015, F, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55
INVAR-10, Run: 016, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54
INVAR-10, Run: 018, F, 0, 1, 0, 0, 0, 0, 536, 0, 0, 1, 0, 35
INVAR-10, Run: 019, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 020, F, 0, 1, 0, 0, 0, 0, 558, 0, 0, 1, 0, 57
INVAR-10, Run: 021, F, 0, 1, 0, 0, 0, 0, 560, 0, 2, 1, 2, 58
INVAR-10, Run: 022, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50
INVAR-10, Run: 024, F, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47
INVAR-10, Run: 025, F, 0, 0, 0, 0, 0, 0, 544, 0, 2, 1, 2, 43
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 0, 556, 0, 0, 1, 0, 56
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42
INVAR-10, Run: 028, F, 0, 1, 0, 0, 0, 0, 560, 0, 0, 1, 0, 59
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44
INVAR-10, Run: 030, F, 0, 1, 0, 0, 0, 0, 548, 0, 2, 1, 2, 46
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52
INVAR-10, Run: 032, F, 0, 0, 0, 0, 0, 0, 558, 0, 0, 1, 0, 58
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44
INVAR-10, Run: 034, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45
INVAR-10, Run: 035, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50
INVAR-10, Run: 036, F, 0, 1, 0, 0, 0, 0, 550, 0, 2, 1, 2, 48
INVAR-10, Run: 037, F, 0, 1, 0, 0, 0, 0, 544, 0, 0, 1, 0, 43
INVAR-10, Run: 038, F, 0, 0, 0, 0, 0, 0, 556, 0, 0, 1, 0, 56
INVAR-10, Run: 039, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53
INVAR-10, Run: 040, F, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42
INVAR-10, Run: 041, F, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42
INVAR-10, Run: 042, F, 0, 0, 0, 0, 0, 0, 536, 0, 0, 1, 0, 36
INVAR-10, Run: 043, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 044, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 045, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 046, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 047, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 048, F, 0, 1, 0, 0, 0, 0, 544, 0, 0, 1, 0, 43
INVAR-10, Run: 049, F, 0, 0, 0, 0, 0, 0, 542, 0, 0, 1, 0, 42
INVAR-10, Run: 050, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41
INVAR-10, Run: 051, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46
INVAR-10, Run: 052, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49
INVAR-10, Run: 053, F, 0, 0, 0, 0, 0, 0, 554, 0, 4, 1, 4, 52
INVAR-10, Run: 054, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53
INVAR-10, Run: 055, F, 0, 0, 0, 0, 0, 0, 554, 0, 0, 1, 0, 54
INVAR-10, Run: 056, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 057, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46
INVAR-10, Run: 058, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41
INVAR-10, Run: 059, F, 0, 1, 0, 0, 0, 0, 554, 0, 2, 1, 2, 52
INVAR-10, Run: 060, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45
INVAR-10, Run: 061, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 062, F, 0, 1, 0, 0, 0, 0, 562, 0, 0, 1, 0, 61
INVAR-10, Run: 063, F, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47
INVAR-10, Run: 064, F, 0, 1, 0, 0, 0, 0, 544, 0, 0, 1, 0, 43
INVAR-10, Run: 065, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46
INVAR-10, Run: 066, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45
INVAR-10, Run: 067, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 068, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41
INVAR-10, Run: 069, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 070, F, 0, 1, 0, 0, 0, 0, 546, 0, 0, 1, 0, 45
