Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 066, F, 0, 2, 0, 82, 13, 17, 67, 72, 25
INVAR-1, Run: 067, F, 1, 0, 2, 89, 19, 24, 55, 58, 38
INVAR-1, Run: 068, F, 2, 1, 0, 92, 19, 24, 57, 49, 51
INVAR-1, Run: 069, F, 1, 0, 0, 98, 21, 26, 58, 74, 31
INVAR-1, Run: 070, F, 1, 0, 1, 97, 17, 22, 69, 64, 43
INVAR-1, Run: 071, F, 1, 0, 0, 87, 17, 22, 59, 68, 30
INVAR-1, Run: 072, F, 1, 0, 0, 95, 16, 21, 70, 77, 30
INVAR-1, Run: 073, F, 0, 2, 0, 100, 17, 21, 73, 78, 33
INVAR-1, Run: 074, F, 1, 0, 0, 103, 18, 23, 72, 86, 27
INVAR-1, Run: 075, F, 1, 0, 1, 98, 20, 25, 61, 75, 30
INVAR-1, Run: 076, F, 1, 0, 0, 90, 14, 19, 71, 80, 24
INVAR-1, Run: 077, F, 1, 0, 0, 100, 22, 27, 57, 61, 45
INVAR-1, Run: 078, F, 0, 2, 1, 124, 27, 31, 67, 77, 47
INVAR-1, Run: 079, F, 1, 0, 1, 90, 19, 24, 56, 69, 29
INVAR-1, Run: 080, F, 3, 2, 0, 83, 17, 22, 53, 54, 38
INVAR-1, Run: 081, F, 1, 0, 1, 97, 18, 23, 66, 74, 32
INVAR-1, Run: 082, F, 0, 2, 0, 103, 16, 20, 79, 78, 37
INVAR-1, Run: 083, F, 1, 0, 2, 101, 19, 24, 67, 65, 43
INVAR-1, Run: 084, F, 2, 1, 0, 100, 21, 26, 59, 76, 30
INVAR-1, Run: 085, F, 2, 1, 0, 99, 18, 23, 67, 76, 32
INVAR-1, Run: 086, F, 1, 0, 1, 92, 22, 27, 49, 55, 42
INVAR-1, Run: 087, F, 1, 0, 1, 90, 20, 25, 53, 72, 25
INVAR-1, Run: 088, F, 1, 0, 2, 103, 14, 19, 84, 81, 34
INVAR-1, Run: 089, F, 0, 2, 0, 116, 24, 28, 68, 68, 52
INVAR-1, Run: 090, F, 1, 0, 0, 126, 27, 32, 68, 83, 44
INVAR-1, Run: 091, F, 1, 0, 2, 103, 20, 25, 66, 74, 35
INVAR-1, Run: 092, F, 1, 0, 1, 88, 18, 23, 57, 63, 34
INVAR-1, Run: 093, F, 1, 0, 0, 103, 19, 24, 69, 71, 41
INVAR-1, Run: 094, F, 0, 2, 0, 91, 15, 19, 70, 79, 25
INVAR-1, Run: 095, F, 1, 0, 1, 92, 18, 23, 61, 69, 32
INVAR-1, Run: 096, F, 1, 0, 1, 109, 20, 25, 72, 73, 43
INVAR-1, Run: 097, F, 0, 2, 1, 124, 23, 27, 79, 78, 50
INVAR-1, Run: 098, F, 1, 0, 0, 92, 17, 22, 64, 66, 37
INVAR-1, Run: 099, F, 1, 0, 1, 110, 18, 23, 79, 84, 35
INVAR-1, Run: 100, F, 1, 0, 0, 83, 15, 20, 61, 68, 28
INVAR-10, Run: 001, F, 1, 0, 0, 88, 26, 29, 51, 81, 25
INVAR-10, Run: 002, F, 1, 0, 1, 86, 24, 27, 55, 63, 42
INVAR-10, Run: 003, F, 1, 0, 0, 91, 21, 24, 69, 77, 37
INVAR-10, Run: 004, F, 1, 0, 1, 111, 23, 26, 83, 89, 42
INVAR-10, Run: 005, F, 1, 0, 0, 93, 20, 23, 74, 86, 31
INVAR-10, Run: 006, F, 1, 0, 0, 97, 28, 31, 54, 81, 32
INVAR-10, Run: 007, F, 0, 2, 0, 107, 29, 31, 62, 68, 54
INVAR-10, Run: 008, F, 1, 0, 1, 97, 22, 25, 72, 82, 36
INVAR-10, Run: 009, F, 0, 2, 1, 81, 22, 24, 57, 79, 23
INVAR-10, Run: 010, F, 1, 0, 0, 105, 27, 30, 65, 89, 33
INVAR-10, Run: 011, F, 1, 0, 1, 96, 25, 28, 62, 78, 36
INVAR-10, Run: 012, F, 2, 1, 0, 110, 30, 33, 60, 85, 38
INVAR-10, Run: 013, F, 2, 1, 0, 82, 21, 24, 59, 79, 25
INVAR-10, Run: 014, F, 1, 0, 1, 94, 25, 28, 60, 81, 31
INVAR-10, Run: 015, F, 1, 3, 0, 89, 24, 26, 58, 75, 33
INVAR-10, Run: 016, F, 1, 0, 1, 98, 25, 28, 64, 70, 46
INVAR-10, Run: 017, F, 1, 0, 0, 100, 25, 28, 66, 94, 25
INVAR-10, Run: 018, F, 1, 0, 0, 103, 29, 32, 57, 70, 48
INVAR-10, Run: 019, F, 1, 0, 1, 114, 25, 28, 80, 86, 46
INVAR-10, Run: 020, F, 0, 2, 1, 101, 28, 30, 59, 89, 27
INVAR-10, Run: 021, F, 1, 0, 0, 105, 23, 26, 77, 87, 39
INVAR-10, Run: 022, F, 0, 2, 0, 96, 25, 27, 63, 68, 47
INVAR-10, Run: 023, F, 2, 1, 0, 117, 34, 37, 55, 78, 48
INVAR-10, Run: 024, F, 1, 0, 1, 99, 26, 29, 62, 74, 42
INVAR-10, Run: 025, F, 2, 1, 0, 91, 24, 27, 59, 85, 25
INVAR-10, Run: 026, F, 0, 2, 0, 96, 22, 24, 72, 87, 31
INVAR-10, Run: 027, F, 0, 2, 0, 102, 27, 29, 63, 73, 46
INVAR-10, Run: 028, F, 0, 2, 2, 97, 27, 29, 58, 74, 38
INVAR-10, Run: 029, F, 0, 2, 0, 97, 22, 24, 73, 82, 37
INVAR-10, Run: 030, F, 1, 0, 1, 109, 30, 33, 60, 83, 39
INVAR-10, Run: 031, F, 0, 2, 0, 102, 27, 29, 63, 78, 41
INVAR-10, Run: 032, F, 0, 2, 0, 118, 28, 30, 76, 91, 43
INVAR-10, Run: 033, F, 1, 0, 0, 101, 27, 30, 61, 85, 33
INVAR-10, Run: 034, F, 2, 1, 0, 90, 25, 28, 55, 73, 35
INVAR-10, Run: 035, F, 2, 1, 0, 89, 23, 26, 60, 75, 34
INVAR-10, Run: 036, F, 1, 0, 0, 106, 30, 33, 57, 57, 63
INVAR-10, Run: 037, F, 1, 0, 0, 92, 23, 26, 64, 62, 51
INVAR-10, Run: 038, F, 0, 2, 0, 98, 24, 26, 68, 79, 39
INVAR-10, Run: 039, F, 1, 0, 0, 96, 22, 25, 71, 83, 35
INVAR-10, Run: 040, F, 1, 0, 0, 119, 28, 31, 76, 100, 35
INVAR-10, Run: 041, F, 1, 0, 1, 83, 20, 23, 64, 73, 33
INVAR-10, Run: 042, F, 0, 2, 1, 110, 29, 31, 65, 84, 40
INVAR-10, Run: 043, F, 1, 0, 0, 100, 25, 28, 66, 87, 32
INVAR-10, Run: 044, F, 0, 2, 0, 97, 27, 29, 58, 66, 48
INVAR-10, Run: 045, F, 0, 2, 1, 101, 25, 27, 68, 74, 45
INVAR-10, Run: 046, F, 2, 1, 0, 90, 23, 26, 61, 62, 48
INVAR-10, Run: 047, F, 2, 1, 0, 97, 28, 31, 53, 61, 51
INVAR-10, Run: 048, F, 1, 0, 0, 101, 25, 28, 67, 84, 36
INVAR-10, Run: 049, F, 1, 0, 0, 100, 21, 24, 78, 86, 37
INVAR-10, Run: 050, F, 1, 0, 0, 95, 28, 31, 52, 61, 50
INVAR-10, Run: 051, F, 1, 0, 1, 98, 25, 28, 64, 90, 26
INVAR-10, Run: 052, F, 1, 0, 1, 110, 30, 33, 61, 78, 45
INVAR-10, Run: 053, F, 1, 0, 0, 98, 28, 31, 55, 70, 44
INVAR-10, Run: 054, F, 1, 0, 1, 79, 20, 23, 60, 77, 25
INVAR-10, Run: 055, F, 2, 1, 1, 108, 24, 27, 76, 89, 37
INVAR-10, Run: 056, F, 3, 2, 1, 114, 30, 33, 63, 82, 43
INVAR-10, Run: 057, F, 1, 0, 1, 97, 25, 28, 63, 80, 35
INVAR-10, Run: 058, F, 1, 0, 0, 110, 28, 31, 67, 72, 54
INVAR-10, Run: 059, F, 1, 0, 1, 104, 24, 27, 73, 87, 36
INVAR-10, Run: 060, F, 2, 1, 1, 91, 23, 26, 62, 66, 44
INVAR-10, Run: 061, F, 1, 0, 0, 102, 28, 31, 59, 90, 28
INVAR-10, Run: 062, F, 0, 2, 1, 88, 22, 24, 64, 90, 19
INVAR-10, Run: 063, F, 0, 2, 1, 105, 27, 29, 66, 64, 57
INVAR-10, Run: 064, F, 1, 0, 2, 96, 25, 28, 62, 73, 40
INVAR-10, Run: 065, F, 1, 3, 0, 102, 28, 30, 59, 86, 31
INVAR-10, Run: 066, F, 2, 1, 1, 100, 26, 29, 62, 78, 38
INVAR-10, Run: 067, F, 0, 2, 1, 98, 25, 27, 65, 75, 41
INVAR-10, Run: 068, F, 1, 3, 0, 89, 25, 27, 55, 75, 32
INVAR-10, Run: 069, F, 1, 0, 1, 95, 27, 30, 55, 65, 46
INVAR-10, Run: 070, F, 2, 1, 0, 99, 26, 29, 61, 82, 34
INVAR-10, Run: 071, F, 1, 0, 3, 99, 22, 25, 74, 89, 29
INVAR-10, Run: 072, F, 0, 2, 2, 90, 24, 26, 60, 78, 30
INVAR-10, Run: 073, F, 1, 0, 1, 83, 20, 23, 64, 68, 38
INVAR-10, Run: 074, F, 2, 1, 0, 88, 22, 25, 62, 77, 32
INVAR-10, Run: 075, F, 1, 0, 0, 106, 26, 29, 69, 85, 39
INVAR-10, Run: 076, F, 1, 0, 1, 100, 24, 27, 69, 79, 40
INVAR-10, Run: 077, F, 1, 0, 0, 94, 28, 31, 51, 76, 34
INVAR-10, Run: 078, F, 2, 1, 1, 100, 25, 28, 65, 71, 46
INVAR-10, Run: 079, F, 0, 2, 0, 85, 25, 27, 52, 71, 33
INVAR-10, Run: 080, F, 1, 0, 1, 100, 27, 30, 60, 68, 48
INVAR-10, Run: 081, F, 1, 0, 1, 91, 25, 28, 57, 76, 33
INVAR-10, Run: 082, F, 1, 0, 1, 110, 32, 35, 55, 69, 52
INVAR-10, Run: 083, F, 0, 2, 0, 106, 25, 27, 73, 70, 55
INVAR-10, Run: 084, F, 0, 2, 0, 77, 21, 23, 56, 84, 16
INVAR-10, Run: 085, F, 2, 1, 1, 94, 24, 27, 62, 83, 29
INVAR-10, Run: 086, F, 1, 0, 0, 81, 21, 24, 59, 71, 33
INVAR-10, Run: 087, F, 1, 0, 0, 96, 28, 31, 53, 77, 35
INVAR-10, Run: 088, F, 2, 1, 0, 98, 26, 29, 60, 78, 37
INVAR-10, Run: 089, F, 1, 0, 1, 99, 30, 33, 50, 72, 40
INVAR-10, Run: 090, F, 0, 2, 0, 95, 22, 24, 71, 82, 35
INVAR-10, Run: 091, F, 0, 2, 0, 109, 29, 31, 64, 71, 53
INVAR-10, Run: 092, F, 2, 1, 2, 100, 25, 28, 65, 79, 37
INVAR-10, Run: 093, F, 1, 0, 0, 97, 25, 28, 63, 79, 37
INVAR-10, Run: 094, F, 1, 0, 0, 101, 29, 32, 55, 81, 35
INVAR-10, Run: 095, F, 1, 0, 1, 90, 23, 26, 62, 77, 33
INVAR-10, Run: 096, F, 2, 1, 2, 98, 24, 27, 66, 94, 21
INVAR-10, Run: 097, F, 1, 0, 1, 123, 32, 35, 68, 67, 67
INVAR-10, Run: 098, F, 1, 0, 1, 113, 26, 29, 76, 73, 57
INVAR-10, Run: 099, F, 3, 2, 1, 101, 27, 30, 59, 56, 59
INVAR-10, Run: 100, F, 1, 0, 1, 87, 23, 26, 59, 66, 41
INVAR-11, Run: 001, F, 0, 0, 2, 83, 21, 35, 78, 67, 65
INVAR-11, Run: 002, F, 1, 1, 1, 77, 20, 34, 74, 72, 55
INVAR-11, Run: 003, F, 0, 0, 1, 97, 23, 37, 86, 65, 80
INVAR-11, Run: 004, F, 1, 1, 0, 92, 21, 35, 86, 73, 69
INVAR-11, Run: 005, F, 1, 1, 0, 86, 24, 38, 71, 53, 80
INVAR-11, Run: 006, F, 0, 0, 2, 84, 23, 37, 73, 67, 64
INVAR-11, Run: 007, F, 1, 1, 0, 118, 26, 40, 97, 85, 78
INVAR-11, Run: 008, F, 0, 0, 2, 105, 26, 40, 85, 72, 77
INVAR-11, Run: 009, F, 1, 1, 1, 103, 24, 38, 88, 65, 84
INVAR-11, Run: 010, F, 0, 0, 1, 106, 28, 42, 80, 89, 60
INVAR-11, Run: 011, F, 1, 1, 0, 101, 24, 38, 86, 82, 66
INVAR-11, Run: 012, F, 1, 1, 2, 97, 23, 37, 85, 70, 73
INVAR-11, Run: 013, F, 2, 2, 1, 115, 27, 41, 90, 81, 76
INVAR-11, Run: 014, F, 1, 1, 0, 102, 24, 38, 87, 72, 77
INVAR-11, Run: 015, F, 2, 2, 0, 94, 22, 36, 84, 59, 83
INVAR-11, Run: 016, F, 0, 0, 1, 113, 24, 38, 99, 81, 79
INVAR-11, Run: 017, F, 0, 0, 2, 103, 28, 42, 77, 75, 70
INVAR-11, Run: 018, F, 0, 0, 2, 116, 24, 38, 102, 89, 73
INVAR-11, Run: 019, F, 0, 0, 2, 107, 23, 37, 96, 89, 65
INVAR-11, Run: 020, F, 1, 1, 0, 111, 29, 43, 81, 76, 77
INVAR-11, Run: 021, F, 1, 1, 1, 103, 24, 38, 88, 82, 67
INVAR-11, Run: 022, F, 1, 1, 0, 93, 27, 41, 69, 69, 68
INVAR-11, Run: 023, F, 1, 1, 1, 116, 28, 42, 89, 74, 84
INVAR-11, Run: 024, F, 1, 1, 2, 108, 27, 41, 84, 72, 78
INVAR-11, Run: 025, F, 0, 0, 2, 93, 26, 40, 73, 72, 65
INVAR-11, Run: 026, F, 1, 1, 0, 117, 28, 42, 90, 74, 86
INVAR-11, Run: 027, F, 1, 1, 1, 114, 26, 40, 93, 84, 74
INVAR-11, Run: 028, F, 1, 1, 0, 88, 23, 37, 76, 70, 66
INVAR-11, Run: 029, F, 1, 1, 1, 100, 24, 38, 85, 86, 60
INVAR-11, Run: 030, F, 0, 0, 1, 94, 25, 39, 77, 76, 64
INVAR-11, Run: 031, F, 0, 0, 1, 107, 24, 38, 93, 83, 71
INVAR-11, Run: 032, F, 1, 1, 0, 112, 22, 36, 103, 84, 77
INVAR-11, Run: 033, F, 0, 0, 3, 102, 28, 42, 76, 70, 73
INVAR-11, Run: 034, F, 1, 1, 0, 108, 24, 38, 93, 78, 77
INVAR-11, Run: 035, F, 0, 0, 1, 89, 23, 37, 78, 73, 64
INVAR-11, Run: 036, F, 1, 1, 2, 92, 27, 41, 68, 64, 70
INVAR-11, Run: 037, F, 1, 1, 1, 105, 22, 36, 96, 59, 94
INVAR-11, Run: 038, F, 0, 0, 3, 116, 25, 39, 99, 82, 78
INVAR-11, Run: 039, F, 1, 1, 0, 97, 23, 37, 85, 71, 74
INVAR-11, Run: 040, F, 0, 0, 1, 85, 20, 34, 83, 58, 78
INVAR-11, Run: 041, F, 1, 1, 0, 100, 23, 37, 88, 81, 67
INVAR-11, Run: 042, F, 0, 0, 2, 101, 26, 40, 81, 70, 75
INVAR-11, Run: 043, F, 1, 1, 0, 96, 24, 38, 81, 78, 65
INVAR-11, Run: 044, F, 1, 1, 1, 91, 23, 37, 79, 62, 76
INVAR-11, Run: 045, F, 0, 0, 1, 109, 24, 38, 95, 75, 81
INVAR-11, Run: 046, F, 1, 1, 0, 102, 25, 39, 84, 68, 80
INVAR-11, Run: 047, F, 1, 1, 0, 94, 21, 35, 88, 76, 68
INVAR-11, Run: 048, F, 1, 1, 2, 98, 19, 33, 98, 76, 72
INVAR-11, Run: 049, F, 1, 1, 1, 94, 27, 41, 70, 74, 63
