Input Number, Run_Number, Result@ 100, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1, 18, 18, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 8, 1, 0, 7, 1, 9, 2, 0, 1, 17, 1, 0, 14, 6, 15, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 18, 8, 1, 0, 6, 3, 0, 11, 2, 16, 3, 0, 1, 16, 2, 0, 3, 2, 6, 3, 1, 1, 0, 9, 0, 0, 3, 1, 4, 2, 1, 0, 0, 6, 0, 1, 0, 2, 1, 1, 15, 3, 0, 10, 3, 2, 14, 3, 1, 1, 1, 1, 1, 4, 0, 7, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 5, 1, 1, 5, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 15, 8, 0, 1, 8, 1, 0, 5, 3, 8, 5, 2, 1, 15, 3, 0, 4, 2, 8, 3, 1, 1, 1, 9, 0, 0, 28, 8, 29, 9, 1, 0, 0, 2, 0, 11, 0, 12, 1, 1, 16, 2, 0, 20, 1, 2, 23, 3, 1, 1, 1, 1, 1, 2, 0, 6, 1, 21, 3, 0, 0, 0, 0, 0, 0, 0, 3, 8, 1, 13, 2, 0, 6, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 18, 9, 0, 0, 9, 0, 0, 31, 4, 32, 5, 0, 1, 17, 1, 0, 2, 0, 4, 1, 1, 1, 0, 9, 0, 0, 0, 1, 1, 2, 1, 0, 0, 11, 0, 0, 0, 1, 1, 1, 16, 2, 0, 6, 2, 1, 9, 2, 1, 1, 1, 1, 1, 3, 0, 12, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 6, 1, 1, 6, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 1, 0, 0, 0, 0, 0, 54, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 32, 8, 32, 8, 2, 0, 18, 0, 0, 17, 7, 18, 8, 1, 1, 0, 9, 0, 0, 5, 0, 6, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 17, 1, 0, 3, 12, 2, 5, 3, 1, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 9, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 8, 1, 0, 28, 8, 30, 9, 2, 1, 17, 1, 0, 17, 1, 19, 2, 1, 1, 0, 9, 0, 0, 10, 0, 10, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 17, 1, 0, 8, 11, 4, 9, 4, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 12, 2, 13, 3, 1, 1, 16, 2, 0, 12, 3, 15, 4, 1, 1, 0, 9, 0, 0, 17, 2, 18, 3, 1, 0, 0, 26, 0, 1, 0, 2, 1, 1, 16, 2, 0, 4, 6, 1, 7, 2, 1, 1, 1, 1, 1, 5, 0, 28, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1, 2, 2, 1, 4, 0, 0, 33, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 0, 0, 6, 3, 0, 34, 13, 38, 14, 0, 1, 14, 4, 0, 34, 10, 39, 11, 1, 1, 0, 9, 0, 0, 3, 0, 4, 1, 1, 0, 0, 7, 0, 0, 0, 1, 1, 1, 16, 1, 1, 23, 3, 4, 25, 5, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 15, 9, 0, 0, 8, 0, 0, 1, 1, 2, 2, 2, 1, 16, 1, 0, 7, 2, 9, 3, 1, 1, 0, 8, 0, 0, 17, 5, 18, 6, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 16, 1, 0, 3, 0, 0, 5, 1, 1, 1, 1, 1, 1, 0, 0, 5, 0, 0, 0, 0, 27, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 25, 0, 0, 4, 0, 0, 3, 1, 4, 1, 2, 1
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 12, 3, 13, 4, 2, 1, 16, 2, 0, 30, 9, 33, 10, 1, 1, 0, 9, 0, 0, 1, 0, 2, 1, 1, 0, 0, 7, 0, 4, 0, 5, 1, 1, 16, 1, 1, 10, 0, 4, 13, 6, 1, 1, 1, 1, 1, 5, 0, 10, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 3, 17, 3, 0, 4, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
