Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 2, 0, 1, 0, 1, 1, 3, 2, 0, 0, 3, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 112, 19, 101, 97, 0, 102, 101, 105, 102, 109, 16, 110, 15, 0, 50, 21, 62, 64, 28, 28, 24, 87, 113, 83, 82, 89, 89, 58, 58, 58, 40, 42, 37, 109, 37, 20, 59, 18, 59, 59, 22, 22, 140, 76, 83, 16, 16
INVAR-1, Run: 002, F, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 1, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 99, 12, 115, 145, 0, 95, 95, 111, 111, 43, 16, 97, 16, 0, 23, 23, 31, 86, 14, 13, 11, 96, 85, 94, 91, 84, 84, 82, 81, 77, 45, 46, 11, 81, 10, 23, 19, 32, 20, 20, 23, 23, 75, 43, 104, 10, 10
INVAR-1, Run: 003, F, 1, 3, 0, 1, 0, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 3, 1, 0, 0, 0, 0, 0, 1, 94, 14, 90, 86, 0, 93, 91, 99, 97, 59, 16, 91, 16, 0, 35, 24, 37, 79, 23, 23, 21, 98, 99, 89, 87, 98, 95, 95, 94, 73, 46, 41, 27, 99, 27, 16, 24, 27, 24, 24, 25, 25, 110, 72, 77, 16, 16
INVAR-1, Run: 004, F, 1, 2, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 89, 18, 96, 104, 0, 93, 92, 108, 108, 44, 19, 87, 19, 0, 21, 28, 29, 81, 8, 8, 16, 97, 87, 86, 86, 101, 100, 87, 87, 92, 58, 57, 11, 86, 11, 29, 23, 34, 23, 23, 28, 28, 69, 39, 80, 24, 24
INVAR-1, Run: 005, F, 1, 1, 1, 1, 0, 1, 2, 3, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 102, 21, 110, 87, 0, 125, 123, 123, 120, 56, 17, 101, 16, 0, 33, 27, 46, 82, 9, 9, 14, 95, 83, 98, 97, 106, 106, 102, 101, 105, 59, 53, 18, 82, 17, 25, 22, 46, 23, 23, 28, 28, 100, 54, 90, 16, 15
INVAR-1, Run: 006, F, 1, 0, 1, 1, 0, 1, 2, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 1, 0, 128, 15, 100, 83, 0, 101, 99, 97, 95, 80, 26, 128, 25, 0, 40, 29, 58, 82, 22, 22, 25, 107, 132, 100, 100, 101, 99, 108, 107, 95, 59, 70, 33, 131, 33, 36, 40, 34, 40, 40, 34, 33, 149, 91, 86, 20, 19
INVAR-1, Run: 007, F, 1, 2, 1, 1, 0, 1, 2, 4, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 102, 22, 98, 107, 0, 106, 104, 106, 102, 56, 54, 100, 53, 0, 30, 44, 35, 81, 17, 16, 12, 92, 123, 91, 90, 103, 103, 106, 105, 111, 75, 93, 34, 120, 33, 47, 25, 36, 26, 26, 45, 45, 99, 63, 77, 33, 32
INVAR-1, Run: 008, F, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 1, 3, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 108, 29, 114, 99, 0, 104, 104, 117, 115, 40, 32, 107, 30, 0, 25, 36, 42, 79, 14, 14, 19, 96, 105, 61, 61, 85, 85, 101, 101, 97, 81, 66, 22, 100, 22, 27, 15, 16, 15, 15, 39, 39, 117, 75, 85, 23, 22
INVAR-1, Run: 009, F, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 3, 3, 3, 0, 0, 0, 2, 1, 108, 10, 86, 62, 0, 100, 100, 80, 79, 72, 18, 108, 18, 0, 45, 24, 42, 83, 0, 0, 0, 81, 127, 67, 67, 94, 91, 95, 92, 88, 57, 64, 4, 127, 4, 37, 27, 28, 27, 27, 27, 25, 106, 64, 76, 11, 11
INVAR-1, Run: 010, F, 1, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 94, 22, 74, 88, 0, 83, 83, 84, 82, 50, 48, 92, 48, 0, 25, 37, 26, 83, 19, 19, 10, 92, 100, 82, 81, 92, 91, 91, 90, 107, 76, 82, 15, 98, 14, 44, 22, 31, 23, 23, 38, 38, 92, 66, 53, 36, 36
