Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 0, 1, 20, 0, 1, 4, 18, 4, 1, 20, 2, 4
INVAR-1, Run: 002, P, 2, 0, 0, 19, 0, 0, 5, 16, 5, 0, 20, 1, 5
INVAR-1, Run: 003, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 004, P, 0, 0, 2, 20, 0, 2, 3, 19, 4, 1, 19, 3, 3
INVAR-1, Run: 005, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 006, P, 1, 0, 0, 19, 0, 0, 5, 17, 5, 0, 20, 2, 5
INVAR-1, Run: 007, P, 1, 0, 0, 20, 0, 0, 5, 18, 4, 1, 19, 4, 5
INVAR-1, Run: 008, P, 0, 0, 1, 19, 0, 1, 4, 19, 5, 0, 19, 4, 4
INVAR-1, Run: 009, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 010, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 011, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 012, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 013, P, 1, 0, 0, 20, 0, 0, 5, 16, 4, 1, 21, 0, 5
INVAR-1, Run: 014, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 015, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 016, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 017, P, 0, 0, 2, 19, 0, 2, 3, 19, 5, 0, 19, 3, 3
INVAR-1, Run: 018, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 019, P, 5, 0, 0, 21, 0, 0, 5, 14, 3, 2, 19, 0, 5
INVAR-1, Run: 020, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 021, P, 3, 0, 0, 19, 0, 0, 5, 15, 5, 0, 20, 0, 5
INVAR-1, Run: 022, P, 0, 0, 0, 21, 0, 0, 5, 17, 3, 2, 21, 1, 5
INVAR-1, Run: 023, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 024, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 025, P, 0, 0, 2, 19, 0, 2, 3, 19, 5, 0, 19, 3, 3
INVAR-1, Run: 026, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 027, P, 11, 0, 0, 19, 0, 0, 5, 11, 5, 0, 16, 0, 5
INVAR-1, Run: 028, P, 2, 0, 0, 21, 0, 0, 5, 16, 3, 2, 20, 1, 5
INVAR-1, Run: 029, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 030, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 031, P, 2, 0, 0, 19, 0, 0, 5, 16, 5, 0, 20, 1, 5
INVAR-1, Run: 032, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 033, P, 5, 0, 0, 19, 0, 0, 5, 15, 5, 0, 18, 2, 5
INVAR-1, Run: 034, P, 2, 0, 0, 20, 0, 0, 5, 16, 4, 1, 20, 1, 5
INVAR-1, Run: 035, P, 7, 0, 0, 19, 0, 0, 5, 13, 5, 0, 18, 0, 5
INVAR-1, Run: 036, P, 2, 0, 0, 19, 0, 0, 5, 16, 5, 0, 20, 1, 5
INVAR-1, Run: 037, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 038, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 039, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 040, P, 1, 0, 0, 19, 0, 0, 5, 17, 5, 0, 20, 2, 5
INVAR-1, Run: 041, P, 0, 0, 0, 20, 0, 0, 5, 19, 4, 1, 19, 5, 5
INVAR-1, Run: 042, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 043, P, 3, 0, 0, 20, 0, 0, 5, 15, 4, 1, 20, 0, 5
INVAR-1, Run: 044, P, 0, 0, 0, 20, 0, 0, 5, 19, 4, 1, 19, 5, 5
INVAR-1, Run: 045, P, 0, 0, 0, 20, 0, 0, 5, 17, 4, 1, 21, 1, 5
INVAR-1, Run: 046, P, 2, 0, 0, 19, 0, 0, 5, 16, 5, 0, 20, 1, 5
INVAR-1, Run: 047, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 048, P, 11, 0, 0, 19, 0, 0, 5, 12, 5, 0, 15, 2, 5
INVAR-1, Run: 049, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 050, P, 1, 0, 0, 20, 0, 0, 5, 16, 4, 1, 21, 0, 5
INVAR-1, Run: 051, P, 0, 0, 1, 20, 0, 1, 4, 19, 4, 1, 19, 4, 4
INVAR-1, Run: 052, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 053, P, 4, 0, 0, 21, 0, 0, 5, 15, 3, 2, 19, 1, 5
INVAR-1, Run: 054, P, 1, 0, 0, 20, 0, 0, 5, 17, 4, 1, 20, 2, 5
INVAR-1, Run: 055, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 056, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 057, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 058, P, 0, 0, 1, 19, 0, 1, 4, 19, 5, 0, 19, 4, 4
INVAR-1, Run: 059, P, 2, 0, 0, 20, 0, 0, 5, 16, 4, 1, 20, 1, 5
INVAR-1, Run: 060, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 061, P, 0, 0, 1, 19, 0, 1, 4, 17, 5, 0, 21, 0, 4
INVAR-1, Run: 062, P, 0, 0, 0, 20, 0, 0, 5, 17, 4, 1, 21, 1, 5
INVAR-1, Run: 063, P, 6, 0, 0, 19, 0, 0, 5, 16, 5, 0, 16, 5, 5
INVAR-1, Run: 064, P, 0, 0, 1, 19, 0, 1, 4, 18, 5, 0, 20, 2, 4
INVAR-1, Run: 065, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 066, P, 13, 0, 0, 20, 0, 0, 5, 10, 4, 1, 15, 0, 5
INVAR-1, Run: 067, P, 0, 0, 2, 19, 0, 2, 3, 18, 5, 0, 20, 1, 3
INVAR-1, Run: 068, P, 0, 0, 0, 20, 0, 0, 5, 18, 4, 1, 20, 3, 5
INVAR-1, Run: 069, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 070, P, 0, 0, 0, 20, 0, 0, 5, 17, 4, 1, 21, 1, 5
INVAR-1, Run: 071, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 072, P, 1, 0, 0, 21, 0, 0, 5, 16, 3, 2, 21, 0, 5
INVAR-1, Run: 073, P, 2, 0, 0, 19, 0, 0, 5, 16, 5, 0, 20, 1, 5
INVAR-1, Run: 074, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 075, P, 0, 0, 0, 20, 0, 0, 5, 18, 4, 1, 20, 3, 5
INVAR-1, Run: 076, P, 1, 0, 0, 19, 0, 0, 5, 18, 5, 0, 19, 4, 5
INVAR-1, Run: 077, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 078, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 079, P, 0, 0, 0, 19, 0, 0, 5, 18, 5, 0, 20, 3, 5
INVAR-1, Run: 080, P, 0, 0, 1, 20, 0, 1, 4, 18, 4, 1, 20, 2, 4
INVAR-1, Run: 081, P, 1, 0, 0, 19, 0, 0, 5, 17, 5, 0, 20, 2, 5
INVAR-1, Run: 082, P, 0, 0, 0, 20, 0, 0, 5, 17, 4, 1, 21, 1, 5
INVAR-1, Run: 083, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 084, P, 0, 0, 2, 19, 0, 2, 3, 19, 5, 0, 19, 3, 3
INVAR-1, Run: 085, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 086, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 087, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 088, P, 0, 0, 0, 19, 0, 0, 5, 17, 5, 0, 21, 1, 5
INVAR-1, Run: 089, P, 0, 0, 0, 21, 0, 0, 5, 18, 3, 2, 20, 3, 5
INVAR-1, Run: 090, P, 0, 0, 0, 19, 0, 0, 5, 19, 5, 0, 19, 5, 5
INVAR-1, Run: 091, P, 0, 0, 0, 20, 0, 0, 5, 18, 4, 1, 20, 3, 5
INVAR-1, Run: 092, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 093, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 094, P, 1, 0, 0, 19, 0, 0, 5, 17, 5, 0, 20, 2, 5
INVAR-1, Run: 095, P, 1, 0, 0, 19, 0, 0, 5, 17, 5, 0, 20, 2, 5
INVAR-1, Run: 096, P, 1, 0, 0, 19, 0, 0, 5, 16, 5, 0, 21, 0, 5
INVAR-1, Run: 097, P, 0, 0, 2, 19, 0, 2, 3, 18, 5, 0, 20, 1, 3
INVAR-1, Run: 098, P, 2, 0, 0, 20, 0, 0, 5, 16, 4, 1, 20, 1, 5
INVAR-1, Run: 099, P, 0, 0, 1, 19, 0, 1, 4, 20, 5, 0, 18, 6, 4
INVAR-1, Run: 100, P, 0, 0, 2, 19, 0, 2, 3, 18, 5, 0, 20, 1, 3
INVAR-10, Run: 001, P, 0, 0, 0, 3, 0, 0, 5, 8, 2, 3, 10, 3, 5
INVAR-10, Run: 002, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 003, P, 0, 0, 0, 3, 0, 0, 5, 8, 2, 3, 10, 3, 5
INVAR-10, Run: 004, P, 0, 0, 1, 2, 0, 1, 4, 9, 3, 2, 9, 4, 4
INVAR-10, Run: 005, P, 0, 0, 0, 1, 0, 0, 5, 8, 4, 1, 10, 3, 5
INVAR-10, Run: 006, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 007, P, 0, 0, 1, 2, 0, 1, 4, 8, 3, 2, 10, 2, 4
INVAR-10, Run: 008, P, 0, 0, 2, 2, 0, 2, 3, 8, 3, 2, 10, 1, 3
INVAR-10, Run: 009, P, 0, 0, 0, 1, 0, 0, 5, 8, 4, 1, 10, 3, 5
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 5, 8, 5, 0, 10, 3, 5
INVAR-10, Run: 011, P, 0, 0, 2, 1, 0, 2, 3, 9, 4, 1, 9, 3, 3
INVAR-10, Run: 012, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 013, P, 1, 0, 0, 1, 0, 0, 5, 7, 4, 1, 10, 2, 5
INVAR-10, Run: 014, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 015, P, 0, 0, 1, 1, 0, 1, 4, 9, 4, 1, 9, 4, 4
INVAR-10, Run: 016, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 017, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 018, P, 0, 0, 1, 1, 0, 1, 4, 8, 4, 1, 10, 2, 4
INVAR-10, Run: 019, P, 0, 0, 1, 2, 0, 1, 4, 9, 3, 2, 9, 4, 4
INVAR-10, Run: 020, P, 0, 0, 1, 1, 0, 1, 4, 9, 4, 1, 9, 4, 4
INVAR-10, Run: 021, P, 4, 0, 0, 2, 0, 0, 5, 6, 3, 2, 8, 3, 5
INVAR-10, Run: 022, P, 0, 0, 1, 3, 0, 1, 4, 9, 2, 3, 9, 4, 4
INVAR-10, Run: 023, P, 0, 0, 1, 2, 0, 1, 4, 8, 3, 2, 10, 2, 4
INVAR-10, Run: 024, P, 0, 0, 1, 1, 0, 1, 4, 7, 4, 1, 11, 0, 4
INVAR-10, Run: 025, P, 0, 0, 1, 3, 0, 1, 4, 8, 2, 3, 10, 2, 4
INVAR-10, Run: 026, P, 1, 0, 0, 1, 0, 0, 5, 6, 4, 1, 11, 0, 5
INVAR-10, Run: 027, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 028, P, 0, 0, 1, 2, 0, 1, 4, 7, 3, 2, 11, 0, 4
INVAR-10, Run: 029, P, 0, 0, 1, 2, 0, 1, 4, 7, 3, 2, 11, 0, 4
INVAR-10, Run: 030, P, 0, 0, 1, 3, 0, 1, 4, 9, 2, 3, 9, 4, 4
INVAR-10, Run: 031, P, 2, 0, 0, 2, 0, 0, 5, 7, 3, 2, 9, 3, 5
INVAR-10, Run: 032, P, 0, 0, 2, 1, 0, 2, 3, 8, 4, 1, 10, 1, 3
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 5, 7, 5, 0, 11, 1, 5
INVAR-10, Run: 034, P, 0, 0, 2, 1, 0, 2, 3, 8, 4, 1, 10, 1, 3
INVAR-10, Run: 035, P, 0, 0, 0, 1, 0, 0, 5, 8, 4, 1, 10, 3, 5
INVAR-10, Run: 036, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 037, P, 0, 0, 1, 2, 0, 1, 4, 7, 3, 2, 11, 0, 4
INVAR-10, Run: 038, P, 0, 0, 0, 1, 0, 0, 5, 9, 4, 1, 9, 5, 5
INVAR-10, Run: 039, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 5, 7, 5, 0, 11, 1, 5
INVAR-10, Run: 041, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 042, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 043, P, 0, 0, 1, 1, 0, 1, 4, 8, 4, 1, 10, 2, 4
INVAR-10, Run: 044, P, 0, 0, 1, 2, 0, 1, 4, 9, 3, 2, 9, 4, 4
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 5, 8, 5, 0, 10, 3, 5
