Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 12, 91, 9, 6, 2, 7, 18, 27, 19, 91
INVAR-1, Run: 002, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 20, 71, 9, 4, 4, 8, 18, 27, 28, 71
INVAR-1, Run: 003, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 7, 70, 9, 5, 3, 6, 18, 27, 13, 70
INVAR-1, Run: 004, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 66, 9, 5, 3, 7, 18, 27, 18, 66
INVAR-1, Run: 005, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 15, 115, 9, 8, 0, 7, 18, 27, 22, 115
INVAR-1, Run: 006, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 4, 90, 9, 7, 1, 6, 18, 27, 10, 90
INVAR-1, Run: 007, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 79, 9, 6, 2, 7, 18, 27, 15, 79
INVAR-1, Run: 008, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 8, 71, 9, 5, 3, 5, 18, 27, 13, 71
INVAR-1, Run: 009, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 8, 75, 9, 5, 3, 5, 18, 27, 13, 75
INVAR-1, Run: 010, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 6, 97, 9, 8, 0, 7, 18, 27, 13, 97
INVAR-1, Run: 011, P, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 12, 18, 4, 89, 9, 7, 1, 3, 18, 27, 7, 89
INVAR-1, Run: 012, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 6, 120, 9, 6, 2, 6, 18, 27, 12, 120
