Input Number, Run_Number, Result@ 100, Y, X1, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 093, P, 14, 0, 0, 1385, 38, 24
INVAR-1, Run: 094, P, 14, 0, 0, 1376, 38, 24
INVAR-1, Run: 095, P, 14, 0, 0, 1392, 38, 24
INVAR-1, Run: 096, P, 14, 0, 0, 1307, 38, 24
INVAR-1, Run: 097, P, 14, 0, 0, 1356, 38, 24
INVAR-1, Run: 098, P, 14, 0, 0, 1464, 38, 24
INVAR-1, Run: 099, P, 14, 0, 0, 1410, 38, 24
INVAR-1, Run: 100, P, 14, 0, 0, 1369, 38, 24
INVAR-10, Run: 001, P, 8, 0, 0, 826, 50, 42
INVAR-10, Run: 002, P, 8, 0, 0, 743, 50, 42
INVAR-10, Run: 003, P, 8, 0, 0, 751, 50, 42
INVAR-10, Run: 004, P, 8, 0, 0, 763, 50, 42
INVAR-10, Run: 005, P, 8, 0, 0, 707, 50, 42
INVAR-10, Run: 006, P, 8, 0, 0, 785, 50, 42
INVAR-10, Run: 007, P, 8, 0, 0, 790, 50, 42
INVAR-10, Run: 008, P, 8, 0, 0, 824, 50, 42
INVAR-10, Run: 009, P, 8, 0, 0, 764, 50, 42
INVAR-10, Run: 010, P, 8, 0, 0, 779, 50, 42
INVAR-10, Run: 011, P, 8, 0, 0, 755, 50, 42
INVAR-10, Run: 012, P, 8, 0, 0, 812, 50, 42
INVAR-10, Run: 013, P, 8, 0, 0, 782, 50, 42
INVAR-10, Run: 014, P, 8, 0, 0, 782, 50, 42
INVAR-10, Run: 015, P, 8, 0, 0, 774, 50, 42
INVAR-10, Run: 016, P, 8, 0, 0, 802, 50, 42
INVAR-10, Run: 017, P, 8, 0, 0, 779, 50, 42
INVAR-10, Run: 018, P, 8, 0, 0, 806, 50, 42
INVAR-10, Run: 019, P, 8, 0, 0, 779, 50, 42
INVAR-10, Run: 020, P, 8, 0, 0, 790, 50, 42
INVAR-10, Run: 021, P, 8, 0, 0, 793, 50, 42
INVAR-10, Run: 022, P, 8, 0, 0, 787, 50, 42
INVAR-10, Run: 023, P, 8, 0, 0, 810, 50, 42
INVAR-10, Run: 024, P, 8, 0, 0, 811, 50, 42
INVAR-10, Run: 025, P, 8, 0, 0, 805, 50, 42
INVAR-10, Run: 026, P, 8, 0, 0, 773, 50, 42
INVAR-10, Run: 027, P, 8, 0, 0, 806, 50, 42
INVAR-10, Run: 028, P, 8, 0, 0, 792, 50, 42
INVAR-10, Run: 029, P, 8, 0, 0, 805, 50, 42
INVAR-10, Run: 030, P, 8, 0, 0, 750, 50, 42
INVAR-10, Run: 031, P, 8, 0, 0, 833, 50, 42
INVAR-10, Run: 032, P, 8, 0, 0, 794, 50, 42
INVAR-10, Run: 033, P, 8, 0, 0, 803, 50, 42
INVAR-10, Run: 034, P, 8, 0, 0, 728, 50, 42
INVAR-10, Run: 035, P, 8, 0, 0, 822, 50, 42
INVAR-10, Run: 036, P, 8, 0, 0, 775, 50, 42
INVAR-10, Run: 037, P, 8, 0, 0, 759, 50, 42
INVAR-10, Run: 038, P, 8, 0, 0, 777, 50, 42
INVAR-10, Run: 039, P, 8, 0, 0, 769, 50, 42
INVAR-10, Run: 040, P, 8, 0, 0, 782, 50, 42
INVAR-10, Run: 041, P, 8, 0, 0, 832, 50, 42
INVAR-10, Run: 042, P, 8, 0, 0, 801, 50, 42
INVAR-10, Run: 043, P, 8, 0, 0, 787, 50, 42
INVAR-10, Run: 044, P, 8, 0, 0, 766, 50, 42
INVAR-10, Run: 045, P, 8, 0, 0, 803, 50, 42
INVAR-10, Run: 046, P, 8, 0, 0, 843, 50, 42
INVAR-10, Run: 047, P, 8, 0, 0, 754, 50, 42
INVAR-10, Run: 048, P, 8, 0, 0, 772, 50, 42
INVAR-10, Run: 049, P, 8, 0, 0, 752, 50, 42
INVAR-10, Run: 050, P, 8, 0, 0, 723, 50, 42
INVAR-10, Run: 051, P, 8, 0, 0, 758, 50, 42
INVAR-10, Run: 052, P, 8, 0, 0, 773, 50, 42
INVAR-10, Run: 053, P, 8, 0, 0, 800, 50, 42
INVAR-10, Run: 054, P, 8, 0, 0, 810, 50, 42
INVAR-10, Run: 055, P, 8, 0, 0, 747, 50, 42
INVAR-10, Run: 056, P, 8, 0, 0, 787, 50, 42
INVAR-10, Run: 057, P, 8, 0, 0, 759, 50, 42
INVAR-10, Run: 058, P, 8, 0, 0, 759, 50, 42
INVAR-10, Run: 059, P, 8, 0, 0, 754, 50, 42
INVAR-10, Run: 060, P, 8, 0, 0, 775, 50, 42
INVAR-10, Run: 061, P, 8, 0, 0, 772, 50, 42
INVAR-10, Run: 062, P, 8, 0, 0, 743, 50, 42
INVAR-10, Run: 063, P, 8, 0, 0, 819, 50, 42
INVAR-10, Run: 064, P, 8, 0, 0, 772, 50, 42
INVAR-10, Run: 065, P, 8, 0, 0, 793, 50, 42
INVAR-10, Run: 066, P, 8, 0, 0, 813, 50, 42
INVAR-10, Run: 067, P, 8, 0, 0, 788, 50, 42
INVAR-10, Run: 068, P, 8, 0, 0, 741, 50, 42
INVAR-10, Run: 069, P, 8, 0, 0, 798, 50, 42
INVAR-10, Run: 070, P, 8, 0, 0, 769, 50, 42
INVAR-10, Run: 071, P, 8, 0, 0, 764, 50, 42
INVAR-10, Run: 072, P, 8, 0, 0, 772, 50, 42
INVAR-10, Run: 073, P, 8, 0, 0, 761, 50, 42
