Input Number, Run_Number, Result@ 100, F1P, F2P, A1, F1, A2, F2, Y
1, Run: 001, P, 2, 0, 23, 0, 33, 0, 3
1, Run: 002, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 003, P, 3, 0, 22, 0, 34, 0, 2
1, Run: 004, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 005, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 006, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 007, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 008, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 009, P, 2, 0, 21, 0, 34, 0, 3
1, Run: 010, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 011, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 012, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 013, P, 2, 0, 21, 0, 34, 0, 3
1, Run: 014, P, 4, 0, 23, 0, 34, 0, 1
1, Run: 015, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 016, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 017, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 018, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 019, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 020, P, 1, 0, 21, 0, 33, 0, 4
1, Run: 021, P, 2, 0, 21, 0, 34, 0, 3
1, Run: 022, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 023, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 024, P, 3, 0, 24, 0, 33, 0, 2
1, Run: 025, P, 4, 0, 23, 0, 34, 0, 1
1, Run: 026, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 027, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 028, P, 4, 0, 24, 0, 33, 0, 1
1, Run: 029, P, 3, 0, 22, 0, 34, 0, 2
1, Run: 030, F, 5, 0, 24, 0, 33, 0, 0
1, Run: 031, P, 1, 0, 23, 0, 33, 0, 4
1, Run: 032, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 033, P, 1, 0, 20, 0, 34, 0, 4
1, Run: 034, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 035, P, 3, 0, 23, 0, 34, 0, 2
1, Run: 036, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 037, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 038, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 039, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 040, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 041, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 042, P, 2, 0, 22, 0, 33, 0, 3
