Input Number, Run_Number, Result@ 100, U, X1, X2
1, Run: 001, F, 0, 0, 326
1, Run: 002, F, 0, 0, 302
1, Run: 003, F, 0, 0, 308
1, Run: 004, F, 0, 0, 288
1, Run: 005, F, 0, 0, 292
1, Run: 006, F, 0, 0, 300
1, Run: 007, F, 0, 0, 256
1, Run: 008, F, 0, 0, 322
1, Run: 009, F, 0, 0, 290
1, Run: 010, F, 0, 0, 350
1, Run: 011, F, 0, 0, 308
1, Run: 012, F, 0, 0, 344
1, Run: 013, F, 0, 0, 308
1, Run: 014, F, 0, 0, 302
1, Run: 015, F, 0, 306, 0
1, Run: 016, F, 0, 0, 280
1, Run: 017, F, 0, 0, 292
1, Run: 018, F, 0, 0, 268
1, Run: 019, F, 0, 0, 246
1, Run: 020, F, 0, 0, 312
1, Run: 021, F, 0, 0, 348
1, Run: 022, F, 0, 0, 316
1, Run: 023, F, 0, 0, 294
1, Run: 024, F, 0, 0, 334
1, Run: 025, F, 0, 0, 278
1, Run: 026, F, 0, 0, 320
1, Run: 027, F, 0, 0, 304
1, Run: 028, F, 0, 0, 342
1, Run: 029, F, 0, 0, 306
1, Run: 030, F, 0, 0, 306
1, Run: 031, F, 0, 0, 318
1, Run: 032, F, 0, 0, 296
1, Run: 033, F, 0, 0, 308
1, Run: 034, F, 0, 0, 318
1, Run: 035, F, 0, 306, 0
1, Run: 036, F, 0, 0, 310
1, Run: 037, F, 0, 0, 286
1, Run: 038, F, 0, 0, 342
1, Run: 039, F, 0, 0, 334
1, Run: 040, F, 0, 0, 300
1, Run: 041, F, 0, 0, 282
1, Run: 042, F, 0, 0, 298
1, Run: 043, F, 0, 0, 330
1, Run: 044, F, 0, 0, 290
1, Run: 045, F, 0, 0, 306
1, Run: 046, F, 0, 0, 296
1, Run: 047, F, 0, 0, 318
1, Run: 048, F, 0, 0, 324
1, Run: 049, F, 0, 0, 292
1, Run: 050, F, 0, 0, 300
1, Run: 051, F, 0, 0, 316
1, Run: 052, F, 0, 0, 272
1, Run: 053, F, 0, 0, 296
1, Run: 054, F, 0, 0, 318
1, Run: 055, F, 0, 302, 0
1, Run: 056, F, 0, 0, 310
1, Run: 057, F, 0, 0, 312
1, Run: 058, F, 0, 0, 308
