Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 14, 134, 9, 5, 3, 7, 22, 33, 21, 130
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 6, 93, 9, 5, 3, 6, 24, 36, 12, 87
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 5, 60, 9, 4, 4, 6, 24, 36, 11, 54
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 19, 188, 9, 4, 4, 7, 22, 33, 26, 184
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 14, 203, 9, 7, 1, 6, 24, 36, 20, 197
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 6, 103, 9, 7, 1, 6, 24, 36, 12, 97
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 10, 70, 9, 4, 4, 7, 22, 33, 17, 66
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 4, 81, 9, 8, 0, 6, 24, 36, 10, 75
INVAR-1, Run: 051, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 6, 89, 9, 6, 2, 5, 26, 39, 11, 84
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 11, 110, 9, 6, 2, 6, 24, 36, 17, 104
INVAR-1, Run: 053, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 3, 152, 9, 8, 0, 5, 26, 39, 8, 147
INVAR-1, Run: 054, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 10, 182, 9, 6, 2, 5, 26, 39, 15, 177
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 11, 155, 9, 4, 4, 6, 24, 36, 17, 149
INVAR-1, Run: 056, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 7, 121, 9, 8, 0, 5, 26, 39, 12, 116
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 15, 142, 9, 5, 3, 7, 22, 33, 22, 138
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 12, 131, 9, 6, 2, 7, 22, 33, 19, 127
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 12, 129, 9, 7, 1, 7, 22, 33, 19, 125
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 10, 96, 9, 4, 4, 7, 22, 33, 17, 92
INVAR-1, Run: 061, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 12, 132, 9, 3, 5, 5, 26, 39, 17, 127
INVAR-1, Run: 062, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 6, 106, 9, 4, 4, 5, 26, 39, 11, 101
INVAR-1, Run: 063, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 4, 120, 9, 8, 0, 5, 26, 39, 9, 115
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 12, 68, 9, 4, 4, 6, 24, 36, 18, 62
INVAR-1, Run: 065, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0, 10, 18, 11, 254, 9, 4, 4, 4, 28, 42, 15, 250
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 8, 174, 9, 8, 0, 6, 24, 36, 14, 168
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 5, 50, 9, 7, 1, 6, 24, 36, 11, 44
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 14, 78, 9, 6, 2, 8, 20, 30, 22, 76
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 16, 110, 9, 6, 2, 8, 20, 30, 24, 108
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 11, 94, 9, 7, 1, 7, 22, 33, 18, 90
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 11, 156, 9, 7, 1, 7, 22, 33, 18, 152
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 30, 229, 9, 7, 1, 6, 24, 36, 36, 223
INVAR-1, Run: 073, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0, 10, 18, 16, 289, 9, 5, 3, 4, 28, 42, 20, 285
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 3, 62, 9, 5, 3, 6, 24, 36, 9, 56
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 12, 96, 9, 6, 2, 8, 20, 30, 20, 94
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 9, 75, 9, 6, 2, 6, 24, 36, 15, 69
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 12, 100, 9, 3, 5, 6, 24, 36, 18, 94
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 9, 89, 9, 7, 1, 7, 22, 33, 16, 85
INVAR-1, Run: 079, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 6, 184, 9, 6, 2, 5, 26, 39, 11, 179
INVAR-1, Run: 080, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 9, 135, 9, 6, 2, 5, 26, 39, 14, 130
INVAR-1, Run: 081, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0, 10, 18, 6, 200, 9, 5, 3, 4, 28, 42, 10, 196
INVAR-1, Run: 082, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 11, 128, 9, 6, 2, 8, 20, 30, 19, 126
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 19, 182, 9, 6, 2, 6, 24, 36, 25, 176
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 18, 113, 9, 8, 0, 8, 20, 30, 26, 111
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 9, 93, 9, 6, 2, 6, 24, 36, 15, 87
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 6, 189, 9, 6, 2, 6, 24, 36, 12, 183
INVAR-1, Run: 087, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 10, 232, 9, 4, 4, 5, 26, 39, 15, 227
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 15, 87, 9, 7, 1, 7, 22, 33, 22, 83
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 9, 121, 9, 5, 3, 6, 24, 36, 15, 115
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 17, 237, 9, 2, 6, 6, 24, 36, 23, 231
INVAR-1, Run: 091, F, 0, 3, 0, 0, 0, 5, 0, 0, 1, 83, 0, 8, 18, 16, 101, 9, 6, 2, 5, 26, 39, 21, 96
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 12, 139, 9, 5, 3, 7, 22, 33, 19, 135
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 10, 123, 9, 5, 3, 6, 24, 36, 16, 117
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 12, 136, 9, 4, 4, 8, 20, 30, 20, 134
