Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 8, 0, 0, 1, 0, 9, 0, 18, 46, 13, 13, 46, 9, 19, 35, 9, 9, 18, 34, 17
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 18, 54, 20, 20, 54, 9, 18, 44, 9, 9, 18, 48, 24
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 9, 0, 18, 51, 19, 19, 51, 9, 21, 38, 9, 9, 18, 52, 26
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 25, 0, 0, 1, 0, 9, 0, 18, 29, 18, 18, 29, 9, 17, 20, 9, 9, 18, 10, 5
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 9, 0, 18, 43, 11, 11, 43, 9, 15, 36, 9, 9, 18, 26, 13
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 0, 18, 52, 3, 3, 52, 9, 18, 42, 9, 9, 18, 58, 29
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 4, 0, 2, 1, 2, 8, 0, 18, 50, 27, 25, 50, 9, 20, 38, 8, 9, 18, 30, 15
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 4, 0, 2, 1, 2, 8, 0, 18, 50, 9, 7, 50, 9, 24, 34, 8, 9, 18, 36, 18
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 9, 0, 18, 48, 26, 26, 48, 9, 20, 36, 9, 9, 18, 18, 9
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 4, 0, 2, 1, 2, 8, 0, 18, 50, 16, 14, 50, 9, 21, 37, 8, 9, 18, 32, 16
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 13, 0, 2, 1, 2, 8, 0, 18, 41, 14, 12, 41, 9, 19, 30, 8, 9, 18, 46, 23
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 23, 0, 2, 1, 2, 8, 0, 18, 31, 10, 8, 31, 9, 10, 29, 8, 9, 18, 22, 11
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 23, 0, 2, 1, 2, 8, 0, 18, 31, 17, 15, 31, 9, 16, 23, 8, 9, 18, 74, 37
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 21, 0, 0, 1, 0, 9, 0, 18, 33, 6, 6, 33, 9, 15, 26, 9, 9, 18, 82, 41
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 22, 0, 0, 1, 0, 9, 0, 18, 32, 11, 11, 32, 9, 21, 19, 9, 9, 18, 34, 17
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 23, 0, 0, 1, 0, 9, 0, 18, 31, 11, 11, 31, 9, 21, 18, 9, 9, 18, 86, 43
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 9, 0, 18, 43, 14, 14, 43, 9, 18, 33, 9, 9, 18, 36, 18
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 9, 0, 18, 43, 8, 8, 43, 9, 13, 38, 9, 9, 18, 40, 20
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 17, 0, 0, 1, 0, 9, 0, 18, 37, 11, 11, 37, 9, 25, 20, 9, 9, 18, 68, 34
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 9, 0, 18, 48, 14, 14, 48, 9, 20, 36, 9, 9, 18, 46, 23
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 9, 0, 18, 43, 21, 21, 43, 9, 12, 39, 9, 9, 18, 54, 27
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 9, 0, 18, 45, 15, 15, 45, 9, 20, 33, 9, 9, 18, 12, 6
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 22, 0, 2, 1, 2, 8, 0, 18, 32, 13, 11, 32, 9, 17, 23, 8, 9, 18, 24, 12
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 25, 0, 4, 1, 4, 7, 0, 18, 29, 13, 9, 29, 9, 7, 30, 7, 9, 18, 24, 12
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 3, 0, 2, 1, 2, 8, 0, 18, 51, 16, 14, 51, 9, 20, 39, 8, 9, 18, 26, 13
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 28, 0, 0, 1, 0, 9, 0, 18, 26, 13, 13, 26, 9, 15, 19, 9, 9, 18, 32, 16
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 26, 0, 0, 1, 0, 9, 0, 18, 28, 6, 6, 28, 9, 15, 21, 9, 9, 18, 12, 6
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 9, 0, 18, 47, 16, 16, 47, 9, 20, 35, 9, 9, 18, 50, 25
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 9, 0, 18, 39, 10, 10, 39, 9, 11, 36, 9, 9, 18, 12, 6
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 32, 0, 2, 1, 2, 8, 0, 18, 22, 10, 8, 22, 9, 11, 19, 8, 9, 18, 18, 9
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 0, 18, 52, 13, 13, 52, 9, 22, 38, 9, 9, 18, 34, 17
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 4, 0, 2, 1, 2, 8, 0, 18, 50, 15, 13, 50, 9, 16, 42, 8, 9, 18, 40, 20
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 7, 0, 2, 1, 2, 8, 0, 18, 47, 11, 9, 47, 9, 19, 36, 8, 9, 18, 34, 17
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 25, 0, 2, 1, 2, 8, 0, 18, 29, 16, 14, 29, 9, 11, 26, 8, 9, 18, 202, 101
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 12, 0, 2, 1, 2, 8, 0, 18, 42, 20, 18, 42, 9, 14, 36, 8, 9, 18, 52, 26
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 3, 0, 2, 1, 2, 8, 0, 18, 51, 24, 22, 51, 9, 28, 31, 8, 9, 18, 40, 20
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 3, 0, 2, 1, 2, 8, 0, 18, 51, 27, 25, 51, 9, 8, 51, 8, 9, 18, 38, 19
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 8, 0, 18, 53, 25, 23, 53, 9, 14, 47, 8, 9, 18, 38, 19
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 23, 0, 4, 1, 4, 7, 0, 18, 31, 18, 14, 31, 9, 10, 29, 7, 9, 18, 200, 100
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 9, 0, 18, 50, 14, 14, 50, 9, 21, 37, 9, 9, 18, 46, 23
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 9, 0, 18, 49, 4, 4, 49, 9, 14, 43, 9, 9, 18, 28, 14
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 0, 18, 52, 14, 14, 52, 9, 28, 32, 9, 9, 18, 36, 18
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 42, 0, 6, 1, 6, 6, 0, 18, 12, 15, 9, 12, 9, 7, 13, 6, 9, 18, 28, 14
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 21, 0, 0, 1, 0, 9, 0, 18, 33, 14, 14, 33, 9, 19, 22, 9, 9, 18, 138, 69
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 23, 0, 2, 1, 2, 8, 0, 18, 31, 12, 10, 31, 9, 9, 30, 8, 9, 18, 64, 32
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 16, 0, 2, 1, 2, 8, 0, 18, 38, 12, 10, 38, 9, 14, 32, 8, 9, 18, 54, 27
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 9, 0, 18, 42, 21, 21, 42, 9, 17, 33, 9, 9, 18, 10, 5
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 9, 0, 18, 53, 17, 17, 53, 9, 6, 55, 9, 9, 18, 36, 18
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 9, 0, 18, 49, 25, 25, 49, 9, 24, 33, 9, 9, 18, 30, 15
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 9, 0, 18, 51, 14, 14, 51, 9, 23, 36, 9, 9, 18, 38, 19
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 3, 0, 2, 1, 2, 8, 0, 18, 51, 21, 19, 51, 9, 24, 35, 8, 9, 18, 38, 19
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 14, 0, 0, 1, 0, 9, 0, 18, 40, 10, 10, 40, 9, 14, 34, 9, 9, 18, 22, 11
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 19, 0, 2, 1, 2, 8, 0, 18, 35, 15, 13, 35, 9, 11, 32, 8, 9, 18, 100, 50
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 9, 0, 18, 48, 13, 13, 48, 9, 14, 42, 9, 9, 18, 52, 26
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 12, 0, 2, 1, 2, 8, 0, 18, 42, 14, 12, 42, 9, 11, 39, 8, 9, 18, 42, 21
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 24, 0, 2, 1, 2, 8, 0, 18, 30, 8, 6, 30, 9, 19, 19, 8, 9, 18, 30, 15
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 14, 0, 2, 1, 2, 8, 0, 18, 40, 14, 12, 40, 9, 15, 33, 8, 9, 18, 40, 20
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 9, 0, 2, 1, 2, 8, 0, 18, 45, 3, 1, 45, 9, 15, 38, 8, 9, 18, 60, 30
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 14, 0, 2, 1, 2, 8, 0, 18, 40, 26, 24, 40, 9, 16, 32, 8, 9, 18, 34, 17
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 28, 0, 2, 1, 2, 8, 0, 18, 26, 15, 13, 26, 9, 11, 23, 8, 9, 18, 26, 13
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 9, 0, 18, 49, 20, 20, 49, 9, 14, 43, 9, 9, 18, 92, 46
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 13, 0, 0, 1, 0, 9, 0, 18, 41, 12, 12, 41, 9, 20, 29, 9, 9, 18, 32, 16
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 5, 0, 2, 1, 2, 8, 0, 18, 49, 18, 16, 49, 9, 17, 40, 8, 9, 18, 48, 24
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 9, 0, 18, 49, 12, 12, 49, 9, 12, 45, 9, 9, 18, 76, 38
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 9, 0, 18, 53, 10, 10, 53, 9, 14, 47, 9, 9, 18, 38, 19
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 10, 0, 2, 1, 2, 8, 0, 18, 44, 18, 16, 44, 9, 21, 31, 8, 9, 18, 48, 24
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 9, 0, 2, 1, 2, 8, 0, 18, 45, 8, 6, 45, 9, 16, 37, 8, 9, 18, 54, 27
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 16, 0, 2, 1, 2, 8, 0, 18, 38, 15, 13, 38, 9, 19, 27, 8, 9, 18, 84, 42
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 25, 0, 2, 1, 2, 8, 0, 18, 29, 12, 10, 29, 9, 11, 26, 8, 9, 18, 64, 32
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 17, 0, 2, 1, 2, 8, 0, 18, 37, 14, 12, 37, 9, 16, 29, 8, 9, 18, 30, 15
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 13, 0, 2, 1, 2, 8, 0, 18, 41, 7, 5, 41, 9, 8, 41, 8, 9, 18, 36, 18
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 14, 0, 2, 1, 2, 8, 0, 18, 40, 18, 16, 40, 9, 13, 35, 8, 9, 18, 72, 36
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 9, 0, 18, 43, 9, 9, 43, 9, 17, 34, 9, 9, 18, 52, 26
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 9, 0, 18, 42, 15, 15, 42, 9, 13, 37, 9, 9, 18, 40, 20
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 3, 0, 2, 1, 2, 8, 0, 18, 51, 9, 7, 51, 9, 19, 40, 8, 9, 18, 28, 14
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 25, 0, 4, 1, 4, 7, 0, 18, 29, 9, 5, 29, 9, 11, 26, 7, 9, 18, 44, 22
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 13, 0, 4, 1, 4, 7, 0, 18, 41, 20, 16, 41, 9, 12, 37, 7, 9, 18, 60, 30
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 18, 0, 4, 1, 4, 7, 0, 18, 36, 19, 15, 36, 9, 10, 34, 7, 9, 18, 84, 42
