Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 032, P, 1, 4, 0, 0, 2, 1, 0, 1, 5, 0, 0, 4, 1, 1, 2, 0, 0, 0, 1, 1, 1, 2, 2, 0, 1, 1, 1
INVAR-1, Run: 033, P, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 1
INVAR-1, Run: 034, P, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0
INVAR-1, Run: 035, P, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 4, 2, 1, 1, 0, 0, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 036, P, 1, 5, 1, 1, 0, 1, 3, 0, 5, 2, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 037, P, 1, 1, 0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 4, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 038, P, 1, 6, 0, 2, 2, 1, 0, 0, 2, 0, 0, 5, 0, 1, 0, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 039, P, 1, 2, 0, 1, 2, 1, 1, 0, 5, 0, 0, 0, 0, 1, 0, 2, 0, 2, 1, 2, 2, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 040, P, 1, 1, 1, 0, 0, 1, 0, 0, 3, 2, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0
INVAR-1, Run: 041, P, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1
