Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 4, 71, 9, 5, 3, 9, 18, 27, 13, 77
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 9, 0, 11, 1, 43, 0, 20, 18, 12, 96, 9, 6, 2, 9, 18, 27, 21, 107
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 9, 0, 28, 1, 26, 0, 37, 18, 9, 53, 9, 5, 3, 9, 18, 27, 18, 81
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 16, 57, 9, 5, 3, 9, 18, 27, 25, 58
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 19, 57, 9, 2, 6, 9, 18, 27, 28, 59
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 21, 91, 9, 4, 4, 9, 18, 27, 30, 91
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 9, 0, 12, 1, 42, 0, 21, 18, 7, 53, 9, 6, 2, 9, 18, 27, 16, 65
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 6, 55, 9, 6, 2, 9, 18, 27, 15, 61
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 9, 0, 18, 1, 36, 0, 27, 18, 13, 85, 9, 7, 1, 9, 18, 27, 22, 103
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 17, 92, 9, 7, 1, 9, 18, 27, 26, 118
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 9, 91, 9, 5, 3, 9, 18, 27, 18, 91
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 27, 179, 9, 5, 3, 9, 18, 27, 36, 205
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 14, 76, 9, 4, 4, 9, 18, 27, 23, 76
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0, 25, 18, 24, 109, 9, 5, 3, 9, 18, 27, 33, 125
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 12, 86, 9, 4, 4, 9, 18, 27, 21, 86
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 15, 87, 9, 5, 3, 9, 18, 27, 24, 87
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 9, 0, 22, 1, 32, 0, 31, 18, 22, 137, 9, 4, 4, 9, 18, 27, 31, 159
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 11, 83, 9, 8, 0, 9, 18, 27, 20, 87
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0, 25, 18, 18, 73, 9, 7, 1, 9, 18, 27, 27, 89
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 22, 95, 9, 6, 2, 9, 18, 27, 31, 121
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 9, 0, 23, 1, 31, 0, 32, 18, 28, 117, 9, 6, 2, 9, 18, 27, 37, 140
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 13, 41, 9, 5, 3, 9, 18, 27, 22, 41
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 9, 0, 28, 1, 26, 0, 37, 18, 3, 68, 9, 7, 1, 9, 18, 27, 12, 96
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 16, 116, 9, 6, 2, 9, 18, 27, 25, 142
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 9, 0, 40, 1, 14, 0, 49, 18, 27, 98, 9, 4, 4, 9, 18, 27, 36, 138
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 9, 0, 22, 1, 32, 0, 31, 18, 23, 124, 9, 6, 2, 9, 18, 27, 32, 146
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 9, 18, 7, 36, 9, 6, 2, 9, 18, 27, 16, 36
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 13, 51, 9, 4, 4, 9, 18, 27, 22, 53
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 9, 0, 6, 1, 48, 0, 15, 18, 12, 39, 9, 2, 6, 9, 18, 27, 21, 45
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 9, 0, 26, 1, 28, 0, 35, 18, 15, 101, 9, 5, 3, 9, 18, 27, 24, 127
