Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 187, 3, 3, 106, 13, 4, 0, 13, 18, 27, 340, 170
INVAR-1, Run: 002, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 266, 7, 7, 185, 13, 2, 2, 13, 18, 27, 302, 151
INVAR-1, Run: 003, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 145, 6, 6, 76, 11, 6, 0, 11, 14, 23, 120, 60
INVAR-1, Run: 004, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 308, 4, 4, 227, 13, 3, 1, 13, 18, 27, 376, 188
INVAR-1, Run: 005, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 250, 4, 4, 169, 13, 4, 0, 13, 18, 27, 200, 100
INVAR-1, Run: 006, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 246, 5, 5, 165, 13, 4, 0, 13, 18, 27, 354, 177
INVAR-1, Run: 007, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 239, 9, 9, 158, 13, 3, 1, 13, 18, 27, 290, 145
INVAR-1, Run: 008, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 140, 4, 4, 71, 11, 6, 0, 11, 14, 23, 176, 88
INVAR-1, Run: 009, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 259, 7, 7, 178, 13, 3, 1, 13, 18, 27, 300, 150
INVAR-1, Run: 010, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 112, 4, 4, 43, 11, 5, 1, 11, 14, 23, 108, 54
INVAR-1, Run: 011, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 281, 9, 9, 200, 13, 2, 2, 13, 18, 27, 300, 150
INVAR-1, Run: 012, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 198, 5, 5, 123, 12, 3, 2, 12, 16, 25, 262, 131
INVAR-1, Run: 013, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 284, 5, 5, 203, 13, 4, 0, 13, 18, 27, 254, 127
INVAR-1, Run: 014, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 203, 8, 8, 128, 12, 4, 1, 12, 16, 25, 312, 156
INVAR-1, Run: 015, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 219, 3, 3, 138, 13, 3, 1, 13, 18, 27, 328, 164
INVAR-1, Run: 016, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 331, 5, 5, 244, 14, 3, 0, 14, 20, 29, 344, 172
INVAR-1, Run: 017, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 209, 2, 2, 134, 12, 3, 2, 12, 16, 25, 220, 110
INVAR-1, Run: 018, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 346, 3, 3, 259, 14, 2, 1, 14, 20, 29, 426, 213
INVAR-1, Run: 019, P, 2, 0, 0, 0, 1, 0, 1, 0, 93, 93, 0, 0, 13, 31, 359, 4, 4, 266, 15, 2, 0, 15, 22, 31, 274, 137
INVAR-1, Run: 020, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 319, 4, 4, 238, 13, 4, 0, 13, 18, 27, 290, 145
INVAR-1, Run: 021, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 319, 4, 4, 238, 13, 4, 0, 13, 18, 27, 328, 164
INVAR-1, Run: 022, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 280, 6, 6, 199, 13, 3, 1, 13, 18, 27, 426, 213
INVAR-1, Run: 023, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 296, 6, 6, 215, 13, 2, 2, 13, 18, 27, 302, 151
INVAR-1, Run: 024, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 259, 5, 5, 184, 12, 3, 2, 12, 16, 25, 310, 155
INVAR-1, Run: 025, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 324, 0, 0, 243, 13, 3, 1, 13, 18, 27, 266, 133
INVAR-1, Run: 026, P, 5, 0, 1, 0, 1, 0, 1, 0, 76, 76, 0, 1, 7, 25, 204, 5, 5, 128, 12, 5, 0, 12, 15, 25, 291, 145
