Input Number, Run_Number, Result@ 100, V, Y, X
1, Run: 001, P, 10, 0, 0
1, Run: 002, P, 12, 0, 0
1, Run: 003, P, 5, 0, 0
1, Run: 004, P, 10, 0, 0
1, Run: 005, P, 7, 0, 0
1, Run: 006, P, 9, 0, 0
1, Run: 007, P, 1, 0, 0
1, Run: 008, P, 5, 0, 0
1, Run: 009, P, 4, 0, 0
1, Run: 010, P, 14, 0, 0
1, Run: 011, P, 2, 0, 0
1, Run: 012, P, 4, 0, 0
1, Run: 013, P, 1, 0, 0
1, Run: 014, P, 9, 0, 0
1, Run: 015, P, 7, 0, 0
1, Run: 016, P, 1, 0, 0
1, Run: 017, P, 10, 0, 0
1, Run: 018, P, 1, 0, 0
1, Run: 019, P, 14, 0, 0
1, Run: 020, P, 16, 0, 0
1, Run: 021, P, 4, 0, 0
1, Run: 022, P, 1, 0, 0
1, Run: 023, P, 19, 0, 0
1, Run: 024, P, 1, 0, 0
1, Run: 025, P, 2, 0, 0
1, Run: 026, P, 2, 0, 0
1, Run: 027, P, 17, 0, 0
1, Run: 028, P, 1, 0, 0
1, Run: 029, P, 1, 0, 0
1, Run: 030, P, 8, 0, 0
1, Run: 031, P, 14, 0, 0
1, Run: 032, P, 8, 0, 0
1, Run: 033, P, 6, 0, 0
1, Run: 034, P, 8, 0, 0
1, Run: 035, P, 9, 0, 0
1, Run: 036, P, 1, 0, 0
1, Run: 037, P, 1, 0, 0
1, Run: 038, P, 1, 0, 0
1, Run: 039, P, 9, 0, 0
1, Run: 040, P, 15, 0, 0
1, Run: 041, P, 1, 0, 0
1, Run: 042, P, 1, 0, 0
1, Run: 043, P, 2, 0, 0
1, Run: 044, P, 1, 0, 0
1, Run: 045, P, 14, 0, 0
1, Run: 046, P, 10, 0, 0
1, Run: 047, P, 1, 0, 0
1, Run: 048, P, 6, 0, 0
1, Run: 049, P, 3, 0, 0
1, Run: 050, P, 4, 0, 0
1, Run: 051, P, 7, 0, 0
1, Run: 052, P, 1, 0, 0
1, Run: 053, P, 11, 0, 0
1, Run: 054, P, 4, 0, 0
1, Run: 055, P, 2, 0, 0
1, Run: 056, P, 9, 0, 0
1, Run: 057, P, 13, 0, 0
1, Run: 058, P, 3, 0, 0
1, Run: 059, P, 8, 0, 0
1, Run: 060, P, 10, 0, 0
1, Run: 061, P, 6, 0, 0
1, Run: 062, P, 1, 0, 0
1, Run: 063, P, 10, 0, 0
1, Run: 064, P, 2, 0, 0
1, Run: 065, P, 1, 0, 0
1, Run: 066, P, 11, 0, 0
1, Run: 067, P, 3, 0, 0
1, Run: 068, P, 9, 0, 0
1, Run: 069, P, 3, 0, 0
1, Run: 070, P, 16, 0, 0
1, Run: 071, P, 1, 0, 0
1, Run: 072, P, 14, 0, 0
1, Run: 073, P, 8, 0, 0
1, Run: 074, P, 1, 0, 0
1, Run: 075, P, 10, 0, 0
1, Run: 076, P, 1, 0, 0
1, Run: 077, P, 15, 0, 0
1, Run: 078, P, 11, 0, 0
1, Run: 079, P, 12, 0, 0
1, Run: 080, P, 14, 0, 0
1, Run: 081, P, 1, 0, 0
1, Run: 082, P, 2, 0, 0
1, Run: 083, P, 1, 0, 0
1, Run: 084, P, 8, 0, 0
1, Run: 085, P, 7, 0, 0
1, Run: 086, P, 2, 0, 0
1, Run: 087, P, 8, 0, 0
1, Run: 088, P, 3, 0, 0
1, Run: 089, P, 8, 0, 0
1, Run: 090, P, 16, 0, 0
1, Run: 091, P, 1, 0, 0
1, Run: 092, P, 18, 0, 0
1, Run: 093, P, 4, 0, 0
1, Run: 094, P, 13, 0, 0
1, Run: 095, P, 3, 0, 0
1, Run: 096, P, 13, 0, 0
1, Run: 097, P, 4, 0, 0
1, Run: 098, P, 7, 0, 0
1, Run: 099, P, 1, 0, 0
1, Run: 100, P, 3, 0, 0
10, Run: 001, P, 18, 0, 0
10, Run: 002, P, 19, 0, 0
10, Run: 003, P, 3, 0, 0
10, Run: 004, P, 8, 0, 0
10, Run: 005, P, 4, 0, 0
10, Run: 006, P, 7, 0, 0
10, Run: 007, P, 10, 0, 0
10, Run: 008, P, 1, 0, 0
10, Run: 009, P, 15, 0, 0
10, Run: 010, P, 1, 0, 0
10, Run: 011, P, 1, 0, 0
10, Run: 012, P, 28, 0, 0
10, Run: 013, P, 14, 0, 0
10, Run: 014, P, 6, 0, 0
10, Run: 015, P, 2, 0, 0
10, Run: 016, P, 1, 0, 0
10, Run: 017, P, 1, 0, 0
10, Run: 018, P, 3, 0, 0
10, Run: 019, P, 21, 0, 0
10, Run: 020, P, 10, 0, 0
10, Run: 021, P, 9, 0, 0
10, Run: 022, P, 18, 0, 0
10, Run: 023, P, 29, 0, 0
10, Run: 024, P, 2, 0, 0
10, Run: 025, P, 12, 0, 0
10, Run: 026, P, 4, 0, 0
10, Run: 027, P, 9, 0, 0
10, Run: 028, P, 3, 0, 0
10, Run: 029, P, 11, 0, 0
10, Run: 030, P, 2, 0, 0
10, Run: 031, P, 7, 0, 0
10, Run: 032, P, 1, 0, 0
10, Run: 033, P, 1, 0, 0
10, Run: 034, P, 1, 0, 0
10, Run: 035, P, 8, 0, 0
10, Run: 036, P, 8, 0, 0
10, Run: 037, P, 1, 0, 0
10, Run: 038, P, 16, 0, 0
10, Run: 039, P, 1, 0, 0
10, Run: 040, P, 1, 0, 0
10, Run: 041, P, 1, 0, 0
10, Run: 042, P, 16, 0, 0
10, Run: 043, P, 27, 0, 0
10, Run: 044, P, 2, 0, 0
10, Run: 045, P, 10, 0, 0
10, Run: 046, P, 1, 0, 0
10, Run: 047, P, 16, 0, 0
10, Run: 048, P, 1, 0, 0
10, Run: 049, P, 4, 0, 0
10, Run: 050, P, 19, 0, 0
10, Run: 051, P, 20, 0, 0
10, Run: 052, P, 7, 0, 0
10, Run: 053, P, 15, 0, 0
10, Run: 054, P, 4, 0, 0
10, Run: 055, P, 10, 0, 0
10, Run: 056, P, 27, 0, 0
10, Run: 057, P, 8, 0, 0
10, Run: 058, P, 11, 0, 0
10, Run: 059, P, 2, 0, 0
10, Run: 060, P, 16, 0, 0
10, Run: 061, P, 1, 0, 0
10, Run: 062, P, 12, 0, 0
10, Run: 063, P, 1, 0, 0
10, Run: 064, P, 14, 0, 0
10, Run: 065, P, 7, 0, 0
10, Run: 066, P, 19, 0, 0
10, Run: 067, P, 6, 0, 0
10, Run: 068, P, 2, 0, 0
10, Run: 069, P, 1, 0, 0
10, Run: 070, P, 14, 0, 0
10, Run: 071, P, 1, 0, 0
10, Run: 072, P, 1, 0, 0
10, Run: 073, P, 11, 0, 0
10, Run: 074, P, 1, 0, 0
10, Run: 075, P, 12, 0, 0
10, Run: 076, P, 2, 0, 0
10, Run: 077, P, 24, 0, 0
10, Run: 078, P, 12, 0, 0
10, Run: 079, P, 1, 0, 0
10, Run: 080, P, 1, 0, 0
