Input Number, Run_Number, Result@ 100, V, Y, X
1, Run: 001, P, 9, 0, 0
1, Run: 002, P, 12, 0, 0
1, Run: 003, P, 3, 0, 0
1, Run: 004, P, 4, 0, 0
1, Run: 005, P, 2, 0, 0
1, Run: 006, P, 10, 0, 0
1, Run: 007, P, 1, 0, 0
1, Run: 008, P, 7, 0, 0
1, Run: 009, P, 1, 0, 0
1, Run: 010, P, 15, 0, 0
1, Run: 011, P, 1, 0, 0
1, Run: 012, P, 3, 0, 0
1, Run: 013, P, 1, 0, 0
1, Run: 014, P, 1, 0, 0
1, Run: 015, P, 5, 0, 0
1, Run: 016, P, 11, 0, 0
1, Run: 017, P, 7, 0, 0
1, Run: 018, P, 9, 0, 0
1, Run: 019, P, 1, 0, 0
1, Run: 020, P, 3, 0, 0
1, Run: 021, P, 2, 0, 0
1, Run: 022, P, 16, 0, 0
1, Run: 023, P, 3, 0, 0
1, Run: 024, P, 16, 0, 0
1, Run: 025, P, 10, 0, 0
1, Run: 026, P, 1, 0, 0
1, Run: 027, P, 1, 0, 0
1, Run: 028, P, 4, 0, 0
1, Run: 029, P, 6, 0, 0
1, Run: 030, P, 1, 0, 0
1, Run: 031, P, 4, 0, 0
1, Run: 032, P, 2, 0, 0
1, Run: 033, P, 2, 0, 0
1, Run: 034, P, 1, 0, 0
1, Run: 035, P, 5, 0, 0
1, Run: 036, P, 17, 0, 0
1, Run: 037, P, 1, 0, 0
1, Run: 038, P, 1, 0, 0
1, Run: 039, P, 1, 0, 0
1, Run: 040, P, 12, 0, 0
1, Run: 041, P, 5, 0, 0
1, Run: 042, P, 4, 0, 0
1, Run: 043, P, 17, 0, 0
1, Run: 044, P, 8, 0, 0
1, Run: 045, P, 1, 0, 0
1, Run: 046, P, 7, 0, 0
1, Run: 047, P, 10, 0, 0
1, Run: 048, P, 1, 0, 0
1, Run: 049, P, 2, 0, 0
1, Run: 050, P, 11, 0, 0
1, Run: 051, P, 1, 0, 0
1, Run: 052, P, 2, 0, 0
1, Run: 053, P, 13, 0, 0
1, Run: 054, P, 2, 0, 0
1, Run: 055, P, 4, 0, 0
1, Run: 056, P, 9, 0, 0
1, Run: 057, P, 6, 0, 0
1, Run: 058, P, 3, 0, 0
1, Run: 059, P, 2, 0, 0
1, Run: 060, P, 8, 0, 0
1, Run: 061, P, 1, 0, 0
1, Run: 062, P, 6, 0, 0
1, Run: 063, P, 3, 0, 0
1, Run: 064, P, 7, 0, 0
1, Run: 065, P, 8, 0, 0
1, Run: 066, P, 3, 0, 0
1, Run: 067, P, 4, 0, 0
1, Run: 068, P, 9, 0, 0
1, Run: 069, P, 6, 0, 0
1, Run: 070, P, 1, 0, 0
1, Run: 071, P, 6, 0, 0
1, Run: 072, P, 11, 0, 0
1, Run: 073, P, 1, 0, 0
1, Run: 074, P, 2, 0, 0
1, Run: 075, P, 18, 0, 0
1, Run: 076, P, 4, 0, 0
1, Run: 077, P, 4, 0, 0
1, Run: 078, P, 2, 0, 0
1, Run: 079, P, 5, 0, 0
1, Run: 080, P, 5, 0, 0
1, Run: 081, P, 4, 0, 0
1, Run: 082, P, 7, 0, 0
1, Run: 083, P, 10, 0, 0
1, Run: 084, P, 4, 0, 0
1, Run: 085, P, 17, 0, 0
1, Run: 086, P, 14, 0, 0
1, Run: 087, P, 9, 0, 0
1, Run: 088, P, 13, 0, 0
1, Run: 089, P, 2, 0, 0
1, Run: 090, P, 1, 0, 0
1, Run: 091, P, 4, 0, 0
1, Run: 092, P, 10, 0, 0
1, Run: 093, P, 2, 0, 0
1, Run: 094, P, 1, 0, 0
1, Run: 095, P, 3, 0, 0
1, Run: 096, P, 1, 0, 0
1, Run: 097, P, 1, 0, 0
1, Run: 098, P, 2, 0, 0
1, Run: 099, P, 11, 0, 0
1, Run: 100, P, 1, 0, 0
2, Run: 001, P, 3, 0, 0
2, Run: 002, P, 26, 0, 0
2, Run: 003, P, 2, 0, 0
2, Run: 004, P, 8, 0, 0
2, Run: 005, P, 1, 0, 0
2, Run: 006, P, 6, 0, 0
2, Run: 007, P, 4, 0, 0
2, Run: 008, P, 6, 0, 0
2, Run: 009, P, 14, 0, 0
2, Run: 010, P, 8, 0, 0
2, Run: 011, P, 22, 0, 0
2, Run: 012, P, 7, 0, 0
2, Run: 013, P, 27, 0, 0
2, Run: 014, P, 14, 0, 0
2, Run: 015, P, 2, 0, 0
2, Run: 016, P, 30, 0, 0
2, Run: 017, P, 27, 0, 0
2, Run: 018, P, 29, 0, 0
2, Run: 019, P, 4, 0, 0
2, Run: 020, P, 13, 0, 0
2, Run: 021, P, 2, 0, 0
2, Run: 022, P, 1, 0, 0
2, Run: 023, P, 1, 0, 0
2, Run: 024, P, 20, 0, 0
2, Run: 025, P, 5, 0, 0
2, Run: 026, P, 1, 0, 0
2, Run: 027, P, 30, 0, 0
2, Run: 028, P, 14, 0, 0
2, Run: 029, P, 1, 0, 0
2, Run: 030, P, 1, 0, 0
2, Run: 031, P, 14, 0, 0
2, Run: 032, P, 1, 0, 0
2, Run: 033, P, 5, 0, 0
2, Run: 034, P, 13, 0, 0
2, Run: 035, P, 1, 0, 0
2, Run: 036, P, 1, 0, 0
2, Run: 037, P, 2, 0, 0
2, Run: 038, P, 9, 0, 0
2, Run: 039, P, 23, 0, 0
2, Run: 040, P, 7, 0, 0
2, Run: 041, P, 4, 0, 0
2, Run: 042, P, 3, 0, 0
2, Run: 043, P, 2, 0, 0
2, Run: 044, P, 7, 0, 0
2, Run: 045, P, 28, 0, 0
2, Run: 046, P, 20, 0, 0
2, Run: 047, P, 1, 0, 0
2, Run: 048, P, 1, 0, 0
2, Run: 049, P, 19, 0, 0
2, Run: 050, P, 24, 0, 0
2, Run: 051, P, 2, 0, 0
2, Run: 052, P, 22, 0, 0
2, Run: 053, P, 1, 0, 0
2, Run: 054, P, 1, 0, 0
2, Run: 055, P, 9, 0, 0
2, Run: 056, P, 1, 0, 0
2, Run: 057, P, 18, 0, 0
2, Run: 058, P, 1, 0, 0
2, Run: 059, P, 5, 0, 0
2, Run: 060, P, 21, 0, 0
2, Run: 061, P, 6, 0, 0
2, Run: 062, P, 1, 0, 0
2, Run: 063, P, 5, 0, 0
2, Run: 064, P, 29, 0, 0
2, Run: 065, P, 3, 0, 0
2, Run: 066, P, 27, 0, 0
2, Run: 067, P, 8, 0, 0
2, Run: 068, P, 10, 0, 0
2, Run: 069, P, 17, 0, 0
2, Run: 070, P, 31, 0, 0
2, Run: 071, P, 5, 0, 0
2, Run: 072, P, 22, 0, 0
2, Run: 073, P, 3, 0, 0
2, Run: 074, P, 26, 0, 0
2, Run: 075, P, 28, 0, 0
2, Run: 076, P, 3, 0, 0
2, Run: 077, P, 1, 0, 0
2, Run: 078, P, 25, 0, 0
2, Run: 079, P, 5, 0, 0
2, Run: 080, P, 1, 0, 0
2, Run: 081, P, 17, 0, 0
2, Run: 082, P, 25, 0, 0
2, Run: 083, P, 1, 0, 0
2, Run: 084, P, 10, 0, 0
2, Run: 085, P, 13, 0, 0
2, Run: 086, P, 15, 0, 0
2, Run: 087, P, 2, 0, 0
2, Run: 088, P, 3, 0, 0
2, Run: 089, P, 1, 0, 0
2, Run: 090, P, 28, 0, 0
2, Run: 091, P, 21, 0, 0
2, Run: 092, P, 18, 0, 0
2, Run: 093, P, 2, 0, 0
2, Run: 094, P, 2, 0, 0
2, Run: 095, P, 6, 0, 0
2, Run: 096, P, 15, 0, 0
2, Run: 097, P, 19, 0, 0
2, Run: 098, P, 4, 0, 0
2, Run: 099, P, 11, 0, 0
2, Run: 100, P, 16, 0, 0
3, Run: 001, P, 46, 0, 0
3, Run: 002, P, 4, 0, 0
3, Run: 003, P, 5, 0, 0
3, Run: 004, P, 3, 0, 0
3, Run: 005, P, 9, 0, 0
3, Run: 006, P, 2, 0, 0
3, Run: 007, P, 44, 0, 0
3, Run: 008, P, 18, 0, 0
