Input Number, Run_Number, Result@ 100, X2, X1, Y, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 001, F, 186, 0, 0, 100, 38, 38
INVAR-1, Run: 002, F, 174, 0, 0, 94, 38, 38
INVAR-1, Run: 003, F, 154, 0, 0, 84, 38, 38
INVAR-1, Run: 004, F, 192, 0, 0, 103, 38, 38
INVAR-1, Run: 005, F, 196, 0, 0, 105, 38, 38
INVAR-1, Run: 006, F, 158, 0, 0, 86, 38, 38
INVAR-1, Run: 007, F, 200, 0, 0, 107, 38, 38
INVAR-1, Run: 008, F, 154, 0, 0, 84, 38, 38
INVAR-1, Run: 009, F, 186, 0, 0, 100, 38, 38
INVAR-1, Run: 010, F, 188, 0, 0, 101, 38, 38
INVAR-1, Run: 011, F, 176, 0, 0, 95, 38, 38
INVAR-1, Run: 012, F, 204, 0, 0, 109, 38, 38
INVAR-1, Run: 013, F, 210, 0, 0, 112, 38, 38
INVAR-1, Run: 014, F, 224, 0, 0, 119, 38, 38
INVAR-1, Run: 015, F, 164, 0, 0, 89, 38, 38
INVAR-1, Run: 016, F, 188, 0, 0, 101, 38, 38
INVAR-1, Run: 017, F, 146, 0, 0, 80, 38, 38
INVAR-1, Run: 018, F, 170, 0, 0, 92, 38, 38
INVAR-1, Run: 019, F, 176, 0, 0, 95, 38, 38
INVAR-1, Run: 020, F, 226, 0, 0, 120, 38, 38
INVAR-1, Run: 021, F, 186, 0, 0, 100, 38, 38
INVAR-1, Run: 022, F, 192, 0, 0, 103, 38, 38
INVAR-1, Run: 023, F, 190, 0, 0, 102, 38, 38
INVAR-1, Run: 024, F, 190, 0, 0, 102, 38, 38
INVAR-1, Run: 025, F, 160, 0, 0, 87, 38, 38
INVAR-1, Run: 026, F, 212, 0, 0, 113, 38, 38
INVAR-1, Run: 027, F, 176, 0, 0, 95, 38, 38
INVAR-1, Run: 028, F, 200, 0, 0, 107, 38, 38
INVAR-1, Run: 029, F, 184, 0, 0, 99, 38, 38
INVAR-1, Run: 030, F, 154, 0, 0, 84, 38, 38
INVAR-1, Run: 031, F, 218, 0, 0, 116, 38, 38
