Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 14, 41, 41, 0, 0, 9, 1, 18, 41, 0, 0, 0, 9, 0, 0, 9, 13, 18, 59, 29
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 28, 27, 27, 0, 0, 9, 1, 18, 27, 0, 0, 0, 9, 0, 0, 9, 13, 18, 21, 10
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 11, 44, 44, 0, 0, 9, 1, 18, 44, 0, 0, 0, 9, 0, 0, 9, 13, 18, 63, 31
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 27, 28, 28, 0, 0, 9, 1, 18, 28, 0, 0, 0, 9, 0, 0, 9, 13, 18, 29, 14
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 14, 41, 41, 0, 0, 9, 1, 18, 41, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 23, 32, 32, 0, 0, 9, 1, 18, 32, 0, 0, 0, 9, 0, 0, 9, 13, 18, 69, 34
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 10, 45, 45, 0, 0, 9, 1, 18, 45, 0, 0, 0, 9, 0, 0, 9, 13, 18, 63, 31
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 6, 49, 49, 0, 0, 9, 1, 18, 49, 0, 0, 0, 9, 0, 0, 9, 13, 18, 75, 37
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 18, 37, 37, 0, 0, 9, 1, 18, 37, 0, 0, 0, 9, 0, 0, 9, 13, 18, 53, 26
