Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 0, 0, 0, 32, 23, 1, 0, 9, 1, 23, 18, 76, 2, 2, 53, 9, 7, 1, 9, 20, 18, 113, 56
INVAR-1, Run: 002, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1, 17, 18, 71, 7, 7, 54, 9, 7, 1, 9, 17, 18, 203, 101
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 16, 38, 1, 0, 9, 0, 38, 18, 88, 1, 1, 50, 9, 7, 1, 9, 28, 18, 256, 128
INVAR-1, Run: 004, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0, 12, 18, 92, 5, 5, 80, 9, 6, 2, 9, 15, 18, 200, 100
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 9, 0, 32, 18, 148, 5, 5, 116, 9, 4, 4, 9, 25, 18, 246, 123
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1, 17, 18, 110, 7, 7, 93, 9, 7, 1, 9, 17, 18, 207, 103
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 22, 32, 1, 0, 9, 0, 32, 18, 93, 9, 9, 61, 9, 5, 3, 9, 25, 18, 146, 73
INVAR-1, Run: 008, F, 0, 0, 0, 0, 0, 0, 52, 3, 1, 2, 8, 1, 5, 18, 48, 9, 7, 45, 9, 2, 6, 8, 11, 18, 55, 27
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 38, 17, 1, 0, 9, 1, 17, 18, 130, 5, 5, 113, 9, 7, 1, 9, 17, 18, 225, 112
INVAR-1, Run: 010, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0, 14, 18, 89, 5, 3, 77, 9, 7, 1, 8, 16, 18, 144, 72
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 97, 8, 8, 82, 9, 3, 5, 9, 16, 18, 129, 64
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0, 44, 18, 184, 8, 8, 140, 9, 3, 5, 9, 31, 18, 314, 157
INVAR-1, Run: 013, F, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 9, 0, 6, 18, 51, 1, 1, 45, 9, 4, 4, 9, 12, 18, 180, 90
INVAR-1, Run: 014, F, 0, 0, 0, 0, 0, 0, 28, 27, 1, 0, 9, 1, 27, 18, 134, 9, 9, 107, 9, 5, 3, 9, 22, 18, 153, 76
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0, 18, 18, 147, 10, 10, 129, 9, 8, 0, 9, 18, 18, 208, 104
INVAR-1, Run: 016, F, 0, 0, 0, 0, 0, 0, 20, 34, 1, 0, 9, 0, 34, 18, 102, 1, 1, 68, 9, 6, 2, 9, 26, 18, 154, 77
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 42, 12, 1, 2, 8, 0, 14, 18, 127, 9, 7, 115, 9, 5, 3, 8, 16, 18, 234, 117
INVAR-1, Run: 018, F, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1, 21, 18, 100, 5, 5, 79, 9, 6, 2, 9, 19, 18, 199, 99
INVAR-1, Run: 019, F, 0, 0, 0, 0, 0, 0, 44, 11, 1, 2, 8, 1, 13, 18, 95, 8, 6, 84, 9, 5, 3, 8, 15, 18, 123, 61
INVAR-1, Run: 020, F, 0, 0, 0, 0, 0, 0, 30, 25, 1, 0, 9, 1, 25, 18, 101, 8, 8, 76, 9, 5, 3, 9, 21, 18, 137, 68
INVAR-1, Run: 021, F, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1, 15, 18, 84, 6, 6, 69, 9, 6, 2, 9, 16, 18, 125, 62
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 9, 0, 14, 18, 113, 6, 6, 99, 9, 5, 3, 9, 16, 18, 160, 80
INVAR-1, Run: 023, F, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0, 8, 18, 88, 2, 2, 80, 9, 6, 2, 9, 13, 18, 254, 127
