Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 227, 9, 5, 3, 9, 18, 22, 227
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 162, 9, 4, 4, 9, 18, 23, 162
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 185, 9, 6, 2, 9, 18, 22, 185
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 41, 381, 9, 4, 4, 9, 18, 50, 381
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 35, 467, 9, 5, 3, 9, 18, 44, 467
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 31, 162, 9, 3, 5, 9, 18, 40, 162
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 290, 9, 7, 1, 9, 18, 24, 290
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 30, 239, 9, 2, 6, 9, 18, 39, 239
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 90, 9, 5, 3, 9, 18, 19, 90
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 23, 311, 9, 7, 1, 9, 18, 32, 311
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 199, 9, 5, 3, 9, 18, 23, 199
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 185, 9, 6, 2, 9, 18, 25, 185
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 21, 310, 9, 4, 4, 9, 18, 30, 310
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 187, 9, 5, 3, 9, 18, 22, 187
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 222, 9, 7, 1, 9, 18, 20, 222
INVAR-1, Run: 016, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 153, 9, 6, 2, 9, 18, 24, 153
INVAR-1, Run: 017, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 8, 235, 9, 7, 1, 9, 18, 17, 235
INVAR-1, Run: 018, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 5, 242, 9, 7, 1, 9, 18, 14, 242
INVAR-1, Run: 019, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 26, 293, 9, 6, 2, 9, 18, 35, 293
INVAR-1, Run: 020, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 161, 9, 6, 2, 9, 18, 20, 161
INVAR-1, Run: 021, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 14, 205, 9, 3, 5, 9, 18, 23, 205
INVAR-1, Run: 022, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 209, 9, 4, 4, 9, 18, 26, 209
INVAR-1, Run: 023, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 66, 9, 4, 4, 9, 18, 22, 66
INVAR-1, Run: 024, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 143, 9, 5, 3, 9, 18, 24, 143
INVAR-1, Run: 025, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 169, 9, 4, 4, 9, 18, 24, 169
INVAR-1, Run: 026, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 5, 191, 9, 6, 2, 9, 18, 14, 191
INVAR-1, Run: 027, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 8, 215, 9, 6, 2, 9, 18, 17, 215
INVAR-1, Run: 028, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 254, 9, 5, 3, 9, 18, 26, 254
INVAR-1, Run: 029, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 49, 9, 7, 1, 9, 18, 19, 49
INVAR-1, Run: 030, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 46, 466, 9, 6, 2, 9, 18, 55, 466
INVAR-1, Run: 031, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 28, 206, 9, 6, 2, 9, 18, 37, 206
INVAR-1, Run: 032, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 209, 9, 5, 3, 9, 18, 25, 209
INVAR-1, Run: 033, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 13, 205, 9, 6, 2, 9, 18, 22, 205
INVAR-1, Run: 034, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 161, 9, 5, 3, 9, 18, 18, 161
INVAR-1, Run: 035, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 10, 284, 9, 6, 2, 9, 18, 19, 284
INVAR-1, Run: 036, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 5, 254, 9, 7, 1, 9, 18, 14, 254
INVAR-1, Run: 037, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 289, 9, 5, 3, 9, 18, 24, 289
INVAR-1, Run: 038, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 12, 202, 9, 5, 3, 9, 18, 21, 202
INVAR-1, Run: 039, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 17, 130, 9, 4, 4, 9, 18, 26, 130
INVAR-1, Run: 040, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 137, 9, 5, 3, 9, 18, 20, 137
INVAR-1, Run: 041, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 159, 9, 4, 4, 9, 18, 25, 159
INVAR-1, Run: 042, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 201, 9, 5, 3, 9, 18, 25, 201
INVAR-1, Run: 043, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 8, 84, 9, 7, 1, 9, 18, 17, 84
INVAR-1, Run: 044, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 341, 9, 5, 3, 9, 18, 25, 341
INVAR-1, Run: 045, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 251, 9, 6, 2, 9, 18, 20, 251
INVAR-1, Run: 046, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 9, 193, 9, 8, 0, 9, 18, 18, 193
INVAR-1, Run: 047, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 22, 239, 9, 5, 3, 9, 18, 31, 239
INVAR-1, Run: 048, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 15, 193, 9, 5, 3, 9, 18, 24, 193
INVAR-1, Run: 049, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 11, 162, 9, 4, 4, 9, 18, 20, 162
INVAR-1, Run: 050, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 18, 164, 9, 6, 2, 9, 18, 27, 164
INVAR-1, Run: 051, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 16, 161, 9, 5, 3, 9, 18, 25, 161
INVAR-1, Run: 052, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 20, 410, 9, 7, 1, 9, 18, 29, 410
INVAR-1, Run: 053, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 108, 54, 18, 18, 315, 9, 7, 1, 9, 18, 27, 315
