Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F
1, Run: 001, P, 0, 0, 0, 0, 0, 20, 34, 0, 1, 6, 26, 0
1, Run: 002, P, 0, 0, 0, 0, 0, 8, 46, 0, 1, 5, 32, 0
1, Run: 003, P, 0, 0, 0, 0, 0, 22, 32, 0, 1, 12, 25, 0
1, Run: 004, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 10, 14, 0
1, Run: 005, P, 0, 0, 0, 0, 0, 20, 34, 0, 1, 8, 26, 0
1, Run: 006, P, 0, 0, 0, 0, 0, 18, 36, 0, 1, 5, 27, 0
1, Run: 007, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 2, 13, 0
1, Run: 008, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 8, 21, 0
1, Run: 009, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 17, 14, 0
1, Run: 010, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 11, 16, 0
1, Run: 011, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 10, 16, 0
1, Run: 012, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 6, 15, 0
1, Run: 013, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 9, 15, 0
1, Run: 014, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 9, 15, 0
1, Run: 015, P, 0, 0, 0, 0, 0, 12, 42, 0, 1, 3, 30, 0
1, Run: 016, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 6, 19, 0
1, Run: 017, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 2, 21, 0
1, Run: 018, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 9, 21, 0
1, Run: 019, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 12, 13, 0
1, Run: 020, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 7, 9, 0
1, Run: 021, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 5, 16, 0
1, Run: 022, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 11, 21, 0
1, Run: 023, P, 0, 0, 0, 0, 0, 36, 18, 0, 1, 13, 18, 0
1, Run: 024, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 2, 19, 0
1, Run: 025, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 8, 19, 0
1, Run: 026, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 6, 13, 0
1, Run: 027, P, 0, 0, 0, 0, 0, 52, 2, 0, 1, 7, 10, 0
1, Run: 028, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 8, 16, 0
1, Run: 029, P, 0, 0, 0, 0, 0, 40, 14, 0, 1, 7, 16, 0
1, Run: 030, P, 0, 0, 0, 0, 0, 48, 6, 0, 1, 6, 12, 0
1, Run: 031, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 6, 15, 0
1, Run: 032, P, 0, 0, 0, 0, 0, 32, 22, 0, 1, 4, 20, 0
1, Run: 033, P, 0, 0, 0, 0, 0, 46, 8, 0, 1, 8, 13, 0
1, Run: 034, P, 0, 0, 0, 0, 0, 36, 18, 0, 1, 3, 18, 0
1, Run: 035, P, 0, 0, 0, 0, 0, 20, 34, 0, 1, 7, 26, 0
1, Run: 036, P, 0, 0, 0, 0, 0, 24, 30, 0, 1, 12, 24, 0
1, Run: 037, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 9, 21, 0
1, Run: 038, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 7, 14, 0
1, Run: 039, P, 0, 0, 0, 0, 0, 18, 36, 0, 1, 2, 27, 0
1, Run: 040, P, 0, 0, 0, 0, 0, 22, 32, 0, 1, 7, 25, 0
1, Run: 041, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 3, 19, 0
1, Run: 042, P, 0, 0, 0, 0, 0, 42, 12, 0, 1, 4, 15, 0
1, Run: 043, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 10, 14, 0
1, Run: 044, P, 0, 0, 0, 0, 0, 16, 38, 0, 1, 9, 28, 0
1, Run: 045, P, 0, 0, 0, 0, 0, 16, 38, 0, 1, 4, 28, 0
1, Run: 046, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 8, 14, 0
1, Run: 047, P, 0, 0, 0, 0, 0, 28, 26, 0, 1, 7, 22, 0
1, Run: 048, P, 0, 0, 0, 0, 0, 32, 22, 0, 1, 12, 20, 0
1, Run: 049, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 6, 14, 0
1, Run: 050, P, 0, 0, 0, 0, 0, 20, 34, 0, 1, 6, 26, 0
1, Run: 051, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 11, 8, 0
1, Run: 052, P, 0, 0, 0, 0, 0, 8, 46, 0, 1, 12, 32, 0
1, Run: 053, P, 0, 0, 0, 0, 0, 48, 6, 0, 1, 4, 12, 0
1, Run: 054, P, 0, 0, 0, 0, 0, 28, 26, 0, 1, 8, 22, 0
1, Run: 055, P, 0, 0, 0, 0, 0, 26, 28, 0, 1, 5, 23, 0
1, Run: 056, P, 0, 0, 0, 0, 0, 30, 24, 0, 1, 11, 21, 0
1, Run: 057, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 6, 36, 0
1, Run: 058, P, 0, 0, 0, 0, 0, 34, 20, 0, 1, 10, 19, 0
1, Run: 059, P, 0, 0, 0, 0, 0, 44, 10, 0, 1, 9, 14, 0
