Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
6, Run: 010, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 011, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 012, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 013, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 014, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 015, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 016, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 017, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 018, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 019, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 020, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 021, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 022, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 023, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 024, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 025, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 026, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 027, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 028, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 029, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 030, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 031, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 032, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 033, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 034, F, 4, 0, 1, 0, 0, 0, 0, 306, 0, 2, 1, 2
6, Run: 035, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 036, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 037, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 038, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 039, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 040, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 041, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 042, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 043, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 044, F, 5, 0, 1, 0, 0, 0, 0, 306, 0, 0, 1, 0
6, Run: 045, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 046, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 047, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 048, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 049, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 050, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 051, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 052, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 053, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 054, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 055, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 056, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 057, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 058, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 059, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 060, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 061, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 062, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 063, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 064, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 065, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 066, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 067, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 068, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 069, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 070, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 071, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 072, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 073, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 074, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 075, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 076, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 077, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 078, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 079, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 080, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 081, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 082, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 083, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 084, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 085, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 086, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 087, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 088, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 089, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 090, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 091, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
6, Run: 092, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 093, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 094, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 095, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 096, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 097, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
