Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y
1, Run: 056, P, 1, 0, 0, 20, 0, 0, 5
1, Run: 057, P, 1, 0, 0, 20, 0, 0, 5
1, Run: 058, P, 0, 0, 0, 19, 0, 0, 5
1, Run: 059, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 060, P, 1, 0, 0, 20, 0, 0, 5
1, Run: 061, P, 0, 0, 2, 19, 0, 2, 3
1, Run: 062, P, 2, 0, 0, 20, 0, 0, 5
1, Run: 063, P, 0, 0, 2, 19, 0, 2, 3
1, Run: 064, P, 0, 0, 0, 19, 0, 0, 5
1, Run: 065, P, 6, 0, 0, 19, 0, 0, 5
1, Run: 066, P, 0, 0, 0, 20, 0, 0, 5
1, Run: 067, P, 1, 0, 0, 20, 0, 0, 5
1, Run: 068, P, 15, 0, 0, 19, 0, 0, 5
1, Run: 069, P, 5, 0, 0, 19, 0, 0, 5
1, Run: 070, P, 3, 0, 0, 20, 0, 0, 5
1, Run: 071, P, 1, 0, 0, 19, 0, 0, 5
1, Run: 072, P, 0, 0, 0, 19, 0, 0, 5
1, Run: 073, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 074, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 075, P, 0, 0, 0, 20, 0, 0, 5
1, Run: 076, P, 8, 0, 0, 20, 0, 0, 5
1, Run: 077, P, 1, 0, 0, 19, 0, 0, 5
1, Run: 078, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 079, P, 2, 0, 0, 19, 0, 0, 5
1, Run: 080, P, 9, 0, 0, 20, 0, 0, 5
1, Run: 081, P, 0, 0, 1, 21, 0, 1, 4
1, Run: 082, P, 0, 0, 0, 19, 0, 0, 5
1, Run: 083, P, 1, 0, 0, 19, 0, 0, 5
1, Run: 084, P, 1, 0, 0, 20, 0, 0, 5
1, Run: 085, P, 0, 0, 3, 19, 0, 3, 2
1, Run: 086, P, 4, 0, 0, 19, 0, 0, 5
1, Run: 087, P, 0, 0, 0, 20, 0, 0, 5
1, Run: 088, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 089, P, 5, 0, 0, 19, 0, 0, 5
1, Run: 090, P, 0, 0, 0, 20, 0, 0, 5
1, Run: 091, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 092, P, 0, 0, 0, 20, 0, 0, 5
1, Run: 093, P, 1, 0, 0, 19, 0, 0, 5
1, Run: 094, P, 6, 0, 0, 19, 0, 0, 5
1, Run: 095, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 096, P, 0, 0, 1, 20, 0, 1, 4
1, Run: 097, P, 2, 0, 0, 20, 0, 0, 5
1, Run: 098, P, 1, 0, 0, 19, 0, 0, 5
1, Run: 099, P, 0, 0, 1, 19, 0, 1, 4
1, Run: 100, P, 0, 0, 1, 20, 0, 1, 4
10, Run: 001, P, 0, 0, 1, 1, 0, 1, 4
10, Run: 002, P, 0, 0, 1, 2, 0, 1, 4
10, Run: 003, P, 0, 0, 2, 3, 0, 2, 3
