Input Number, Run_Number, Result@ 1000, L1, U, L2, L3, L4, L5, Y, H, T1, T2, T3, T4, T5, T6, R, D, A, B, C, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, O1, O2, O3, O4
INVAR-1, Run: 001, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 12, 5, 3, 2, 1, 5, 0, 0, 10, 125, 124, 122, 121, 115, 1, 2, 1, 6, 15, 37281, 26369, 18758, 13325, 9500, 10903, 7599, 5428, 3822, 2762, 6736, 6731, 9, 10, 1, 9
INVAR-1, Run: 002, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 9, 8, 4, 4, 6, 1, 8, 0, 10, 0, 112, 110, 105, 102, 101, 2, 5, 3, 1, 1, 37171, 26272, 18720, 13406, 9546, 10890, 7544, 5310, 3856, 2702, 6838, 6830, 9, 0, 1, 9
INVAR-1, Run: 003, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 16, 8, 2, 2, 2, 1, 6, 0, 10, 0, 135, 134, 133, 129, 126, 1, 1, 4, 3, 26, 37291, 26459, 18801, 13376, 9565, 10816, 7650, 5423, 3809, 2781, 6782, 6776, 9, 0, 1, 9
INVAR-1, Run: 004, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 7, 7, 3, 6, 2, 1, 10, 0, 10, 0, 128, 124, 122, 119, 117, 4, 2, 3, 2, 17, 37104, 26229, 18617, 13299, 9527, 10868, 7605, 5315, 3766, 2753, 6772, 6762, 9, 0, 1, 9
INVAR-1, Run: 005, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 9, 9, 5, 3, 2, 1, 12, 0, 10, 0, 129, 125, 119, 108, 104, 4, 6, 11, 4, 4, 37347, 26367, 18668, 13258, 9493, 10971, 7690, 5405, 3762, 2760, 6731, 6719, 9, 0, 1, 9
INVAR-1, Run: 006, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 11, 6, 0, 1, 1, 9, 0, 10, 0, 129, 127, 125, 120, 114, 2, 2, 5, 6, 14, 36927, 26063, 18394, 13158, 9346, 10854, 7658, 5230, 3812, 2687, 6658, 6649, 9, 0, 1, 9
INVAR-1, Run: 007, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 11, 4, 4, 6, 3, 1, 5, 0, 10, 0, 141, 129, 120, 115, 107, 12, 9, 5, 8, 7, 37199, 26447, 18732, 13327, 9494, 10741, 7711, 5401, 3827, 2723, 6768, 6763, 9, 0, 1, 9
INVAR-1, Run: 008, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 2, 5, 7, 2, 1, 8, 0, 10, 0, 122, 121, 120, 117, 115, 1, 1, 3, 2, 15, 37201, 26423, 18763, 13362, 9485, 10767, 7658, 5396, 3870, 2661, 6822, 6814, 9, 0, 1, 9
INVAR-1, Run: 009, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 5, 2, 5, 1, 6, 10, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 37461, 26620, 18818, 13406, 9627, 10830, 7796, 5407, 3777, 2718, 6904, 6898, 0, 1, 2, 0
INVAR-1, Run: 010, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 8, 7, 7, 1, 1, 2, 0, 10, 0, 127, 126, 126, 126, 125, 1, 0, 0, 1, 25, 37289, 26415, 18783, 13387, 9464, 10863, 7624, 5389, 3916, 2786, 6677, 6675, 9, 0, 1, 9
INVAR-1, Run: 011, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 11, 8, 2, 2, 4, 1, 5, 0, 10, 0, 145, 139, 135, 126, 120, 6, 4, 9, 6, 20, 37139, 26271, 18651, 13181, 9370, 10857, 7612, 5468, 3809, 2603, 6763, 6758, 9, 0, 1, 9
INVAR-1, Run: 012, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 4, 2, 7, 6, 3, 1, 7, 10, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 37115, 26372, 18862, 13351, 9539, 10739, 7508, 5504, 3806, 2621, 6915, 6908, 0, 1, 2, 0
INVAR-1, Run: 013, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 7, 9, 2, 2, 3, 1, 13, 0, 10, 0, 129, 127, 126, 122, 116, 2, 1, 4, 6, 16, 37025, 26261, 18631, 13228, 9407, 10757, 7621, 5401, 3819, 2669, 6735, 6722, 9, 0, 1, 9
INVAR-1, Run: 014, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 8, 7, 7, 6, 5, 1, 5, 0, 10, 0, 134, 134, 133, 133, 132, 0, 1, 0, 1, 32, 37240, 26419, 18603, 13236, 9368, 10813, 7809, 5360, 3862, 2715, 6648, 6643, 9, 0, 1, 9
INVAR-1, Run: 015, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 9, 12, 7, 4, 3, 1, 6, 0, 10, 0, 119, 116, 115, 115, 111, 3, 1, 0, 4, 11, 37030, 26263, 18734, 13413, 9615, 10758, 7517, 5314, 3794, 2800, 6812, 6806, 9, 0, 1, 9
INVAR-1, Run: 016, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 8, 3, 7, 2, 1, 7, 0, 10, 0, 132, 130, 128, 126, 120, 2, 2, 2, 6, 20, 37120, 26381, 18720, 13241, 9491, 10730, 7653, 5476, 3743, 2744, 6745, 6738, 9, 0, 1, 9
INVAR-1, Run: 017, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 8, 13, 2, 5, 1, 1, 9, 0, 10, 0, 143, 132, 119, 115, 112, 11, 13, 4, 3, 12, 37197, 26462, 18801, 13280, 9483, 10727, 7648, 5519, 3792, 2695, 6787, 6778, 9, 0, 1, 9
INVAR-1, Run: 018, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 8, 2, 5, 2, 2, 1, 11, 0, 10, 0, 129, 128, 126, 123, 118, 1, 2, 3, 5, 18, 37183, 26262, 18681, 13269, 9496, 10913, 7579, 5407, 3771, 2676, 6818, 6807, 9, 0, 1, 9
INVAR-1, Run: 019, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 12, 7, 1, 2, 4, 1, 4, 0, 10, 0, 134, 133, 132, 132, 132, 1, 1, 0, 0, 32, 37190, 26359, 18711, 13378, 9521, 10819, 7641, 5332, 3855, 2798, 6719, 6715, 15, 6, 7, 15
INVAR-1, Run: 020, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 12, 8, 5, 3, 2, 1, 7, 0, 10, 0, 129, 128, 126, 126, 125, 1, 2, 0, 1, 25, 37111, 26206, 18724, 13318, 9532, 10893, 7474, 5401, 3783, 2715, 6815, 6808, 10, 1, 2, 10
INVAR-1, Run: 021, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 1, 6, 6, 4, 1, 10, 0, 10, 0, 111, 108, 107, 105, 105, 3, 1, 2, 0, 5, 37391, 26465, 18859, 13420, 9603, 10916, 7605, 5433, 3811, 2751, 6848, 6838, 9, 0, 1, 9
INVAR-1, Run: 022, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 7, 7, 8, 4, 1, 1, 8, 0, 10, 0, 120, 115, 113, 113, 112, 5, 2, 0, 1, 12, 36915, 26199, 18834, 13323, 9515, 10709, 7358, 5503, 3804, 2709, 6805, 6797, 9, 0, 1, 9
INVAR-1, Run: 023, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 4, 8, 4, 2, 4, 1, 7, 0, 10, 0, 133, 132, 127, 125, 123, 1, 5, 2, 2, 23, 37180, 26318, 18696, 13156, 9365, 10858, 7614, 5536, 3789, 2635, 6726, 6719, 9, 0, 1, 9
INVAR-1, Run: 024, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 9, 7, 7, 2, 1, 1, 5, 0, 10, 0, 117, 116, 116, 115, 110, 1, 0, 1, 5, 10, 37014, 26186, 18632, 13330, 9484, 10819, 7547, 5295, 3844, 2754, 6729, 6724, 9, 0, 1, 9
INVAR-1, Run: 025, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 15, 6, 4, 2, 3, 1, 8, 0, 10, 0, 125, 124, 123, 121, 117, 1, 1, 2, 4, 17, 36883, 26229, 18655, 13279, 9501, 10639, 7568, 5372, 3776, 2703, 6795, 6787, 9, 0, 1, 9
INVAR-1, Run: 026, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 7, 7, 9, 3, 3, 1, 7, 0, 10, 0, 125, 124, 123, 122, 121, 1, 1, 1, 1, 21, 37294, 26419, 18812, 13404, 9508, 10868, 7600, 5399, 3893, 2801, 6704, 6697, 9, 0, 1, 9
INVAR-1, Run: 027, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 12, 9, 5, 8, 1, 1, 4, 0, 10, 0, 133, 131, 127, 123, 118, 2, 4, 4, 5, 18, 37255, 26356, 18708, 13212, 9437, 10887, 7639, 5491, 3767, 2750, 6686, 6682, 9, 0, 1, 9
INVAR-1, Run: 028, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 11, 7, 5, 2, 4, 1, 10, 0, 10, 0, 122, 121, 120, 116, 114, 1, 1, 4, 2, 14, 37287, 26369, 18783, 13402, 9539, 10907, 7579, 5376, 3861, 2715, 6820, 6810, 9, 0, 1, 9
INVAR-1, Run: 029, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 11, 10, 3, 3, 1, 1, 8, 0, 10, 0, 124, 123, 120, 119, 118, 1, 3, 1, 1, 18, 36797, 26084, 18561, 13214, 9443, 10702, 7513, 5344, 3768, 2676, 6766, 6758, 9, 0, 1, 9
INVAR-1, Run: 030, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 11, 2, 7, 4, 2, 1, 8, 10, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 37376, 26579, 18781, 13517, 9578, 10786, 7796, 5257, 3935, 2729, 6847, 6839, 0, 1, 2, 0
INVAR-1, Run: 031, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 3, 15, 7, 3, 2, 1, 10, 0, 10, 0, 120, 119, 119, 118, 115, 1, 0, 1, 3, 15, 37204, 26445, 18674, 13331, 9532, 10756, 7756, 5336, 3796, 2763, 6767, 6757, 9, 0, 1, 9
INVAR-1, Run: 032, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 6, 7, 5, 8, 3, 1, 7, 0, 10, 0, 129, 124, 119, 112, 110, 5, 5, 7, 2, 10, 37106, 26346, 18646, 13182, 9443, 10754, 7693, 5459, 3731, 2757, 6683, 6676, 9, 0, 1, 9
INVAR-1, Run: 033, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 13, 6, 3, 2, 3, 1, 9, 0, 10, 0, 113, 112, 110, 107, 106, 1, 2, 3, 1, 6, 37134, 26285, 18753, 13385, 9648, 10836, 7526, 5365, 3735, 2735, 6910, 6901, 9, 0, 1, 9
INVAR-1, Run: 034, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 18, 6, 2, 3, 1, 1, 3, 0, 10, 0, 113, 108, 106, 104, 103, 5, 2, 2, 1, 3, 37365, 26395, 18843, 13305, 9472, 10952, 7546, 5536, 3830, 2746, 6725, 6722, 9, 0, 1, 9
INVAR-1, Run: 035, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 9, 4, 4, 2, 1, 8, 0, 10, 0, 138, 136, 135, 134, 126, 2, 1, 1, 8, 26, 37029, 26217, 18661, 13214, 9354, 10803, 7547, 5443, 3856, 2698, 6654, 6646, 12, 3, 4, 12
