Input Number, Run_Number, Result@ 1000, L1, U, L2, L3, L4, L5, Y, H, T1, T2, T3, T4, T5, T6, R, D, A, B, C, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, O1, O2, O3, O4
INVAR-1, Run: 036, P, 0, 6, 0, 0, 0, 0, 100, 0, 8, 9, 8, 8, 3, 7, 1, 7, 0, 10, 0, 108, 108, 108, 108, 107, 0, 0, 0, 1, 7, 37430, 26629, 18836, 13401, 9492, 10792, 7785, 5427, 3906, 2685, 6800, 6793, 9, 0, 1, 9
INVAR-1, Run: 037, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 9, 7, 5, 4, 1, 1, 7, 0, 10, 0, 138, 131, 127, 122, 119, 7, 4, 5, 3, 19, 37017, 26308, 18637, 13230, 9450, 10700, 7664, 5402, 3776, 2750, 6699, 6692, 9, 0, 1, 9
INVAR-1, Run: 038, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 5, 6, 1, 3, 1, 7, 0, 10, 0, 111, 107, 107, 107, 106, 4, 0, 0, 1, 6, 37380, 26444, 18797, 13404, 9577, 10924, 7642, 5387, 3826, 2801, 6773, 6766, 10, 1, 2, 10
INVAR-1, Run: 039, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 6, 10, 1, 2, 1, 8, 0, 10, 0, 130, 127, 122, 116, 112, 3, 5, 6, 4, 12, 37440, 26362, 18781, 13333, 9472, 11069, 7575, 5438, 3860, 2686, 6784, 6776, 9, 0, 1, 9
INVAR-1, Run: 040, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 13, 5, 5, 5, 3, 1, 4, 0, 10, 0, 123, 116, 113, 111, 106, 7, 3, 2, 5, 6, 37183, 26438, 18754, 13520, 9653, 10732, 7679, 5229, 3862, 2797, 6853, 6849, 9, 0, 1, 9
INVAR-1, Run: 041, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 9, 14, 4, 5, 0, 1, 8, 0, 10, 0, 121, 120, 120, 120, 115, 1, 0, 0, 5, 15, 37292, 26264, 18558, 13148, 9285, 11019, 7692, 5406, 3858, 2694, 6591, 6583, 9, 0, 1, 9
INVAR-1, Run: 042, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 16, 11, 4, 4, 0, 1, 5, 0, 10, 0, 127, 127, 127, 127, 125, 0, 0, 0, 2, 25, 37369, 26446, 18791, 13354, 9542, 10907, 7644, 5433, 3808, 2759, 6783, 6778, 9, 0, 1, 9
INVAR-1, Run: 043, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 7, 6, 5, 5, 6, 1, 8, 0, 10, 0, 125, 122, 115, 112, 111, 3, 7, 3, 1, 11, 37629, 26511, 18809, 13349, 9437, 11111, 7696, 5455, 3907, 2688, 6743, 6735, 9, 0, 1, 9
INVAR-1, Run: 044, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 8, 9, 5, 3, 3, 1, 7, 0, 10, 0, 117, 117, 117, 117, 115, 0, 0, 0, 2, 15, 37419, 26589, 18874, 13360, 9533, 10822, 7706, 5509, 3824, 2734, 6796, 6789, 9, 0, 1, 9
INVAR-1, Run: 045, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 9, 10, 1, 3, 4, 1, 9, 0, 10, 0, 135, 134, 134, 134, 134, 1, 0, 0, 0, 34, 36993, 26211, 18683, 13319, 9420, 10773, 7518, 5363, 3896, 2690, 6726, 6717, 9, 0, 1, 9
INVAR-1, Run: 046, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 8, 10, 2, 4, 3, 1, 6, 0, 0, 10, 101, 101, 100, 100, 100, 0, 1, 0, 0, 0, 37058, 26365, 18762, 13308, 9516, 10685, 7593, 5452, 3788, 2688, 6825, 6819, 8, 9, 0, 8
INVAR-1, Run: 047, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 11, 5, 4, 5, 2, 1, 5, 0, 10, 0, 122, 119, 119, 116, 113, 3, 0, 3, 3, 13, 37337, 26336, 18756, 13377, 9506, 10990, 7575, 5375, 3866, 2704, 6800, 6795, 9, 0, 1, 9
INVAR-1, Run: 048, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 12, 6, 6, 3, 2, 1, 5, 0, 10, 0, 113, 111, 109, 109, 109, 2, 2, 0, 0, 9, 37526, 26601, 18800, 13374, 9451, 10913, 7795, 5420, 3920, 2705, 6744, 6739, 9, 0, 1, 9
INVAR-1, Run: 049, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 13, 6, 3, 5, 5, 1, 5, 0, 10, 0, 135, 134, 134, 132, 132, 1, 0, 2, 0, 32, 37473, 26475, 18700, 13285, 9442, 10985, 7769, 5412, 3838, 2726, 6711, 6706, 9, 0, 1, 9
INVAR-1, Run: 050, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 10, 3, 8, 5, 1, 1, 3, 0, 10, 0, 137, 137, 137, 132, 126, 0, 0, 5, 6, 26, 37218, 26313, 18587, 13198, 9383, 10895, 7723, 5381, 3810, 2747, 6635, 6632, 9, 0, 1, 9
INVAR-1, Run: 051, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 11, 7, 5, 3, 5, 1, 9, 0, 10, 0, 117, 116, 113, 111, 109, 1, 3, 2, 2, 9, 37214, 26398, 18748, 13288, 9482, 10805, 7643, 5455, 3803, 2702, 6775, 6766, 9, 0, 1, 9
INVAR-1, Run: 052, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 8, 4, 3, 2, 3, 1, 11, 0, 10, 0, 130, 127, 124, 122, 120, 3, 3, 2, 2, 20, 37209, 26179, 18592, 13210, 9389, 11022, 7583, 5379, 3819, 2711, 6675, 6664, 9, 0, 1, 9
INVAR-1, Run: 053, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 14, 4, 2, 2, 6, 1, 4, 0, 10, 0, 123, 122, 122, 121, 121, 1, 0, 1, 0, 21, 37265, 26272, 18616, 13334, 9523, 10979, 7652, 5280, 3809, 2718, 6799, 6795, 9, 0, 1, 9
INVAR-1, Run: 054, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 11, 6, 8, 5, 1, 1, 4, 0, 10, 0, 125, 125, 124, 121, 119, 0, 1, 3, 2, 19, 37236, 26327, 18672, 13344, 9473, 10898, 7649, 5320, 3866, 2760, 6712, 6708, 9, 0, 1, 9
INVAR-1, Run: 055, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 5, 10, 7, 3, 5, 1, 3, 0, 10, 0, 126, 121, 120, 115, 111, 5, 1, 5, 4, 11, 37237, 26402, 18765, 13329, 9492, 10830, 7627, 5429, 3834, 2697, 6790, 6787, 9, 0, 1, 9
INVAR-1, Run: 056, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 8, 9, 4, 1, 2, 1, 8, 0, 10, 0, 139, 137, 136, 134, 130, 2, 1, 2, 4, 30, 37080, 26366, 18699, 13342, 9477, 10706, 7658, 5353, 3864, 2730, 6745, 6737, 9, 0, 1, 9
INVAR-1, Run: 057, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 6, 5, 5, 4, 3, 1, 9, 0, 10, 0, 131, 129, 124, 123, 119, 2, 5, 1, 4, 19, 37106, 26294, 18672, 13330, 9503, 10806, 7617, 5337, 3823, 2782, 6718, 6709, 9, 0, 1, 9
INVAR-1, Run: 058, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 12, 4, 2, 1, 1, 6, 0, 10, 0, 119, 116, 113, 111, 108, 3, 3, 2, 3, 8, 37390, 26554, 18788, 13324, 9458, 10826, 7754, 5460, 3864, 2722, 6735, 6729, 9, 0, 1, 9
INVAR-1, Run: 059, P, 0, 6, 0, 0, 0, 0, 100, 0, 19, 6, 6, 6, 8, 1, 1, 4, 0, 10, 0, 126, 126, 125, 124, 124, 0, 1, 1, 0, 24, 37165, 26403, 18698, 13290, 9433, 10756, 7699, 5402, 3849, 2768, 6664, 6660, 9, 0, 1, 9
INVAR-1, Run: 060, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 10, 8, 3, 1, 3, 1, 7, 0, 10, 0, 121, 121, 120, 119, 119, 0, 1, 1, 0, 19, 37386, 26435, 18784, 13378, 9431, 10941, 7643, 5403, 3946, 2687, 6741, 6734, 9, 0, 1, 9
INVAR-1, Run: 061, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 5, 3, 5, 5, 1, 7, 0, 10, 0, 127, 125, 124, 124, 124, 2, 1, 0, 0, 24, 37548, 26577, 18856, 13399, 9491, 10961, 7716, 5454, 3903, 2760, 6726, 6719, 9, 0, 1, 9
INVAR-1, Run: 062, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 8, 3, 6, 6, 0, 1, 10, 0, 0, 10, 118, 115, 114, 113, 108, 3, 1, 1, 5, 8, 37545, 26554, 18778, 13321, 9330, 10983, 7773, 5451, 3985, 2659, 6671, 6661, 8, 9, 0, 8
INVAR-1, Run: 063, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 9, 7, 4, 7, 4, 1, 4, 0, 10, 0, 134, 133, 130, 129, 124, 1, 3, 1, 5, 24, 37198, 26314, 18659, 13219, 9427, 10875, 7648, 5436, 3785, 2685, 6738, 6734, 9, 0, 1, 9
INVAR-1, Run: 064, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 12, 5, 7, 5, 6, 1, 3, 0, 10, 0, 134, 133, 132, 131, 130, 1, 1, 1, 1, 30, 37183, 26307, 18672, 13274, 9398, 10864, 7630, 5391, 3871, 2755, 6637, 6634, 12, 3, 4, 12
INVAR-1, Run: 065, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 4, 4, 7, 6, 1, 5, 0, 0, 10, 138, 136, 134, 129, 124, 2, 2, 5, 5, 24, 37030, 26378, 18738, 13294, 9457, 10642, 7636, 5440, 3830, 2684, 6767, 6762, 9, 10, 1, 9
INVAR-1, Run: 066, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 11, 7, 5, 3, 2, 1, 5, 0, 10, 0, 128, 128, 125, 121, 120, 0, 3, 4, 1, 20, 37184, 26370, 18815, 13423, 9476, 10803, 7548, 5387, 3944, 2777, 6697, 6692, 9, 0, 1, 9
INVAR-1, Run: 067, P, 0, 6, 0, 0, 0, 0, 100, 0, 20, 6, 6, 5, 4, 0, 1, 9, 0, 10, 0, 126, 125, 125, 125, 125, 1, 0, 0, 0, 25, 37267, 26489, 18697, 13297, 9451, 10772, 7786, 5395, 3842, 2739, 6712, 6703, 9, 0, 1, 9
INVAR-1, Run: 068, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 13, 8, 7, 4, 4, 1, 4, 0, 0, 10, 161, 158, 155, 154, 151, 3, 3, 1, 3, 51, 37107, 26088, 18574, 13125, 9338, 11006, 7506, 5442, 3783, 2689, 6645, 6641, 12, 13, 4, 12
INVAR-1, Run: 069, P, 0, 6, 0, 0, 0, 0, 100, 0, 10, 14, 7, 4, 3, 5, 1, 7, 0, 10, 0, 130, 129, 128, 126, 126, 1, 1, 2, 0, 26, 37071, 26181, 18539, 13190, 9447, 10876, 7635, 5345, 3740, 2702, 6740, 6733, 9, 0, 1, 9
INVAR-1, Run: 070, P, 0, 6, 0, 0, 0, 0, 100, 0, 21, 5, 6, 4, 3, 3, 1, 8, 0, 10, 0, 128, 128, 127, 126, 124, 0, 1, 1, 2, 24, 36787, 26160, 18476, 13234, 9491, 10622, 7678, 5238, 3740, 2698, 6790, 6782, 9, 0, 1, 9
INVAR-1, Run: 071, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 6, 9, 5, 4, 3, 1, 8, 0, 10, 0, 135, 133, 128, 124, 122, 2, 5, 4, 2, 22, 37369, 26413, 18707, 13297, 9473, 10950, 7697, 5405, 3820, 2737, 6733, 6725, 9, 0, 1, 9
INVAR-1, Run: 072, P, 0, 6, 0, 0, 0, 0, 100, 0, 18, 13, 4, 5, 4, 2, 1, 4, 0, 10, 0, 117, 115, 115, 114, 113, 2, 0, 1, 1, 13, 37444, 26397, 18639, 13247, 9449, 11034, 7754, 5387, 3794, 2698, 6749, 6745, 9, 0, 1, 9
INVAR-1, Run: 073, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 12, 12, 3, 1, 6, 1, 7, 0, 10, 0, 129, 127, 127, 126, 124, 2, 0, 1, 2, 24, 37227, 26481, 18724, 13328, 9430, 10734, 7745, 5393, 3897, 2771, 6653, 6646, 9, 0, 1, 9
INVAR-1, Run: 074, P, 0, 6, 0, 0, 0, 0, 100, 0, 13, 10, 6, 8, 3, 2, 1, 8, 0, 10, 0, 125, 125, 124, 124, 123, 0, 1, 0, 1, 23, 37152, 26335, 18630, 13208, 9401, 10807, 7699, 5414, 3804, 2730, 6669, 6661, 9, 0, 1, 9
INVAR-1, Run: 075, P, 0, 6, 0, 0, 0, 0, 100, 0, 11, 5, 10, 10, 4, 0, 1, 10, 0, 10, 0, 119, 119, 119, 119, 119, 0, 0, 0, 0, 19, 37255, 26351, 18647, 13281, 9494, 10899, 7694, 5356, 3783, 2724, 6770, 6760, 9, 0, 1, 9
INVAR-1, Run: 076, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 8, 8, 7, 4, 2, 1, 6, 10, 0, 0, 118, 116, 111, 106, 106, 2, 5, 5, 0, 6, 37329, 26470, 18768, 13414, 9565, 10851, 7694, 5347, 3845, 2708, 6855, 6849, 9, 10, 11, 9
INVAR-1, Run: 077, P, 0, 6, 0, 0, 0, 0, 100, 0, 17, 12, 5, 4, 3, 3, 1, 6, 0, 10, 0, 117, 116, 115, 114, 113, 1, 1, 1, 1, 13, 37173, 26427, 18710, 13386, 9586, 10734, 7712, 5320, 3797, 2742, 6841, 6835, 9, 0, 1, 9
INVAR-1, Run: 078, P, 0, 6, 0, 0, 0, 0, 100, 0, 9, 11, 13, 4, 4, 3, 1, 6, 0, 0, 10, 122, 118, 116, 112, 107, 4, 2, 4, 5, 7, 37197, 26211, 18626, 13293, 9537, 10975, 7572, 5329, 3752, 2708, 6826, 6820, 8, 9, 0, 8
INVAR-1, Run: 079, P, 0, 6, 0, 0, 0, 0, 100, 0, 14, 10, 8, 4, 3, 2, 1, 9, 0, 10, 0, 123, 122, 122, 121, 120, 1, 0, 1, 1, 20, 37198, 26320, 18657, 13309, 9417, 10868, 7655, 5344, 3889, 2722, 6693, 6684, 9, 0, 1, 9
INVAR-1, Run: 080, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 9, 7, 5, 2, 3, 1, 8, 0, 10, 0, 122, 121, 121, 121, 119, 1, 0, 0, 2, 19, 37044, 26129, 18514, 13225, 9385, 10906, 7608, 5284, 3838, 2687, 6695, 6687, 9, 0, 1, 9
INVAR-1, Run: 081, P, 0, 6, 0, 0, 0, 0, 100, 0, 12, 12, 8, 2, 2, 3, 1, 11, 10, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 37420, 26568, 18855, 13422, 9555, 10840, 7705, 5431, 3865, 2802, 6750, 6739, 1, 2, 3, 1
INVAR-1, Run: 082, P, 0, 6, 0, 0, 0, 0, 100, 0, 16, 13, 9, 1, 2, 2, 1, 7, 0, 10, 0, 145, 145, 138, 134, 130, 0, 7, 4, 4, 30, 37422, 26452, 18695, 13088, 9223, 10957, 7748, 5606, 3863, 2624, 6597, 6590, 9, 0, 1, 9
INVAR-1, Run: 083, P, 0, 6, 0, 0, 0, 0, 100, 0, 15, 10, 9, 2, 3, 2, 1, 9, 10, 0, 0, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 37344, 26510, 18804, 13350, 9511, 10824, 7697, 5452, 3836, 2729, 6780, 6771, 0, 1, 2, 0
