Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A20,INVAR-9,100,51,0,0,0,51
A21,INVAR-1,100,0,0,0,0,0
A21,INVAR-10,100,0,0,0,0,0
A21,INVAR-11,100,0,0,0,0,0
A21,INVAR-12,100,0,0,0,0,0
A21,INVAR-13,100,0,0,0,0,0
A21,INVAR-14,100,0,0,0,0,0
A21,INVAR-2,100,0,0,0,0,0
A21,INVAR-3,100,0,0,0,0,0
A21,INVAR-4,100,0,0,0,0,0
A21,INVAR-5,100,0,0,0,0,0
A21,INVAR-6,100,0,0,0,0,0
A21,INVAR-7,100,0,0,0,0,0
A21,INVAR-8,100,0,0,0,0,0
A21,INVAR-9,100,0,0,0,0,0
A22,INVAR-1,100,0,0,0,0,0
A22,INVAR-10,100,0,0,0,0,0
A22,INVAR-11,100,0,0,0,0,0
A22,INVAR-12,100,0,0,0,0,0
A22,INVAR-13,100,0,0,0,0,0
A22,INVAR-14,100,0,0,0,0,0
A22,INVAR-2,100,0,0,0,0,0
A22,INVAR-3,100,0,0,0,0,0
A22,INVAR-4,100,0,0,0,0,0
A22,INVAR-5,100,0,0,0,0,0
A22,INVAR-6,100,0,0,0,0,0
A22,INVAR-7,100,0,0,0,0,0
A22,INVAR-8,100,0,0,0,0,0
A22,INVAR-9,100,0,0,0,0,0
A23,INVAR-1,100,51,0,0,0,51
A23,INVAR-10,100,50,0,0,0,50
A23,INVAR-11,100,45,0,0,0,45
A23,INVAR-12,100,58,0,0,0,58
A23,INVAR-13,100,62,0,0,0,62
A23,INVAR-14,100,63,0,0,0,63
A23,INVAR-2,100,48,0,0,0,48
A23,INVAR-3,100,52,0,0,0,52
A23,INVAR-4,100,44,0,0,0,44
A23,INVAR-5,100,54,0,0,0,54
A23,INVAR-6,100,57,0,0,0,57
A23,INVAR-7,100,62,0,0,0,62
A23,INVAR-8,100,50,0,0,0,50
A23,INVAR-9,100,51,0,0,0,51
A24,INVAR-1,100,0,0,0,0,0
A24,INVAR-10,100,0,0,0,0,0
A24,INVAR-11,100,0,0,0,0,0
A24,INVAR-12,100,0,0,0,0,0
A24,INVAR-13,100,0,0,0,0,0
A24,INVAR-14,100,0,0,0,0,0
A24,INVAR-2,100,0,0,0,0,0
A24,INVAR-3,100,0,0,0,0,0
A24,INVAR-4,100,0,0,0,0,0
A24,INVAR-5,100,0,0,0,0,0
A24,INVAR-6,100,0,0,0,0,0
A24,INVAR-7,100,0,0,0,0,0
A24,INVAR-8,100,0,0,0,0,0
A24,INVAR-9,100,0,0,0,0,0
A25,INVAR-1,100,0,0,0,0,0
A25,INVAR-10,100,0,0,0,0,0
A25,INVAR-11,100,0,0,0,0,0
A25,INVAR-12,100,0,0,0,0,0
A25,INVAR-13,100,0,0,0,0,0
A25,INVAR-14,100,0,0,0,0,0
A25,INVAR-2,100,0,0,0,0,0
A25,INVAR-3,100,0,0,0,0,0
A25,INVAR-4,100,0,0,0,0,0
A25,INVAR-5,100,0,0,0,0,0
A25,INVAR-6,100,0,0,0,0,0
A25,INVAR-7,100,0,0,0,0,0
A25,INVAR-8,100,0,0,0,0,0
A25,INVAR-9,100,0,0,0,0,0
A26,INVAR-1,100,0,0,0,0,0
A26,INVAR-10,100,0,0,0,0,0
A26,INVAR-11,100,0,0,0,0,0
A26,INVAR-12,100,0,0,0,0,0
A26,INVAR-13,100,0,0,0,0,0
A26,INVAR-14,100,0,0,0,0,0
A26,INVAR-2,100,0,0,0,0,0
A26,INVAR-3,100,0,0,0,0,0
A26,INVAR-4,100,0,0,0,0,0
A26,INVAR-5,100,0,0,0,0,0
A26,INVAR-6,100,0,0,0,0,0
A26,INVAR-7,100,0,0,0,0,0
A26,INVAR-8,100,0,0,0,0,0
A26,INVAR-9,100,0,0,0,0,0
A27,INVAR-1,100,0,0,0,0,0
A27,INVAR-10,100,0,0,0,0,0
A27,INVAR-11,100,0,0,0,0,0
A27,INVAR-12,100,0,0,0,0,0
A27,INVAR-13,100,0,0,0,0,0
A27,INVAR-14,100,0,0,0,0,0
A27,INVAR-2,100,0,0,0,0,0
A27,INVAR-3,100,0,0,0,0,0
A27,INVAR-4,100,0,0,0,0,0
A27,INVAR-5,100,0,0,0,0,0
A27,INVAR-6,100,0,0,0,0,0
A27,INVAR-7,100,0,0,0,0,0
A27,INVAR-8,100,0,0,0,0,0
A27,INVAR-9,100,0,0,0,0,0
