Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F
1, Run: 060, P, 0, 0, 0, 0, 0, 0, 38, 16, 1, 0, 9, 0
1, Run: 061, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 2, 8, 1
1, Run: 062, P, 0, 0, 0, 0, 0, 0, 10, 44, 1, 0, 9, 0
1, Run: 063, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 2, 8, 0
1, Run: 064, P, 0, 0, 0, 0, 0, 0, 50, 4, 1, 4, 7, 0
1, Run: 065, P, 0, 0, 0, 0, 0, 0, 30, 25, 1, 0, 9, 1
1, Run: 066, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
1, Run: 067, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 2, 8, 0
1, Run: 068, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1
1, Run: 069, P, 0, 0, 0, 0, 0, 0, 36, 19, 1, 0, 9, 1
1, Run: 070, P, 0, 0, 0, 0, 0, 0, 26, 28, 1, 0, 9, 0
1, Run: 071, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 9, 0
1, Run: 072, P, 0, 0, 0, 0, 0, 0, 16, 38, 1, 0, 9, 0
1, Run: 073, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1
1, Run: 074, P, 0, 0, 0, 0, 0, 0, 52, 2, 1, 4, 7, 0
1, Run: 075, P, 0, 0, 0, 0, 0, 0, 48, 7, 1, 2, 8, 1
1, Run: 076, P, 0, 0, 0, 0, 0, 0, 36, 18, 1, 0, 9, 0
1, Run: 077, P, 0, 0, 0, 0, 0, 0, 50, 5, 1, 2, 8, 1
1, Run: 078, P, 0, 0, 0, 0, 0, 0, 32, 22, 1, 0, 9, 0
1, Run: 079, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1
1, Run: 080, P, 0, 0, 0, 0, 0, 0, 34, 21, 1, 0, 9, 1
1, Run: 081, P, 0, 0, 0, 0, 0, 0, 26, 29, 1, 0, 9, 1
1, Run: 082, P, 0, 0, 0, 0, 0, 0, 14, 41, 1, 0, 9, 1
1, Run: 083, P, 0, 0, 0, 0, 0, 0, 20, 35, 1, 0, 9, 1
1, Run: 084, P, 0, 0, 0, 0, 0, 0, 42, 13, 1, 2, 8, 1
1, Run: 085, P, 0, 0, 0, 0, 0, 0, 40, 15, 1, 0, 9, 1
1, Run: 086, P, 0, 0, 0, 0, 0, 0, 30, 24, 1, 0, 9, 0
1, Run: 087, P, 0, 0, 0, 0, 0, 0, 46, 8, 1, 0, 9, 0
1, Run: 088, P, 0, 0, 0, 0, 0, 0, 46, 9, 1, 0, 9, 1
1, Run: 089, P, 0, 0, 0, 0, 0, 0, 48, 6, 1, 0, 9, 0
1, Run: 090, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0
1, Run: 091, P, 0, 0, 0, 0, 0, 0, 40, 14, 1, 0, 9, 0
1, Run: 092, P, 0, 0, 0, 0, 0, 0, 30, 25, 1, 0, 9, 1
1, Run: 093, P, 0, 0, 0, 0, 0, 0, 12, 42, 1, 0, 9, 0
1, Run: 094, P, 0, 0, 0, 0, 0, 0, 6, 49, 1, 0, 9, 1
1, Run: 095, P, 0, 0, 0, 0, 0, 0, 44, 11, 1, 0, 9, 1
1, Run: 096, P, 0, 0, 0, 0, 0, 0, 52, 3, 1, 4, 7, 1
1, Run: 097, P, 0, 0, 0, 0, 0, 0, 42, 12, 1, 0, 9, 0
1, Run: 098, P, 0, 0, 0, 0, 0, 0, 18, 37, 1, 0, 9, 1
1, Run: 099, P, 0, 0, 0, 0, 0, 0, 44, 10, 1, 0, 9, 0
1, Run: 100, P, 0, 0, 0, 0, 0, 0, 16, 39, 1, 0, 9, 1
10, Run: 001, P, 0, 0, 0, 0, 0, 0, 542, 58, 1, 0, 100, 0
10, Run: 002, P, 0, 0, 0, 0, 0, 0, 440, 161, 1, 2, 99, 1
10, Run: 003, P, 0, 0, 0, 0, 0, 0, 330, 271, 1, 0, 100, 1
10, Run: 004, P, 0, 0, 0, 0, 0, 0, 134, 467, 1, 0, 100, 1
10, Run: 005, P, 0, 0, 0, 0, 0, 0, 508, 93, 1, 2, 99, 1
10, Run: 006, P, 0, 0, 0, 0, 0, 0, 436, 165, 1, 2, 99, 1
10, Run: 007, P, 0, 0, 0, 0, 0, 0, 540, 61, 1, 2, 99, 1
10, Run: 008, P, 0, 0, 0, 0, 0, 0, 366, 235, 1, 0, 100, 1
10, Run: 009, P, 0, 0, 0, 0, 0, 0, 202, 399, 1, 0, 100, 1
10, Run: 010, P, 0, 0, 0, 0, 0, 0, 414, 187, 1, 2, 99, 1
10, Run: 011, P, 0, 0, 0, 0, 0, 0, 474, 126, 1, 0, 100, 0
10, Run: 012, P, 0, 0, 0, 0, 0, 0, 458, 142, 1, 2, 99, 0
10, Run: 013, P, 0, 0, 0, 0, 0, 0, 542, 59, 1, 0, 100, 1
10, Run: 014, P, 0, 0, 0, 0, 0, 0, 314, 286, 1, 0, 100, 0
10, Run: 015, P, 0, 0, 0, 0, 0, 0, 544, 56, 1, 0, 100, 0
10, Run: 016, P, 0, 0, 0, 0, 0, 0, 386, 215, 1, 0, 100, 1
10, Run: 017, P, 0, 0, 0, 0, 0, 0, 484, 116, 1, 0, 100, 0
10, Run: 018, P, 0, 0, 0, 0, 0, 0, 514, 87, 1, 0, 100, 1
