Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
1, Run: 001, F, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
1, Run: 002, F, 0, 1, 0, 0, 14, 14, 0, 0, 1, 22, 1
1, Run: 003, F, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
1, Run: 004, F, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
1, Run: 005, F, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
1, Run: 006, F, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
1, Run: 007, F, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1
1, Run: 008, F, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1
1, Run: 009, F, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
1, Run: 010, F, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
1, Run: 011, F, 0, 1, 0, 0, 12, 12, 0, 0, 1, 34, 1
1, Run: 012, F, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
1, Run: 013, F, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
1, Run: 014, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
1, Run: 015, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0
1, Run: 016, F, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
1, Run: 017, F, 0, 1, 0, 0, 11, 11, 0, 0, 1, 40, 1
1, Run: 018, F, 0, 0, 0, 0, 14, 14, 0, 0, 1, 24, 0
1, Run: 019, F, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
1, Run: 020, F, 0, 0, 0, 0, 12, 12, 0, 0, 1, 36, 0
1, Run: 021, F, 0, 0, 0, 0, 15, 15, 0, 0, 1, 18, 0
1, Run: 022, F, 0, 0, 0, 0, 16, 16, 0, 0, 1, 12, 0
1, Run: 023, F, 0, 1, 0, 0, 15, 15, 0, 0, 1, 16, 1
1, Run: 024, F, 0, 1, 0, 0, 13, 13, 0, 0, 1, 28, 1
1, Run: 025, F, 0, 0, 0, 0, 13, 13, 0, 0, 1, 30, 0
