Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3
1, Run: 001, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 002, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 003, F, 10, 0, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 004, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 005, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 006, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 007, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 008, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 009, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 010, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 011, F, 0, 10, 0, 0, 0, 99, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
1, Run: 012, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 013, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 014, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 015, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
1, Run: 016, F, 0, 10, 0, 0, 0, 100, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
