Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 3, 0, 2, 1, 1, 0, 0, 3, 0, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 93, 47, 100, 84, 83, 93, 93, 83, 51, 184, 37, 90, 36, 32, 48, 34, 69, 68, 26, 25, 30, 98, 228, 109, 108, 112, 111, 94, 93, 100, 49, 65, 37, 226, 36, 28, 44, 51, 46, 45, 37, 37, 267, 195, 55, 28, 28
INVAR-1, Run: 002, P, 1, 5, 0, 1, 2, 1, 0, 0, 2, 0, 0, 4, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 90, 22, 111, 133, 131, 109, 109, 99, 56, 166, 21, 85, 21, 43, 41, 12, 65, 79, 32, 32, 38, 116, 220, 121, 121, 94, 94, 79, 79, 82, 34, 34, 43, 216, 43, 22, 40, 48, 40, 40, 12, 12, 245, 178, 90, 13, 13
INVAR-1, Run: 003, P, 1, 2, 0, 1, 0, 1, 1, 0, 2, 1, 0, 6, 1, 1, 0, 0, 0, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 91, 40, 100, 89, 89, 92, 91, 104, 71, 149, 81, 89, 80, 33, 33, 30, 76, 77, 26, 26, 20, 97, 219, 89, 87, 102, 101, 118, 117, 104, 66, 69, 35, 212, 35, 38, 25, 38, 26, 26, 31, 31, 214, 136, 61, 48, 48
INVAR-1, Run: 004, P, 1, 4, 0, 4, 5, 1, 0, 0, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 113, 45, 99, 103, 98, 90, 90, 87, 56, 199, 82, 109, 82, 31, 44, 36, 90, 58, 25, 25, 42, 100, 267, 84, 84, 99, 99, 98, 98, 116, 80, 66, 48, 267, 48, 30, 43, 36, 45, 44, 36, 36, 302, 207, 58, 40, 40
INVAR-1, Run: 005, P, 1, 3, 1, 2, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 2, 0, 98, 29, 95, 114, 114, 80, 79, 48, 26, 189, 32, 95, 30, 22, 50, 23, 27, 93, 18, 18, 12, 104, 250, 152, 152, 95, 93, 111, 110, 101, 56, 59, 28, 248, 28, 31, 43, 44, 44, 43, 27, 25, 250, 221, 68, 26, 25
INVAR-1, Run: 006, P, 1, 3, 0, 1, 3, 1, 0, 0, 1, 0, 1, 4, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 107, 39, 100, 115, 112, 104, 104, 72, 45, 206, 59, 104, 59, 27, 55, 19, 64, 95, 26, 26, 25, 119, 237, 125, 122, 110, 110, 100, 100, 102, 43, 48, 34, 233, 34, 28, 47, 59, 47, 47, 20, 20, 247, 182, 62, 29, 29
INVAR-1, Run: 007, P, 1, 4, 0, 3, 2, 1, 0, 2, 2, 0, 1, 7, 4, 1, 1, 0, 0, 1, 1, 2, 3, 2, 1, 0, 0, 1, 1, 87, 41, 105, 97, 95, 97, 97, 92, 61, 150, 118, 83, 114, 29, 33, 30, 72, 84, 18, 18, 17, 100, 278, 113, 112, 105, 103, 128, 125, 116, 65, 68, 20, 267, 20, 31, 34, 49, 34, 34, 36, 35, 238, 164, 67, 40, 40
INVAR-1, Run: 008, P, 1, 2, 0, 2, 1, 1, 0, 0, 2, 0, 1, 4, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 92, 55, 112, 110, 109, 79, 79, 99, 61, 171, 46, 90, 46, 38, 35, 20, 74, 77, 28, 28, 39, 116, 226, 103, 102, 93, 93, 64, 63, 73, 52, 37, 29, 222, 28, 16, 45, 21, 46, 46, 21, 21, 248, 172, 59, 33, 33
INVAR-1, Run: 009, P, 1, 3, 1, 0, 0, 1, 3, 3, 1, 0, 2, 5, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 97, 33, 92, 106, 106, 104, 101, 103, 53, 166, 85, 94, 83, 47, 30, 25, 58, 86, 12, 12, 13, 98, 290, 112, 112, 87, 87, 89, 89, 100, 64, 60, 21, 283, 21, 29, 42, 35, 42, 42, 30, 29, 250, 191, 59, 43, 42
INVAR-1, Run: 010, P, 1, 3, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 102, 33, 100, 101, 99, 112, 112, 85, 51, 174, 68, 99, 68, 34, 35, 34, 67, 89, 18, 18, 17, 106, 216, 98, 98, 108, 107, 91, 91, 91, 52, 57, 25, 215, 25, 23, 39, 39, 39, 39, 34, 34, 226, 158, 68, 30, 30
