Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 032, P, 220, 3, 0, 0, 0, 0, 113, 0, 1, 54, 0, 107, 18, 29, 73, 9, 6, 2, 9, 18, 27, 142, 73
INVAR-1, Run: 033, P, 192, 1, 0, 0, 0, 0, 100, 0, 1, 54, 0, 92, 18, 22, 114, 9, 6, 2, 9, 18, 27, 122, 114
INVAR-1, Run: 034, P, 165, 0, 0, 0, 0, 0, 87, 0, 1, 54, 0, 78, 18, 16, 87, 9, 5, 3, 9, 18, 27, 103, 87
INVAR-1, Run: 035, P, 219, 2, 0, 0, 0, 0, 113, 0, 1, 54, 0, 106, 18, 36, 74, 9, 6, 2, 9, 18, 27, 149, 74
INVAR-1, Run: 036, P, 193, 0, 0, 0, 0, 0, 101, 0, 1, 54, 0, 92, 18, 40, 60, 9, 4, 4, 9, 18, 27, 141, 60
INVAR-1, Run: 037, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0, 100, 18, 14, 84, 9, 6, 2, 9, 18, 27, 122, 84
INVAR-1, Run: 038, P, 202, 3, 0, 0, 0, 0, 104, 0, 1, 54, 0, 98, 18, 39, 57, 9, 3, 5, 9, 18, 27, 143, 57
INVAR-1, Run: 039, P, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0, 101, 18, 25, 89, 9, 6, 2, 9, 18, 27, 134, 89
INVAR-1, Run: 040, P, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0, 90, 18, 27, 131, 9, 2, 6, 9, 18, 27, 126, 131
INVAR-1, Run: 041, P, 172, 1, 0, 0, 0, 0, 90, 0, 1, 54, 0, 82, 18, 44, 163, 9, 3, 5, 9, 18, 27, 134, 163
INVAR-1, Run: 042, P, 200, 1, 0, 0, 0, 0, 104, 0, 1, 54, 0, 96, 18, 26, 119, 9, 7, 1, 9, 18, 27, 130, 119
INVAR-1, Run: 043, P, 252, 1, 0, 0, 0, 0, 130, 0, 1, 54, 0, 122, 18, 40, 93, 9, 4, 4, 9, 18, 27, 170, 93
INVAR-1, Run: 044, P, 209, 0, 0, 0, 0, 0, 109, 0, 1, 54, 0, 100, 18, 44, 81, 9, 1, 7, 9, 18, 27, 153, 81
INVAR-1, Run: 045, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0, 103, 18, 24, 66, 9, 6, 2, 9, 18, 27, 136, 66
INVAR-1, Run: 046, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0, 103, 18, 15, 72, 9, 6, 2, 9, 18, 27, 126, 72
INVAR-1, Run: 047, P, 228, 1, 0, 0, 0, 0, 118, 0, 1, 54, 0, 110, 18, 10, 49, 9, 6, 2, 9, 18, 27, 128, 49
