Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, P, 53, 0, 0, 18, 44, 4, 15
INVAR-1, Run: 002, P, 57, 0, 0, 33, 52, 19, 19
INVAR-1, Run: 003, P, 59, 0, 0, 20, 56, 6, 21
INVAR-1, Run: 004, P, 78, 0, 0, 37, 94, 23, 40
INVAR-1, Run: 005, P, 57, 0, 0, 19, 52, 5, 19
INVAR-1, Run: 006, P, 61, 0, 0, 22, 60, 8, 23
INVAR-1, Run: 007, P, 53, 0, 0, 25, 44, 11, 15
INVAR-1, Run: 008, P, 55, 0, 0, 19, 48, 5, 17
INVAR-1, Run: 009, P, 67, 0, 0, 32, 72, 18, 29
INVAR-1, Run: 010, P, 54, 0, 0, 24, 46, 10, 16
INVAR-1, Run: 011, P, 48, 0, 0, 14, 34, 0, 10
INVAR-1, Run: 012, P, 71, 0, 0, 29, 80, 15, 33
INVAR-1, Run: 013, P, 49, 0, 0, 17, 36, 3, 11
INVAR-1, Run: 014, P, 71, 0, 0, 29, 80, 15, 33
INVAR-1, Run: 015, P, 60, 0, 0, 22, 58, 8, 22
INVAR-1, Run: 016, P, 0, 82, 0, 35, 20, 103, 44
INVAR-1, Run: 017, P, 48, 0, 0, 15, 34, 1, 10
INVAR-1, Run: 018, P, 55, 0, 0, 15, 48, 1, 17
INVAR-1, Run: 019, P, 66, 0, 0, 28, 70, 14, 28
INVAR-1, Run: 020, P, 51, 0, 0, 19, 40, 5, 13
INVAR-1, Run: 021, P, 68, 0, 0, 32, 74, 18, 30
INVAR-1, Run: 022, P, 49, 0, 0, 15, 36, 1, 11
INVAR-1, Run: 023, P, 55, 0, 0, 18, 48, 4, 17
INVAR-1, Run: 024, P, 85, 0, 0, 38, 108, 24, 47
INVAR-1, Run: 025, P, 86, 0, 0, 40, 110, 26, 48
INVAR-1, Run: 026, P, 72, 0, 0, 34, 82, 20, 34
INVAR-1, Run: 027, P, 60, 0, 0, 20, 58, 6, 22
INVAR-1, Run: 028, P, 67, 0, 0, 38, 72, 24, 29
INVAR-1, Run: 029, P, 68, 0, 0, 32, 74, 18, 30
INVAR-1, Run: 030, P, 55, 0, 0, 24, 48, 10, 17
INVAR-1, Run: 031, P, 48, 0, 0, 19, 34, 5, 10
INVAR-1, Run: 032, P, 50, 0, 0, 17, 38, 3, 12
INVAR-1, Run: 033, P, 46, 0, 0, 16, 30, 2, 8
INVAR-1, Run: 034, P, 64, 0, 0, 32, 66, 18, 26
INVAR-1, Run: 035, P, 121, 0, 0, 69, 180, 55, 83
INVAR-1, Run: 036, P, 50, 0, 0, 22, 38, 8, 12
INVAR-1, Run: 037, P, 58, 0, 0, 25, 54, 11, 20
INVAR-1, Run: 038, P, 58, 0, 0, 22, 54, 8, 20
INVAR-1, Run: 039, P, 71, 0, 0, 32, 80, 18, 33
INVAR-1, Run: 040, P, 78, 0, 0, 34, 94, 20, 40
INVAR-1, Run: 041, P, 66, 0, 0, 30, 70, 16, 28
INVAR-1, Run: 042, P, 54, 0, 0, 16, 46, 2, 16
INVAR-1, Run: 043, P, 238, 0, 0, 214, 414, 200, 200
INVAR-1, Run: 044, P, 68, 0, 0, 28, 74, 14, 30
INVAR-1, Run: 045, P, 83, 0, 0, 41, 104, 27, 45
INVAR-1, Run: 046, P, 96, 0, 0, 41, 130, 27, 58
INVAR-1, Run: 047, P, 67, 0, 0, 20, 72, 6, 29
INVAR-1, Run: 048, P, 94, 0, 0, 56, 126, 42, 56
INVAR-1, Run: 049, P, 54, 0, 0, 19, 46, 5, 16
INVAR-1, Run: 050, P, 0, 126, 0, 56, 64, 168, 88
INVAR-1, Run: 051, P, 56, 0, 0, 19, 50, 5, 18
INVAR-1, Run: 052, P, 113, 0, 0, 80, 164, 66, 75
INVAR-1, Run: 053, P, 52, 0, 0, 19, 42, 5, 14
INVAR-1, Run: 054, P, 68, 0, 0, 29, 74, 15, 30
INVAR-1, Run: 055, P, 51, 0, 0, 19, 40, 5, 13
INVAR-1, Run: 056, P, 90, 0, 0, 48, 118, 34, 52
INVAR-1, Run: 057, P, 115, 0, 0, 68, 168, 54, 77
INVAR-1, Run: 058, P, 78, 0, 0, 51, 94, 37, 40
INVAR-1, Run: 059, P, 54, 0, 0, 26, 46, 12, 16
INVAR-1, Run: 060, P, 47, 0, 0, 18, 32, 4, 9
INVAR-1, Run: 061, P, 45, 0, 0, 14, 28, 0, 7
INVAR-1, Run: 062, P, 64, 0, 0, 31, 66, 17, 26
INVAR-1, Run: 063, P, 68, 0, 0, 24, 74, 10, 30
INVAR-1, Run: 064, P, 46, 0, 0, 18, 30, 4, 8
INVAR-1, Run: 065, P, 100, 0, 0, 74, 138, 60, 62
INVAR-1, Run: 066, P, 55, 0, 0, 22, 48, 8, 17
INVAR-1, Run: 067, P, 52, 0, 0, 19, 42, 5, 14
INVAR-1, Run: 068, P, 58, 0, 0, 21, 54, 7, 20
INVAR-1, Run: 069, P, 66, 0, 0, 37, 70, 23, 28
INVAR-1, Run: 070, P, 52, 0, 0, 22, 42, 8, 14
INVAR-1, Run: 071, P, 113, 0, 0, 57, 164, 43, 75
INVAR-1, Run: 072, P, 60, 0, 0, 27, 58, 13, 22
INVAR-1, Run: 073, P, 47, 0, 0, 15, 32, 1, 9
INVAR-1, Run: 074, P, 71, 0, 0, 28, 80, 14, 33
INVAR-1, Run: 075, P, 44, 0, 0, 16, 26, 2, 6
