Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 013, F, 5, 0, 1, 0, 1, 0, 1, 0, 76, 76, 0, 1, 7, 25, 225, 3, 3, 149, 12, 4, 1, 12, 15, 25, 371, 185
INVAR-1, Run: 014, F, 4, 0, 0, 0, 1, 0, 1, 0, 83, 83, 0, 2, 9, 27, 239, 11, 11, 156, 13, 3, 1, 13, 17, 27, 388, 193
INVAR-1, Run: 015, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 231, 2, 2, 156, 12, 5, 0, 12, 16, 25, 136, 68
INVAR-1, Run: 016, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 234, 4, 4, 159, 12, 4, 1, 12, 16, 25, 300, 150
INVAR-1, Run: 017, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 205, 6, 6, 130, 12, 5, 0, 12, 16, 25, 238, 119
INVAR-1, Run: 018, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 207, 1, 1, 126, 13, 4, 0, 13, 18, 27, 220, 110
INVAR-1, Run: 019, F, 2, 0, 0, 0, 1, 0, 1, 0, 93, 93, 0, 0, 13, 31, 365, 4, 4, 272, 15, 1, 1, 15, 22, 31, 412, 206
INVAR-1, Run: 020, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 252, 1, 1, 177, 12, 5, 0, 12, 16, 25, 294, 147
INVAR-1, Run: 021, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 217, 1, 1, 136, 13, 4, 0, 13, 18, 27, 318, 159
INVAR-1, Run: 022, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 165, 7, 7, 96, 11, 4, 2, 11, 14, 23, 166, 83
INVAR-1, Run: 023, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 240, 11, 11, 165, 12, 3, 2, 12, 16, 25, 408, 204
INVAR-1, Run: 024, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 190, 4, 4, 121, 11, 5, 1, 11, 14, 23, 158, 79
INVAR-1, Run: 025, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 210, 1, 1, 129, 13, 4, 0, 13, 18, 27, 180, 90
INVAR-1, Run: 026, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 186, 4, 4, 111, 12, 4, 1, 12, 16, 25, 152, 76
INVAR-1, Run: 027, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 304, 6, 6, 223, 13, 4, 0, 13, 18, 27, 334, 167
INVAR-1, Run: 028, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 184, 5, 5, 103, 13, 3, 1, 13, 18, 27, 288, 144
INVAR-1, Run: 029, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 194, 7, 7, 113, 13, 3, 1, 13, 18, 27, 210, 105
INVAR-1, Run: 030, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 292, 9, 9, 217, 12, 3, 2, 12, 16, 25, 260, 130
INVAR-1, Run: 031, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 182, 6, 6, 113, 11, 4, 2, 11, 14, 23, 256, 128
INVAR-1, Run: 032, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 320, 7, 7, 233, 14, 2, 1, 14, 20, 29, 404, 202
INVAR-1, Run: 033, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 196, 3, 3, 121, 12, 5, 0, 12, 16, 25, 324, 162
INVAR-1, Run: 034, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 214, 1, 1, 133, 13, 2, 2, 13, 18, 27, 328, 164
INVAR-1, Run: 035, F, 5, 0, 1, 0, 1, 0, 1, 0, 76, 76, 0, 1, 7, 25, 195, 6, 6, 119, 12, 5, 0, 12, 15, 25, 333, 166
INVAR-1, Run: 036, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 236, 1, 1, 161, 12, 5, 0, 12, 16, 25, 418, 209
INVAR-1, Run: 037, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 186, 12, 12, 117, 11, 3, 3, 11, 14, 23, 200, 100
INVAR-1, Run: 038, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 249, 5, 5, 168, 13, 4, 0, 13, 18, 27, 224, 112
INVAR-1, Run: 039, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 253, 2, 2, 172, 13, 4, 0, 13, 18, 27, 240, 120
INVAR-1, Run: 040, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 302, 7, 7, 215, 14, 1, 2, 14, 20, 29, 346, 173
INVAR-1, Run: 041, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 215, 6, 6, 140, 12, 4, 1, 12, 16, 25, 194, 97
INVAR-1, Run: 042, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 250, 1, 1, 175, 12, 5, 0, 12, 16, 25, 244, 122
INVAR-1, Run: 043, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 270, 2, 2, 195, 12, 4, 1, 12, 16, 25, 442, 221
INVAR-1, Run: 044, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 279, 6, 6, 192, 14, 2, 1, 14, 20, 29, 390, 195
INVAR-1, Run: 045, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 350, 3, 3, 263, 14, 3, 0, 14, 20, 29, 484, 242
INVAR-1, Run: 046, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 265, 4, 4, 190, 12, 3, 2, 12, 16, 25, 260, 130
INVAR-1, Run: 047, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 245, 5, 5, 158, 14, 3, 0, 14, 20, 29, 374, 187
INVAR-1, Run: 048, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 336, 6, 6, 249, 14, 1, 2, 14, 20, 29, 536, 268
INVAR-1, Run: 049, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 371, 6, 6, 284, 14, 3, 0, 14, 20, 29, 570, 285
INVAR-1, Run: 050, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 326, 8, 8, 239, 14, 3, 0, 14, 20, 29, 276, 138
INVAR-1, Run: 051, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 237, 6, 6, 156, 13, 3, 1, 13, 18, 27, 376, 188
INVAR-1, Run: 052, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 362, 2, 2, 281, 13, 4, 0, 13, 18, 27, 392, 196
INVAR-1, Run: 053, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 332, 2, 2, 251, 13, 2, 2, 13, 18, 27, 372, 186
INVAR-1, Run: 054, F, 4, 0, 1, 0, 1, 0, 1, 0, 82, 82, 0, 1, 9, 27, 243, 7, 7, 161, 13, 2, 2, 13, 17, 27, 177, 88
INVAR-1, Run: 055, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 273, 4, 4, 192, 13, 4, 0, 13, 18, 27, 210, 105
INVAR-1, Run: 056, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 244, 5, 5, 163, 13, 2, 2, 13, 18, 27, 334, 167
INVAR-1, Run: 057, F, 2, 0, 1, 0, 1, 0, 1, 0, 94, 94, 0, 1, 13, 31, 399, 6, 6, 305, 15, 2, 0, 15, 21, 31, 391, 195
INVAR-1, Run: 058, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 263, 7, 7, 176, 14, 1, 2, 14, 20, 29, 392, 196
INVAR-1, Run: 059, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 146, 4, 4, 77, 11, 4, 2, 11, 14, 23, 122, 61
INVAR-1, Run: 060, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 215, 4, 4, 134, 13, 4, 0, 13, 18, 27, 362, 181
INVAR-1, Run: 061, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 200, 7, 7, 125, 12, 5, 0, 12, 16, 25, 204, 102
INVAR-1, Run: 062, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 230, 7, 7, 149, 13, 4, 0, 13, 18, 27, 330, 165
INVAR-1, Run: 063, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 273, 4, 4, 192, 13, 4, 0, 13, 18, 27, 274, 137
INVAR-1, Run: 064, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 278, 6, 6, 191, 14, 3, 0, 14, 20, 29, 386, 193
INVAR-1, Run: 065, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 246, 3, 3, 165, 13, 4, 0, 13, 18, 27, 190, 95
INVAR-1, Run: 066, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 232, 6, 6, 151, 13, 1, 3, 13, 18, 27, 404, 202
INVAR-1, Run: 067, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 322, 7, 7, 241, 13, 2, 2, 13, 18, 27, 230, 115
INVAR-1, Run: 068, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 230, 1, 1, 155, 12, 5, 0, 12, 16, 25, 296, 148
INVAR-1, Run: 069, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 263, 2, 2, 176, 14, 2, 1, 14, 20, 29, 202, 101
INVAR-1, Run: 070, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 236, 6, 6, 155, 13, 4, 0, 13, 18, 27, 356, 178
INVAR-1, Run: 071, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 346, 6, 6, 259, 14, 3, 0, 14, 20, 29, 432, 216
INVAR-1, Run: 072, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 202, 10, 10, 133, 11, 5, 1, 11, 14, 23, 170, 85
INVAR-1, Run: 073, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 253, 10, 10, 166, 14, 3, 0, 14, 20, 29, 410, 205
INVAR-1, Run: 074, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 317, 5, 5, 230, 14, 3, 0, 14, 20, 29, 264, 132
INVAR-1, Run: 075, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 269, 9, 9, 188, 13, 2, 2, 13, 18, 27, 336, 168
INVAR-1, Run: 076, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 280, 6, 6, 193, 14, 2, 1, 14, 20, 29, 360, 180
INVAR-1, Run: 077, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 293, 2, 2, 212, 13, 4, 0, 13, 18, 27, 324, 162
INVAR-1, Run: 078, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 345, 5, 5, 258, 14, 3, 0, 14, 20, 29, 298, 149
INVAR-1, Run: 079, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 367, 4, 4, 286, 13, 4, 0, 13, 18, 27, 350, 175
INVAR-1, Run: 080, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 246, 7, 7, 171, 12, 4, 1, 12, 16, 25, 204, 102
INVAR-1, Run: 081, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 243, 4, 4, 156, 14, 3, 0, 14, 20, 29, 380, 190
INVAR-1, Run: 082, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 350, 4, 4, 263, 14, 3, 0, 14, 20, 29, 312, 156
INVAR-1, Run: 083, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 169, 2, 2, 100, 11, 5, 1, 11, 14, 23, 272, 136
INVAR-1, Run: 084, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 177, 3, 3, 108, 11, 6, 0, 11, 14, 23, 324, 162
INVAR-1, Run: 085, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 271, 6, 6, 190, 13, 4, 0, 13, 18, 27, 156, 78
INVAR-1, Run: 086, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 318, 3, 3, 231, 14, 3, 0, 14, 20, 29, 296, 148
INVAR-1, Run: 087, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 240, 3, 3, 153, 14, 1, 2, 14, 20, 29, 230, 115
INVAR-1, Run: 088, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 276, 3, 3, 201, 12, 4, 1, 12, 16, 25, 296, 148
INVAR-1, Run: 089, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 287, 4, 4, 206, 13, 2, 2, 13, 18, 27, 298, 149
INVAR-1, Run: 090, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 231, 12, 12, 156, 12, 4, 1, 12, 16, 25, 286, 143
INVAR-1, Run: 091, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 291, 6, 6, 210, 13, 4, 0, 13, 18, 27, 300, 150
INVAR-1, Run: 092, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 203, 2, 2, 128, 12, 3, 2, 12, 16, 25, 230, 115
INVAR-1, Run: 093, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 274, 1, 1, 193, 13, 3, 1, 13, 18, 27, 562, 281
INVAR-1, Run: 094, F, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 215, 5, 5, 146, 11, 4, 2, 11, 14, 23, 178, 89
INVAR-1, Run: 095, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 307, 7, 7, 226, 13, 4, 0, 13, 18, 27, 258, 129
INVAR-1, Run: 096, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 351, 2, 2, 264, 14, 1, 2, 14, 20, 29, 296, 148
INVAR-1, Run: 097, F, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 195, 4, 4, 108, 14, 2, 1, 14, 20, 29, 330, 165
INVAR-1, Run: 098, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 239, 2, 2, 164, 12, 5, 0, 12, 16, 25, 182, 91
INVAR-1, Run: 099, F, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 257, 3, 3, 176, 13, 2, 2, 13, 18, 27, 224, 112
INVAR-1, Run: 100, F, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 239, 3, 3, 164, 12, 4, 1, 12, 16, 25, 228, 114
INVAR-10, Run: 001, F, 48, 0, 0, 0, 1, 0, 1, 0, 909, 909, 0, 0, 103, 303, 10894, 23, 23, 9985, 151, 38, 10, 151, 203, 303, 13142, 6571
INVAR-10, Run: 002, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 14698, 35, 35, 13705, 165, 26, 8, 165, 231, 331, 19034, 9517
INVAR-10, Run: 003, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 11990, 34, 34, 11045, 157, 32, 10, 157, 215, 315, 12690, 6345
INVAR-10, Run: 004, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 12274, 26, 26, 11317, 159, 37, 3, 159, 219, 319, 16548, 8274
INVAR-10, Run: 005, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 16071, 38, 38, 15072, 166, 24, 9, 166, 233, 333, 18074, 9037
INVAR-10, Run: 006, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 13095, 43, 43, 12102, 165, 27, 7, 165, 231, 331, 17296, 8648
INVAR-10, Run: 007, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 14160, 39, 39, 13221, 156, 36, 7, 156, 213, 313, 17484, 8742
INVAR-10, Run: 008, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 13530, 34, 34, 12573, 159, 31, 9, 159, 219, 319, 18004, 9002
INVAR-10, Run: 009, F, 30, 0, 0, 0, 1, 0, 1, 0, 1017, 1017, 0, 0, 139, 339, 13819, 22, 22, 12802, 169, 27, 3, 169, 239, 339, 17608, 8804
INVAR-10, Run: 010, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 12901, 38, 38, 11950, 158, 33, 8, 158, 217, 317, 13520, 6760
INVAR-10, Run: 011, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 13123, 42, 42, 12160, 160, 26, 13, 160, 221, 321, 18120, 9060
INVAR-10, Run: 012, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 12440, 35, 35, 11465, 162, 31, 6, 162, 225, 325, 14248, 7124
INVAR-10, Run: 013, F, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0, 129, 329, 13012, 34, 34, 12025, 164, 23, 12, 164, 229, 329, 19112, 9556
INVAR-10, Run: 014, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 12115, 46, 46, 11164, 158, 33, 8, 158, 217, 317, 16556, 8278
INVAR-10, Run: 015, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 13653, 36, 36, 12660, 165, 24, 10, 165, 231, 331, 17958, 8979
INVAR-10, Run: 016, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0, 135, 335, 15734, 39, 39, 14729, 167, 24, 8, 167, 235, 335, 14978, 7489
INVAR-10, Run: 017, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 12085, 31, 31, 11146, 156, 29, 14, 156, 213, 313, 15726, 7863
INVAR-10, Run: 018, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 12118, 26, 26, 11149, 161, 33, 5, 161, 223, 323, 16734, 8367
INVAR-10, Run: 019, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 13784, 38, 38, 12821, 160, 32, 7, 160, 221, 321, 16204, 8102
INVAR-10, Run: 020, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 13985, 20, 20, 13016, 161, 28, 10, 161, 223, 323, 17342, 8671
INVAR-10, Run: 021, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 11557, 35, 35, 10582, 162, 27, 10, 162, 225, 325, 16488, 8244
INVAR-10, Run: 022, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 14148, 35, 35, 13149, 166, 27, 6, 166, 233, 333, 17540, 8770
INVAR-10, Run: 023, F, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0, 129, 329, 14651, 33, 33, 13664, 164, 27, 8, 164, 229, 329, 17370, 8685
INVAR-10, Run: 024, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 12653, 31, 31, 11684, 161, 31, 7, 161, 223, 323, 13554, 6777
INVAR-10, Run: 025, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 14100, 49, 49, 13143, 159, 34, 6, 159, 219, 319, 15064, 7532
INVAR-10, Run: 026, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 13406, 37, 37, 12437, 161, 30, 8, 161, 223, 323, 16528, 8264
INVAR-10, Run: 027, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 13166, 27, 27, 12203, 160, 30, 9, 160, 221, 321, 15474, 7737
INVAR-10, Run: 028, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 14657, 32, 32, 13688, 161, 30, 8, 161, 223, 323, 18626, 9313
