Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 023, F, 1, 8, 1, 0, 3, 8, 10, 1, 0, 0, 3, 1, 0, 0, 0, 1, 2, 0, 0, 2, 1, 1, 0, 0, 0, 2, 1, 10, 84, 70, 636, 592, 582, 88, 88, 93, 18, 58, 17, 84, 14, 75, 24, 28, 7, 94, 13, 13, 19, 111, 79, 101, 99, 113, 112, 97, 97, 101, 56, 67, 11, 76, 11, 35, 20, 45, 33, 31, 32, 31, 74, 64, 574, 69, 66
INVAR-1, Run: 024, F, 0, 16, 1, 2, 1, 20, 13, 1, 0, 0, 4, 1, 0, 1, 0, 1, 1, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1, 16, 100, 35, 844, 898, 885, 100, 100, 92, 11, 77, 22, 98, 21, 81, 37, 17, 12, 89, 12, 12, 11, 99, 99, 124, 121, 92, 92, 87, 87, 96, 58, 39, 14, 97, 14, 20, 22, 38, 39, 38, 19, 18, 100, 84, 829, 36, 35
INVAR-1, Run: 025, F, 0, 13, 1, 1, 7, 19, 20, 1, 1, 0, 1, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 3, 0, 19, 103, 173, 931, 850, 830, 109, 108, 116, 27, 116, 22, 102, 15, 89, 60, 17, 18, 77, 17, 17, 28, 104, 115, 98, 98, 101, 100, 122, 119, 101, 64, 56, 36, 106, 34, 32, 32, 37, 56, 53, 24, 24, 122, 103, 777, 162, 155
INVAR-1, Run: 026, F, 0, 23, 1, 2, 3, 31, 19, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 2, 0, 0, 1, 1, 1, 2, 0, 0, 1, 25, 120, 227, 1078, 1050, 1031, 99, 98, 107, 22, 100, 24, 118, 21, 85, 49, 35, 14, 89, 10, 10, 13, 102, 87, 113, 113, 97, 96, 81, 78, 99, 55, 62, 14, 83, 12, 23, 23, 42, 50, 50, 39, 38, 103, 87, 882, 227, 224
INVAR-1, Run: 027, F, 1, 19, 1, 0, 4, 17, 17, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 3, 1, 2, 0, 1, 0, 1, 0, 22, 105, 142, 1030, 1078, 1061, 97, 96, 92, 19, 111, 21, 105, 17, 73, 61, 23, 8, 73, 31, 31, 35, 106, 87, 95, 92, 108, 106, 101, 100, 92, 44, 43, 25, 83, 24, 16, 25, 47, 50, 49, 27, 27, 104, 96, 905, 159, 155
INVAR-1, Run: 028, F, 0, 23, 1, 2, 11, 31, 36, 1, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 3, 1, 1, 1, 1, 1, 1, 2, 33, 96, 177, 1712, 1739, 1703, 81, 81, 83, 8, 93, 25, 94, 14, 75, 44, 30, 2, 82, 5, 5, 5, 85, 89, 65, 62, 85, 84, 87, 84, 105, 71, 88, 11, 78, 9, 44, 11, 33, 47, 46, 43, 41, 82, 79, 1566, 213, 202
INVAR-1, Run: 029, F, 0, 29, 1, 2, 1, 24, 18, 1, 0, 0, 1, 2, 0, 4, 1, 1, 2, 2, 0, 4, 1, 2, 1, 0, 0, 1, 0, 29, 95, 73, 1352, 1367, 1349, 97, 97, 99, 18, 139, 6, 93, 4, 81, 60, 19, 12, 89, 7, 7, 9, 96, 97, 95, 91, 95, 93, 86, 83, 92, 61, 43, 24, 91, 22, 22, 45, 31, 77, 76, 21, 21, 117, 104, 1303, 96, 95
INVAR-1, Run: 030, F, 0, 25, 1, 1, 2, 17, 19, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 4, 1, 0, 0, 0, 26, 100, 119, 1395, 1492, 1473, 107, 107, 122, 16, 104, 14, 99, 12, 106, 53, 15, 13, 94, 9, 9, 13, 107, 116, 106, 106, 93, 91, 88, 84, 83, 52, 37, 9, 112, 9, 20, 25, 30, 51, 51, 17, 17, 120, 106, 1293, 127, 125
INVAR-1, Run: 031, F, 0, 11, 1, 2, 1, 13, 22, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 11, 101, 102, 502, 504, 482, 97, 97, 111, 43, 61, 20, 99, 18, 68, 32, 15, 14, 112, 3, 3, 4, 115, 114, 145, 145, 103, 102, 77, 76, 88, 36, 37, 6, 111, 6, 20, 18, 52, 29, 29, 17, 17, 84, 70, 413, 113, 112
INVAR-1, Run: 032, F, 0, 17, 1, 3, 8, 23, 21, 1, 1, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 2, 1, 3, 3, 3, 0, 1, 0, 24, 95, 209, 1391, 1318, 1297, 102, 101, 122, 18, 92, 26, 92, 18, 104, 39, 29, 9, 81, 14, 14, 16, 97, 80, 92, 90, 108, 105, 116, 113, 121, 71, 76, 28, 68, 28, 38, 28, 47, 53, 52, 38, 38, 99, 90, 1205, 258, 250
INVAR-1, Run: 033, F, 0, 12, 1, 1, 5, 16, 22, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 2, 2, 0, 0, 16, 92, 75, 737, 699, 677, 112, 111, 96, 24, 56, 9, 91, 4, 72, 31, 20, 8, 80, 16, 16, 12, 92, 87, 115, 115, 106, 105, 103, 101, 110, 67, 55, 11, 82, 11, 28, 9, 41, 25, 25, 25, 25, 74, 66, 678, 119, 114
INVAR-1, Run: 034, F, 0, 9, 1, 1, 4, 12, 13, 1, 1, 0, 0, 1, 1, 4, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 12, 114, 239, 676, 681, 668, 102, 101, 102, 30, 87, 32, 113, 28, 72, 54, 33, 23, 112, 11, 11, 13, 124, 110, 125, 124, 105, 105, 120, 119, 114, 68, 82, 12, 102, 12, 43, 20, 46, 32, 32, 39, 38, 104, 81, 449, 230, 226
INVAR-1, Run: 035, F, 0, 23, 1, 0, 4, 30, 33, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 26, 81, 101, 1340, 1341, 1308, 96, 96, 78, 9, 83, 12, 81, 8, 69, 35, 34, 4, 74, 12, 12, 20, 93, 92, 95, 93, 99, 99, 98, 98, 125, 76, 63, 13, 88, 13, 24, 22, 49, 48, 48, 39, 39, 85, 81, 1269, 123, 119
INVAR-1, Run: 036, F, 0, 17, 1, 1, 4, 20, 22, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 20, 106, 168, 1289, 1286, 1264, 117, 117, 120, 18, 73, 28, 105, 23, 102, 36, 34, 14, 106, 12, 12, 13, 119, 107, 99, 99, 111, 110, 136, 136, 118, 76, 75, 20, 102, 20, 36, 17, 41, 37, 37, 39, 39, 110, 96, 1141, 190, 186
INVAR-1, Run: 037, F, 0, 24, 1, 3, 3, 21, 20, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 3, 26, 102, 78, 1563, 1480, 1460, 77, 76, 70, 5, 80, 5, 99, 2, 65, 34, 22, 4, 92, 11, 11, 19, 111, 100, 117, 117, 100, 98, 111, 110, 90, 57, 59, 26, 95, 26, 31, 20, 32, 46, 46, 28, 25, 85, 80, 1506, 88, 85
INVAR-1, Run: 038, F, 0, 27, 1, 0, 4, 22, 38, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 30, 94, 299, 1392, 1416, 1378, 108, 108, 105, 18, 109, 40, 94, 35, 87, 58, 33, 14, 67, 24, 24, 29, 95, 96, 95, 94, 110, 110, 109, 109, 97, 72, 71, 29, 91, 29, 33, 19, 25, 50, 49, 38, 38, 99, 85, 1115, 276, 272
INVAR-1, Run: 039, F, 0, 25, 1, 1, 3, 38, 33, 1, 2, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 27, 98, 67, 1162, 1167, 1134, 114, 112, 111, 27, 85, 11, 97, 8, 84, 37, 24, 13, 114, 3, 3, 2, 115, 87, 129, 129, 74, 74, 80, 80, 82, 48, 59, 6, 82, 6, 31, 21, 34, 48, 48, 28, 28, 105, 91, 1133, 61, 58
INVAR-1, Run: 040, F, 2, 16, 1, 1, 1, 18, 15, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 2, 16, 101, 24, 901, 922, 907, 103, 102, 110, 17, 74, 2, 100, 1, 93, 37, 16, 11, 89, 12, 11, 19, 108, 77, 146, 145, 99, 97, 66, 65, 72, 45, 30, 10, 75, 9, 10, 16, 26, 37, 35, 20, 18, 93, 81, 895, 30, 29
INVAR-1, Run: 041, F, 0, 10, 1, 0, 2, 10, 9, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 5, 0, 0, 0, 0, 11, 114, 177, 878, 857, 848, 120, 118, 130, 10, 59, 27, 114, 25, 119, 32, 46, 15, 73, 8, 8, 9, 82, 113, 94, 94, 106, 105, 103, 98, 126, 84, 85, 19, 111, 19, 37, 16, 42, 27, 27, 48, 48, 88, 73, 711, 162, 160
INVAR-1, Run: 042, F, 0, 19, 1, 1, 2, 29, 17, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 3, 2, 1, 0, 1, 20, 112, 132, 1119, 1042, 1025, 88, 87, 70, 8, 76, 13, 111, 11, 62, 39, 35, 9, 86, 10, 10, 9, 95, 84, 98, 97, 111, 109, 122, 119, 90, 57, 70, 16, 82, 16, 31, 17, 31, 37, 37, 38, 37, 94, 83, 1016, 142, 140
INVAR-1, Run: 043, F, 0, 30, 1, 2, 0, 23, 26, 1, 0, 0, 4, 4, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 29, 106, 101, 950, 910, 884, 119, 119, 101, 22, 91, 19, 104, 19, 79, 37, 33, 20, 87, 19, 18, 22, 109, 92, 86, 86, 91, 91, 78, 77, 94, 64, 70, 20, 91, 19, 37, 18, 30, 50, 48, 33, 33, 111, 87, 872, 92, 92
INVAR-1, Run: 044, F, 0, 26, 1, 1, 4, 26, 33, 1, 0, 0, 2, 2, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 29, 88, 248, 1343, 1361, 1328, 98, 98, 91, 14, 116, 18, 87, 14, 77, 54, 13, 6, 88, 9, 9, 8, 96, 108, 90, 90, 89, 88, 85, 85, 72, 40, 36, 12, 102, 12, 19, 30, 31, 60, 59, 17, 17, 110, 102, 1121, 246, 242
INVAR-1, Run: 045, F, 0, 10, 1, 1, 0, 7, 14, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 9, 93, 36, 671, 612, 598, 96, 94, 101, 26, 51, 9, 92, 8, 75, 28, 25, 13, 105, 9, 9, 6, 111, 77, 94, 94, 104, 102, 86, 86, 85, 54, 49, 10, 76, 10, 23, 14, 31, 23, 23, 26, 26, 82, 69, 642, 39, 39
INVAR-1, Run: 046, F, 0, 22, 1, 0, 4, 28, 26, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 5, 4, 1, 0, 0, 25, 98, 138, 1581, 1514, 1488, 101, 101, 97, 15, 88, 8, 98, 4, 81, 46, 31, 9, 77, 28, 28, 21, 98, 85, 98, 98, 97, 96, 118, 113, 122, 74, 70, 34, 81, 34, 32, 17, 44, 42, 42, 37, 37, 86, 77, 1471, 129, 125
INVAR-1, Run: 047, F, 0, 12, 1, 2, 1, 14, 10, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 12, 102, 23, 524, 537, 527, 90, 89, 105, 28, 88, 7, 100, 6, 77, 49, 18, 19, 97, 10, 10, 7, 102, 85, 113, 112, 98, 96, 88, 87, 91, 48, 39, 11, 84, 11, 20, 27, 43, 39, 39, 19, 19, 97, 78, 515, 30, 29
INVAR-1, Run: 048, F, 0, 21, 1, 2, 3, 30, 28, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 23, 108, 98, 895, 937, 909, 103, 102, 75, 31, 120, 13, 106, 10, 44, 69, 20, 11, 112, 4, 4, 2, 113, 113, 112, 110, 87, 86, 91, 90, 91, 50, 47, 7, 110, 7, 24, 28, 41, 51, 51, 23, 23, 133, 121, 827, 124, 121
INVAR-1, Run: 049, F, 0, 13, 1, 1, 4, 12, 9, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 16, 107, 155, 850, 854, 845, 94, 94, 120, 14, 87, 29, 106, 25, 106, 52, 33, 12, 73, 14, 14, 8, 80, 106, 67, 66, 97, 96, 70, 70, 101, 63, 90, 13, 102, 13, 51, 19, 37, 35, 35, 39, 38, 108, 96, 707, 162, 158
INVAR-1, Run: 050, F, 0, 17, 1, 2, 2, 21, 15, 1, 1, 1, 5, 4, 0, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0, 0, 0, 1, 18, 96, 82, 854, 840, 825, 105, 104, 101, 19, 104, 16, 94, 14, 81, 54, 25, 6, 93, 24, 24, 25, 117, 124, 121, 119, 113, 111, 108, 106, 114, 64, 64, 30, 121, 30, 36, 28, 50, 46, 46, 28, 27, 123, 112, 793, 85, 83
INVAR-1, Run: 051, F, 0, 21, 1, 2, 1, 22, 21, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 21, 107, 168, 802, 821, 800, 119, 119, 114, 27, 76, 20, 105, 19, 87, 40, 28, 20, 91, 12, 12, 5, 96, 99, 102, 102, 92, 91, 102, 100, 97, 64, 64, 25, 98, 24, 34, 14, 33, 36, 36, 30, 30, 116, 96, 656, 156, 155
