Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y
18, Run: 019, P, 5, 668, 0, 0, 5, 0, 0
18, Run: 020, P, 5, 602, 0, 0, 5, 0, 0
18, Run: 021, P, 5, 625, 0, 0, 5, 0, 0
18, Run: 022, P, 5, 618, 0, 0, 5, 0, 0
18, Run: 023, P, 5, 612, 0, 0, 5, 0, 0
18, Run: 024, P, 5, 633, 0, 0, 5, 0, 0
18, Run: 025, P, 5, 569, 0, 0, 5, 0, 0
18, Run: 026, P, 5, 652, 0, 0, 5, 0, 0
18, Run: 027, P, 5, 624, 0, 0, 5, 0, 0
18, Run: 028, P, 5, 638, 0, 0, 5, 0, 0
18, Run: 029, P, 5, 615, 0, 0, 5, 0, 0
18, Run: 030, P, 5, 614, 0, 0, 5, 0, 0
18, Run: 031, P, 5, 623, 0, 0, 5, 0, 0
18, Run: 032, P, 5, 627, 0, 0, 5, 0, 0
18, Run: 033, P, 5, 648, 0, 0, 5, 0, 0
18, Run: 034, P, 5, 607, 0, 0, 5, 0, 0
18, Run: 035, P, 5, 605, 0, 0, 5, 0, 0
18, Run: 036, P, 5, 614, 0, 0, 5, 0, 0
18, Run: 037, P, 5, 635, 0, 0, 5, 0, 0
18, Run: 038, P, 5, 644, 0, 0, 5, 0, 0
18, Run: 039, P, 5, 610, 0, 0, 5, 0, 0
18, Run: 040, P, 5, 634, 0, 0, 5, 0, 0
18, Run: 041, P, 5, 604, 0, 0, 5, 0, 0
18, Run: 042, P, 5, 617, 0, 0, 5, 0, 0
18, Run: 043, P, 5, 611, 0, 0, 5, 0, 0
18, Run: 044, P, 5, 633, 0, 0, 5, 0, 0
18, Run: 045, P, 5, 630, 0, 0, 5, 0, 0
18, Run: 046, P, 5, 637, 0, 0, 5, 0, 0
18, Run: 047, P, 5, 634, 0, 0, 5, 0, 0
18, Run: 048, P, 5, 628, 0, 0, 5, 0, 0
18, Run: 049, P, 5, 589, 0, 0, 5, 0, 0
18, Run: 050, P, 5, 628, 0, 0, 5, 0, 0
18, Run: 051, P, 5, 634, 0, 0, 5, 0, 0
18, Run: 052, P, 5, 626, 0, 0, 5, 0, 0
18, Run: 053, P, 5, 629, 0, 0, 5, 0, 0
18, Run: 054, P, 5, 639, 0, 0, 5, 0, 0
18, Run: 055, P, 5, 663, 0, 0, 5, 0, 0
18, Run: 056, P, 5, 632, 0, 0, 5, 0, 0
18, Run: 057, P, 5, 624, 0, 0, 5, 0, 0
18, Run: 058, P, 5, 631, 0, 0, 5, 0, 0
18, Run: 059, P, 5, 618, 0, 0, 5, 0, 0
18, Run: 060, P, 5, 612, 0, 0, 5, 0, 0
18, Run: 061, P, 5, 623, 0, 0, 5, 0, 0
18, Run: 062, P, 5, 612, 0, 0, 5, 0, 0
