Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 042, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 119, 5, 5, 85, 6, 6, 0, 6, 9, 13, 17, 11
INVAR-1, Run: 043, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 56, 4, 4, 22, 6, 4, 2, 6, 9, 13, 69, 37
INVAR-1, Run: 044, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 39, 1, 1, 5, 6, 5, 1, 6, 9, 13, 15, 10
INVAR-1, Run: 045, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 149, 10, 10, 115, 6, 4, 2, 6, 9, 13, 147, 76
INVAR-1, Run: 046, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 66, 7, 7, 32, 6, 4, 2, 6, 9, 13, 79, 42
INVAR-1, Run: 047, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 60, 4, 4, 26, 6, 6, 0, 6, 9, 13, 41, 23
INVAR-1, Run: 048, P, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 84, 10, 10, 84, 7, 4, 2, 7, 9, 14, 36, 20
INVAR-1, Run: 049, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 74, 2, 2, 40, 6, 4, 2, 6, 9, 13, 77, 41
INVAR-1, Run: 050, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 135, 8, 8, 101, 6, 6, 0, 6, 9, 13, 65, 35
INVAR-1, Run: 051, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 110, 17, 17, 76, 6, 5, 1, 6, 9, 13, 85, 45
INVAR-1, Run: 052, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 49, 11, 11, 15, 6, 3, 3, 6, 9, 13, 27, 16
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 52, 5, 5, 52, 6, 4, 1, 6, 9, 12, 36, 21
INVAR-1, Run: 054, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 96, 3, 3, 62, 6, 3, 3, 6, 9, 13, 105, 55
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 27, 0, 0, 27, 6, 3, 2, 6, 9, 12, 10, 8
INVAR-1, Run: 056, P, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 29, 5, 3, 29, 7, 3, 3, 6, 9, 14, 108, 56
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 43, 11, 11, 43, 6, 3, 2, 6, 9, 12, 50, 28
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 42, 2, 2, 42, 6, 3, 2, 6, 9, 12, 170, 88
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 18, 0, 0, 18, 6, 4, 1, 6, 9, 12, 28, 17
INVAR-1, Run: 060, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 94, 2, 2, 60, 6, 5, 1, 6, 9, 13, 51, 28
INVAR-1, Run: 061, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 56, 3, 3, 22, 6, 5, 1, 6, 9, 13, 75, 40
INVAR-1, Run: 062, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 141, 9, 9, 107, 6, 4, 2, 6, 9, 13, 89, 47
INVAR-1, Run: 063, P, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 30, 3, 3, 30, 7, 3, 3, 7, 9, 14, 198, 101
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 79, 3, 3, 79, 6, 4, 1, 6, 9, 12, 116, 61
INVAR-1, Run: 065, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 43, 2, 2, 9, 6, 5, 1, 6, 9, 13, 57, 31
INVAR-1, Run: 066, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 53, 4, 4, 19, 6, 2, 4, 6, 9, 13, 57, 31
INVAR-1, Run: 067, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 65, 2, 2, 31, 6, 6, 0, 6, 9, 13, 43, 24
INVAR-1, Run: 068, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 59, 3, 3, 25, 6, 6, 0, 6, 9, 13, 55, 30
INVAR-1, Run: 069, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 61, 9, 9, 27, 6, 6, 0, 6, 9, 13, 77, 41
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 27, 4, 4, 27, 6, 3, 2, 6, 9, 12, 54, 30
INVAR-1, Run: 071, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 45, 0, 0, 11, 6, 5, 1, 6, 9, 13, 57, 31
INVAR-1, Run: 072, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 55, 3, 3, 21, 6, 2, 4, 6, 9, 13, 53, 29
INVAR-1, Run: 073, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 78, 5, 5, 44, 6, 5, 1, 6, 9, 13, 65, 35
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 42, 4, 4, 42, 6, 1, 4, 6, 9, 12, 38, 22
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 35, 3, 3, 35, 6, 5, 0, 6, 9, 12, 26, 16
INVAR-1, Run: 076, P, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 27, 4, 2, 27, 7, 6, 0, 6, 9, 14, 68, 36
INVAR-1, Run: 077, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 93, 5, 5, 59, 6, 4, 2, 6, 9, 13, 91, 48
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 13, 0, 0, 13, 6, 2, 3, 6, 9, 12, 56, 31
INVAR-1, Run: 079, P, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 50, 8, 8, 50, 7, 5, 1, 7, 9, 14, 64, 34
INVAR-1, Run: 080, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 87, 2, 2, 53, 6, 5, 1, 6, 9, 13, 29, 17
INVAR-1, Run: 081, P, 1, 0, 0, 0, 0, 0, 0, 38, 0, 4, 1, 4, 4, 14, 35, 8, 4, 35, 7, 2, 4, 5, 9, 14, 54, 29
INVAR-1, Run: 082, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 48, 5, 5, 14, 6, 4, 2, 6, 9, 13, 11, 8
INVAR-1, Run: 083, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 83, 5, 5, 49, 6, 5, 1, 6, 9, 13, 49, 27
INVAR-1, Run: 084, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 81, 1, 1, 47, 6, 4, 2, 6, 9, 13, 65, 35
INVAR-1, Run: 085, P, 1, 0, 1, 1, 1, 0, 1, 0, 35, 35, 0, 0, 5, 13, 82, 8, 8, 47, 6, 3, 3, 6, 8, 13, 132, 68
INVAR-1, Run: 086, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 219, 9, 9, 185, 6, 5, 1, 6, 9, 13, 59, 32
INVAR-1, Run: 087, P, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 34, 6, 6, 34, 7, 5, 1, 7, 9, 14, 38, 21
INVAR-1, Run: 088, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 83, 4, 4, 49, 6, 6, 0, 6, 9, 13, 111, 58
INVAR-1, Run: 089, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 43, 1, 1, 9, 6, 3, 3, 6, 9, 13, 27, 16
INVAR-1, Run: 090, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 68, 5, 5, 34, 6, 3, 3, 6, 9, 13, 67, 36
INVAR-1, Run: 091, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 96, 6, 6, 62, 6, 4, 2, 6, 9, 13, 57, 31
INVAR-1, Run: 092, P, 4, 0, 0, 1, 0, 0, 1, 0, 42, 42, 0, 0, 3, 15, 151, 13, 13, 109, 7, 6, 1, 7, 9, 15, 55, 29
INVAR-1, Run: 093, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 40, 6, 6, 6, 6, 4, 2, 6, 9, 13, 55, 30
INVAR-1, Run: 094, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 93, 6, 6, 59, 6, 4, 2, 6, 9, 13, 81, 43
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 17, 2, 2, 17, 6, 2, 3, 6, 9, 12, 38, 22
INVAR-1, Run: 096, P, 2, 0, 0, 0, 0, 0, 0, 38, 0, 2, 1, 2, 4, 14, 18, 6, 4, 18, 7, 4, 2, 6, 9, 14, 26, 15
INVAR-1, Run: 097, P, 3, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 0, 4, 14, 29, 6, 6, 29, 7, 2, 4, 7, 9, 14, 38, 21
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 1, 0, 6, 12, 13, 2, 2, 13, 6, 5, 0, 6, 9, 12, 30, 18
INVAR-1, Run: 099, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 68, 1, 1, 34, 6, 6, 0, 6, 9, 13, 47, 26
INVAR-1, Run: 100, P, 1, 0, 0, 1, 0, 0, 1, 0, 34, 34, 0, 0, 5, 13, 47, 1, 1, 13, 6, 6, 0, 6, 9, 13, 49, 27
INVAR-10, Run: 001, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1749, 42, 42, 1409, 67, 48, 19, 67, 100, 135, 1607, 836
INVAR-10, Run: 002, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 924, 42, 42, 924, 67, 49, 17, 67, 100, 134, 3022, 1544
INVAR-10, Run: 003, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1696, 44, 44, 1356, 67, 43, 24, 67, 100, 135, 1753, 909
INVAR-10, Run: 004, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1303, 38, 38, 1303, 67, 50, 16, 67, 100, 134, 1686, 876
INVAR-10, Run: 005, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1543, 50, 50, 1543, 67, 40, 26, 67, 100, 134, 2234, 1150
INVAR-10, Run: 006, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1845, 61, 61, 1505, 67, 41, 26, 67, 100, 135, 2025, 1045
INVAR-10, Run: 007, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1541, 73, 73, 1541, 67, 39, 27, 67, 100, 134, 2922, 1494
INVAR-10, Run: 008, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1833, 45, 45, 1493, 67, 46, 21, 67, 100, 135, 1865, 965
INVAR-10, Run: 009, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1671, 29, 29, 1331, 67, 40, 27, 67, 100, 135, 1653, 859
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1644, 28, 26, 1644, 67, 49, 17, 66, 100, 134, 1954, 1010
INVAR-10, Run: 011, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2158, 44, 44, 1818, 67, 44, 23, 67, 100, 135, 1477, 771
INVAR-10, Run: 012, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1481, 47, 47, 1481, 67, 41, 25, 67, 100, 134, 1896, 981
INVAR-10, Run: 013, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1725, 42, 42, 1385, 67, 36, 31, 67, 100, 135, 1313, 689
INVAR-10, Run: 014, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1281, 41, 41, 1281, 67, 40, 26, 67, 100, 134, 1686, 876
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1418, 61, 59, 1418, 67, 43, 23, 66, 100, 134, 2450, 1258
INVAR-10, Run: 016, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1862, 37, 37, 1522, 67, 46, 21, 67, 100, 135, 1715, 890
INVAR-10, Run: 017, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 3178, 61, 61, 2838, 67, 36, 31, 67, 100, 135, 2009, 1037
INVAR-10, Run: 018, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1417, 47, 47, 1417, 67, 46, 20, 67, 100, 134, 2094, 1080
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1274, 45, 43, 1274, 67, 36, 30, 66, 100, 134, 1550, 808
INVAR-10, Run: 020, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1587, 39, 39, 1587, 67, 36, 30, 67, 100, 134, 2360, 1213
INVAR-10, Run: 021, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 3056, 45, 45, 2716, 67, 43, 24, 67, 100, 135, 2853, 1459
INVAR-10, Run: 022, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1507, 54, 54, 1507, 67, 46, 20, 67, 100, 134, 1986, 1026
INVAR-10, Run: 023, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1065, 50, 50, 1065, 67, 34, 32, 67, 100, 134, 1856, 961
INVAR-10, Run: 024, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1319, 46, 46, 1319, 67, 45, 21, 67, 100, 134, 2022, 1044
INVAR-10, Run: 025, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1064, 48, 48, 1064, 67, 40, 26, 67, 100, 134, 1368, 717
INVAR-10, Run: 026, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2390, 50, 50, 2050, 67, 46, 21, 67, 100, 135, 1189, 627
INVAR-10, Run: 027, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1448, 61, 61, 1448, 67, 40, 26, 67, 100, 134, 2156, 1111
