Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 0, 9, 5, 18, 91, 3, 3, 91, 9, 7, 1, 9, 4, 18, 41, 18
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 77, 4, 4, 77, 9, 4, 4, 9, 9, 18, 88, 44
INVAR-1, Run: 024, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 133, 9, 7, 133, 9, 3, 5, 8, 8, 18, 175, 87
INVAR-1, Run: 025, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 83, 6, 6, 83, 9, 5, 3, 9, 8, 18, 49, 24
INVAR-1, Run: 026, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 234, 12, 12, 234, 9, 3, 5, 9, 8, 18, 57, 28
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 68, 6, 6, 68, 9, 7, 1, 9, 6, 18, 33, 15
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 99, 8, 6, 99, 9, 5, 3, 8, 9, 18, 100, 50
INVAR-1, Run: 029, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 128, 3, 3, 128, 9, 6, 2, 9, 7, 18, 48, 23
INVAR-1, Run: 030, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 55, 4, 4, 55, 9, 6, 2, 9, 6, 18, 29, 13
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 132, 2, 2, 132, 9, 7, 1, 9, 8, 18, 67, 33
INVAR-1, Run: 032, F, 0, 0, 0, 0, 0, 0, 58, 0, 2, 1, 2, 8, 4, 18, 57, 17, 15, 57, 9, 5, 3, 8, 5, 18, 118, 57
INVAR-1, Run: 033, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 119, 5, 5, 119, 9, 6, 2, 9, 7, 18, 174, 86
INVAR-1, Run: 034, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 129, 3, 3, 129, 9, 7, 1, 9, 6, 18, 49, 23
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 113, 4, 4, 113, 9, 8, 0, 9, 7, 18, 146, 72
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 134, 6, 6, 134, 9, 8, 0, 9, 6, 18, 43, 20
INVAR-1, Run: 037, F, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8, 3, 18, 203, 6, 4, 203, 9, 7, 1, 8, 6, 18, 131, 64
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 144, 6, 6, 144, 9, 4, 4, 9, 7, 18, 112, 55
INVAR-1, Run: 039, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 121, 6, 6, 121, 9, 4, 4, 9, 7, 18, 194, 96
INVAR-1, Run: 040, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 119, 6, 6, 119, 9, 2, 6, 9, 6, 18, 105, 51
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 103, 7, 5, 103, 9, 6, 2, 8, 8, 18, 73, 36
INVAR-1, Run: 042, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 105, 3, 3, 105, 9, 6, 2, 9, 6, 18, 87, 42
INVAR-1, Run: 043, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 109, 7, 7, 109, 9, 5, 3, 9, 7, 18, 48, 23
