Input Number, Run_Number, Result@ 100, Y, X, V
1, Run: 001, F, 2, 0, 0
1, Run: 002, F, 2, 0, 0
1, Run: 003, F, 1, 0, 0
1, Run: 004, P, 0, 0, 1
1, Run: 005, F, 1, 0, 0
1, Run: 006, F, 2, 0, 0
1, Run: 007, F, 2, 0, 0
1, Run: 008, F, 1, 0, 1
1, Run: 009, F, 3, 0, 1
1, Run: 010, P, 0, 0, 1
1, Run: 011, F, 2, 0, 0
1, Run: 012, F, 1, 0, 0
1, Run: 013, F, 2, 0, 1
1, Run: 014, F, 1, 0, 0
1, Run: 015, F, 1, 0, 0
1, Run: 016, P, 0, 0, 1
1, Run: 017, F, 1, 0, 0
1, Run: 018, P, 0, 0, 1
1, Run: 019, F, 2, 0, 1
1, Run: 020, F, 1, 0, 0
1, Run: 021, F, 2, 0, 0
1, Run: 022, F, 1, 0, 0
1, Run: 023, F, 2, 0, 0
1, Run: 024, F, 1, 0, 0
1, Run: 025, F, 1, 0, 0
1, Run: 026, F, 2, 0, 0
1, Run: 027, P, 0, 0, 1
1, Run: 028, F, 2, 0, 0
1, Run: 029, F, 2, 0, 0
1, Run: 030, F, 3, 0, 0
1, Run: 031, P, 0, 0, 1
1, Run: 032, P, 0, 0, 1
1, Run: 033, F, 1, 0, 1
1, Run: 034, F, 1, 0, 0
1, Run: 035, F, 1, 0, 1
1, Run: 036, F, 2, 0, 0
1, Run: 037, F, 2, 0, 0
1, Run: 038, F, 1, 0, 1
1, Run: 039, F, 1, 0, 0
1, Run: 040, P, 0, 0, 1
1, Run: 041, P, 0, 0, 1
1, Run: 042, P, 0, 0, 1
1, Run: 043, P, 0, 0, 1
1, Run: 044, P, 0, 0, 2
1, Run: 045, F, 1, 0, 0
1, Run: 046, F, 2, 0, 0
1, Run: 047, F, 1, 0, 0
1, Run: 048, P, 0, 0, 2
1, Run: 049, F, 2, 0, 0
1, Run: 050, F, 1, 0, 0
1, Run: 051, F, 1, 0, 0
1, Run: 052, P, 0, 0, 1
1, Run: 053, F, 1, 0, 0
1, Run: 054, F, 1, 0, 1
1, Run: 055, F, 3, 0, 0
1, Run: 056, P, 0, 0, 1
1, Run: 057, P, 0, 0, 1
1, Run: 058, F, 1, 0, 1
1, Run: 059, F, 1, 0, 0
1, Run: 060, P, 0, 0, 1
1, Run: 061, F, 1, 0, 0
1, Run: 062, P, 0, 0, 1
1, Run: 063, F, 1, 0, 1
1, Run: 064, F, 1, 0, 1
1, Run: 065, F, 2, 0, 0
1, Run: 066, F, 1, 0, 1
1, Run: 067, F, 2, 0, 2
1, Run: 068, F, 1, 0, 0
1, Run: 069, P, 0, 0, 1
1, Run: 070, P, 0, 0, 1
1, Run: 071, P, 0, 0, 1
1, Run: 072, F, 3, 0, 0
1, Run: 073, F, 1, 0, 1
1, Run: 074, F, 1, 0, 1
1, Run: 075, P, 0, 0, 1
1, Run: 076, F, 2, 0, 1
1, Run: 077, F, 2, 0, 0
1, Run: 078, F, 1, 0, 1
1, Run: 079, F, 2, 0, 0
1, Run: 080, F, 3, 0, 0
1, Run: 081, P, 0, 0, 2
1, Run: 082, P, 0, 0, 1
1, Run: 083, P, 0, 0, 1
1, Run: 084, P, 0, 0, 1
1, Run: 085, F, 1, 0, 0
1, Run: 086, F, 1, 0, 1
1, Run: 087, F, 1, 0, 1
1, Run: 088, F, 1, 0, 2
1, Run: 089, P, 0, 0, 1
1, Run: 090, F, 1, 0, 0
1, Run: 091, P, 0, 0, 2
1, Run: 092, F, 1, 0, 0
1, Run: 093, F, 1, 0, 1
1, Run: 094, P, 0, 0, 1
1, Run: 095, P, 0, 0, 1
1, Run: 096, F, 2, 0, 1
1, Run: 097, P, 0, 0, 1
1, Run: 098, P, 0, 0, 1
1, Run: 099, P, 0, 0, 1
1, Run: 100, F, 2, 0, 1
10, Run: 001, P, 0, 0, 1
10, Run: 002, P, 0, 0, 1
10, Run: 003, P, 0, 0, 1
10, Run: 004, F, 1, 0, 1
10, Run: 005, F, 1, 0, 0
10, Run: 006, F, 2, 0, 0
10, Run: 007, F, 2, 0, 0
10, Run: 008, F, 2, 0, 0
10, Run: 009, F, 1, 0, 1
10, Run: 010, F, 2, 0, 0
10, Run: 011, P, 0, 0, 1
10, Run: 012, F, 1, 0, 0
10, Run: 013, F, 1, 0, 0
10, Run: 014, F, 1, 0, 1
10, Run: 015, F, 1, 0, 1
10, Run: 016, F, 2, 0, 0
10, Run: 017, F, 1, 0, 1
10, Run: 018, F, 1, 0, 0
10, Run: 019, F, 1, 0, 1
10, Run: 020, P, 0, 0, 1
10, Run: 021, F, 2, 0, 0
10, Run: 022, F, 2, 0, 0
10, Run: 023, F, 1, 0, 0
