Input Number, Run_Number, Result@ 100, X, XP, Z, YP
1, Run: 001, F, 0, 0, 116, 78
1, Run: 002, F, 0, 0, 106, 68
1, Run: 003, F, 0, 0, 97, 59
1, Run: 004, F, 0, 0, 96, 58
1, Run: 005, F, 0, 0, 85, 47
1, Run: 006, F, 0, 0, 94, 56
1, Run: 007, F, 0, 0, 112, 74
1, Run: 008, F, 0, 0, 81, 43
1, Run: 009, F, 0, 0, 100, 62
1, Run: 010, F, 0, 0, 112, 74
1, Run: 011, F, 0, 0, 116, 78
1, Run: 012, F, 0, 0, 109, 71
1, Run: 013, F, 0, 0, 119, 81
1, Run: 014, F, 0, 0, 107, 69
1, Run: 015, F, 0, 0, 109, 71
1, Run: 016, F, 0, 0, 81, 43
1, Run: 017, F, 0, 0, 105, 67
1, Run: 018, F, 0, 0, 92, 54
1, Run: 019, F, 0, 0, 114, 76
1, Run: 020, F, 0, 0, 105, 67
1, Run: 021, F, 0, 0, 99, 61
1, Run: 022, F, 0, 0, 92, 54
1, Run: 023, F, 0, 0, 124, 86
1, Run: 024, F, 0, 0, 121, 83
1, Run: 025, F, 0, 0, 105, 67
1, Run: 026, F, 0, 0, 122, 84
1, Run: 027, F, 0, 0, 85, 47
1, Run: 028, F, 0, 0, 104, 66
1, Run: 029, F, 0, 0, 102, 64
1, Run: 030, F, 0, 0, 95, 57
1, Run: 031, F, 0, 0, 107, 69
1, Run: 032, F, 0, 0, 105, 67
1, Run: 033, F, 0, 0, 118, 80
1, Run: 034, F, 0, 0, 117, 79
1, Run: 035, F, 0, 0, 100, 62
1, Run: 036, F, 0, 0, 91, 53
1, Run: 037, F, 0, 0, 88, 50
1, Run: 038, F, 0, 0, 95, 57
1, Run: 039, F, 0, 0, 87, 49
1, Run: 040, F, 0, 0, 116, 78
1, Run: 041, F, 0, 0, 100, 62
1, Run: 042, F, 0, 0, 93, 55
1, Run: 043, F, 0, 0, 107, 69
1, Run: 044, F, 0, 0, 98, 60
1, Run: 045, F, 0, 0, 103, 65
1, Run: 046, F, 0, 0, 103, 65
1, Run: 047, F, 0, 0, 93, 55
1, Run: 048, F, 0, 0, 95, 57
1, Run: 049, F, 0, 0, 88, 50
1, Run: 050, F, 0, 0, 99, 61
1, Run: 051, F, 0, 0, 121, 83
1, Run: 052, F, 0, 0, 81, 43
1, Run: 053, F, 0, 0, 121, 83
1, Run: 054, F, 0, 0, 93, 55
1, Run: 055, F, 0, 0, 115, 77
1, Run: 056, F, 0, 0, 88, 50
1, Run: 057, F, 0, 0, 104, 66
1, Run: 058, F, 0, 0, 110, 72
1, Run: 059, F, 0, 0, 86, 48
1, Run: 060, F, 0, 0, 111, 73
1, Run: 061, F, 0, 0, 99, 61
1, Run: 062, F, 0, 0, 98, 60
1, Run: 063, F, 0, 0, 107, 69
1, Run: 064, F, 0, 0, 99, 61
1, Run: 065, F, 0, 0, 103, 65
1, Run: 066, F, 0, 0, 81, 43
1, Run: 067, F, 0, 0, 96, 58
1, Run: 068, F, 0, 0, 103, 65
1, Run: 069, F, 0, 0, 107, 69
1, Run: 070, F, 0, 0, 99, 61
1, Run: 071, F, 0, 0, 106, 68
1, Run: 072, F, 0, 0, 89, 51
1, Run: 073, F, 0, 0, 100, 62
1, Run: 074, F, 0, 0, 93, 55
1, Run: 075, F, 0, 0, 105, 67
1, Run: 076, F, 0, 0, 97, 59
1, Run: 077, F, 0, 0, 95, 57
1, Run: 078, F, 0, 0, 97, 59
1, Run: 079, F, 0, 0, 98, 60
1, Run: 080, F, 0, 0, 76, 38
1, Run: 081, F, 0, 0, 121, 83
1, Run: 082, F, 0, 0, 97, 59
1, Run: 083, F, 0, 0, 97, 59
1, Run: 084, F, 0, 0, 129, 91
1, Run: 085, F, 0, 0, 82, 44
1, Run: 086, F, 0, 0, 98, 60
1, Run: 087, F, 0, 0, 92, 54
1, Run: 088, F, 0, 0, 91, 53
1, Run: 089, F, 0, 0, 96, 58
1, Run: 090, F, 0, 0, 89, 51
1, Run: 091, F, 0, 0, 102, 64
1, Run: 092, F, 0, 0, 94, 56
1, Run: 093, F, 0, 0, 97, 59
1, Run: 094, F, 0, 0, 88, 50
1, Run: 095, F, 0, 0, 110, 72
1, Run: 096, F, 0, 0, 107, 69
1, Run: 097, F, 0, 0, 116, 78
1, Run: 098, F, 0, 0, 85, 47
1, Run: 099, F, 0, 0, 100, 62
1, Run: 100, F, 0, 0, 87, 49
10, Run: 001, F, 0, 0, 110, 60
10, Run: 002, F, 0, 0, 105, 55
10, Run: 003, F, 0, 0, 83, 33
10, Run: 004, F, 0, 0, 107, 57
10, Run: 005, F, 0, 0, 93, 43
10, Run: 006, F, 0, 0, 107, 57
10, Run: 007, F, 0, 0, 111, 61
10, Run: 008, F, 0, 0, 83, 33
10, Run: 009, F, 0, 0, 101, 51
10, Run: 010, F, 0, 0, 108, 58
10, Run: 011, F, 0, 0, 98, 48
10, Run: 012, F, 0, 0, 94, 44
10, Run: 013, F, 0, 0, 90, 40
10, Run: 014, F, 0, 0, 101, 51
10, Run: 015, F, 0, 0, 95, 45
10, Run: 016, F, 0, 0, 102, 52
10, Run: 017, F, 0, 0, 104, 54
10, Run: 018, F, 0, 0, 102, 52
10, Run: 019, F, 0, 0, 105, 55
10, Run: 020, F, 0, 0, 85, 35
10, Run: 021, F, 0, 0, 110, 60
10, Run: 022, F, 0, 0, 117, 67
10, Run: 023, F, 0, 0, 117, 67
10, Run: 024, F, 0, 0, 93, 43
10, Run: 025, F, 0, 0, 105, 55
10, Run: 026, F, 0, 0, 105, 55
10, Run: 027, F, 0, 0, 99, 49
10, Run: 028, F, 0, 0, 114, 64
10, Run: 029, F, 0, 0, 87, 37
10, Run: 030, F, 0, 0, 113, 63
10, Run: 031, F, 0, 0, 93, 43
10, Run: 032, F, 0, 0, 109, 59
10, Run: 033, F, 0, 0, 96, 46
10, Run: 034, F, 0, 0, 97, 47
10, Run: 035, F, 0, 0, 109, 59
10, Run: 036, F, 0, 0, 77, 27
10, Run: 037, F, 0, 0, 101, 51
10, Run: 038, F, 0, 0, 97, 47
10, Run: 039, F, 0, 0, 92, 42
10, Run: 040, F, 0, 0, 112, 62
10, Run: 041, F, 0, 0, 113, 63
10, Run: 042, F, 0, 0, 114, 64
10, Run: 043, F, 0, 0, 113, 63
10, Run: 044, F, 0, 0, 117, 67
10, Run: 045, F, 0, 0, 97, 47
10, Run: 046, F, 0, 0, 95, 45
10, Run: 047, F, 0, 0, 99, 49
10, Run: 048, F, 0, 0, 109, 59
10, Run: 049, F, 0, 0, 94, 44
10, Run: 050, F, 0, 0, 108, 58
10, Run: 051, F, 0, 0, 101, 51
10, Run: 052, F, 0, 0, 100, 50
10, Run: 053, F, 0, 0, 103, 53
10, Run: 054, F, 0, 0, 90, 40
10, Run: 055, F, 0, 0, 100, 50
10, Run: 056, F, 0, 0, 102, 52
10, Run: 057, F, 0, 0, 92, 42
10, Run: 058, F, 0, 0, 113, 63
10, Run: 059, F, 0, 0, 90, 40
10, Run: 060, F, 0, 0, 95, 45
10, Run: 061, F, 0, 0, 96, 46
10, Run: 062, F, 0, 0, 99, 49
10, Run: 063, F, 0, 0, 118, 68
10, Run: 064, F, 0, 0, 126, 76
10, Run: 065, F, 0, 0, 98, 48
10, Run: 066, F, 0, 0, 98, 48
10, Run: 067, F, 0, 0, 96, 46
10, Run: 068, F, 0, 0, 105, 55
10, Run: 069, F, 0, 0, 88, 38
10, Run: 070, F, 0, 0, 109, 59
10, Run: 071, F, 0, 0, 107, 57
10, Run: 072, F, 0, 0, 89, 39
10, Run: 073, F, 0, 0, 105, 55
10, Run: 074, F, 0, 0, 120, 70
10, Run: 075, F, 0, 0, 105, 55
10, Run: 076, F, 0, 0, 87, 37
10, Run: 077, F, 0, 0, 85, 35
10, Run: 078, F, 0, 0, 111, 61
10, Run: 079, F, 0, 0, 92, 42
10, Run: 080, F, 0, 0, 96, 46
10, Run: 081, F, 0, 0, 91, 41
10, Run: 082, F, 0, 0, 99, 49
10, Run: 083, F, 0, 0, 112, 62
10, Run: 084, F, 0, 0, 108, 58
10, Run: 085, F, 0, 0, 97, 47
10, Run: 086, F, 0, 0, 99, 49
10, Run: 087, F, 0, 0, 108, 58
10, Run: 088, F, 0, 0, 98, 48
10, Run: 089, F, 0, 0, 106, 56
10, Run: 090, F, 0, 0, 117, 67
10, Run: 091, F, 0, 0, 105, 55
10, Run: 092, F, 0, 0, 105, 55
10, Run: 093, F, 0, 0, 93, 43
10, Run: 094, F, 0, 0, 99, 49
10, Run: 095, F, 0, 0, 96, 46
10, Run: 096, F, 0, 0, 96, 46
10, Run: 097, F, 0, 0, 84, 34
10, Run: 098, F, 0, 0, 81, 31
10, Run: 099, F, 0, 0, 108, 58
10, Run: 100, F, 0, 0, 111, 61
11, Run: 001, F, 0, 0, 103, 3
11, Run: 002, P, 0, 0, 100, 0
11, Run: 003, P, 0, 11, 100, 0
11, Run: 004, F, 0, 0, 105, 5
11, Run: 005, P, 0, 21, 100, 0
11, Run: 006, P, 0, 12, 100, 0
11, Run: 007, P, 0, 1, 100, 0
11, Run: 008, F, 0, 0, 110, 10
11, Run: 009, P, 0, 29, 100, 0
11, Run: 010, F, 0, 0, 111, 11
11, Run: 011, F, 0, 0, 113, 13
11, Run: 012, F, 0, 0, 101, 1
11, Run: 013, F, 0, 0, 108, 8
11, Run: 014, F, 0, 0, 116, 16
11, Run: 015, F, 0, 0, 107, 7
11, Run: 016, P, 0, 8, 100, 0
11, Run: 017, P, 0, 11, 100, 0
11, Run: 018, P, 0, 7, 100, 0
11, Run: 019, F, 0, 0, 127, 27
11, Run: 020, P, 0, 1, 100, 0
11, Run: 021, F, 0, 0, 102, 2
11, Run: 022, F, 0, 0, 122, 22
11, Run: 023, F, 0, 0, 103, 3
11, Run: 024, P, 0, 8, 100, 0
11, Run: 025, P, 0, 1, 100, 0
11, Run: 026, F, 0, 0, 113, 13
11, Run: 027, P, 0, 7, 100, 0
11, Run: 028, F, 0, 0, 112, 12
11, Run: 029, F, 0, 0, 101, 1
11, Run: 030, F, 0, 0, 101, 1
11, Run: 031, F, 0, 0, 106, 6
11, Run: 032, P, 0, 3, 100, 0
11, Run: 033, F, 0, 0, 105, 5
11, Run: 034, F, 0, 0, 106, 6
11, Run: 035, P, 0, 1, 100, 0
11, Run: 036, F, 0, 0, 102, 2
11, Run: 037, P, 0, 0, 100, 0
11, Run: 038, P, 0, 3, 100, 0
11, Run: 039, P, 0, 10, 100, 0
11, Run: 040, F, 0, 0, 107, 7
11, Run: 041, P, 0, 5, 100, 0
11, Run: 042, F, 0, 0, 104, 4
11, Run: 043, F, 0, 0, 114, 14
11, Run: 044, P, 0, 9, 100, 0
11, Run: 045, P, 0, 5, 100, 0
11, Run: 046, P, 0, 0, 100, 0
11, Run: 047, F, 0, 0, 112, 12
11, Run: 048, F, 0, 0, 101, 1
11, Run: 049, P, 0, 8, 100, 0
11, Run: 050, F, 0, 0, 110, 10
11, Run: 051, P, 0, 3, 100, 0
11, Run: 052, F, 0, 0, 109, 9
11, Run: 053, F, 0, 0, 112, 12
11, Run: 054, P, 0, 14, 100, 0
11, Run: 055, F, 0, 0, 106, 6
11, Run: 056, P, 0, 9, 100, 0
11, Run: 057, P, 0, 11, 100, 0
11, Run: 058, F, 0, 2, 101, 1
11, Run: 059, P, 0, 0, 100, 0
11, Run: 060, F, 0, 0, 102, 2
11, Run: 061, P, 0, 7, 100, 0
11, Run: 062, P, 0, 16, 100, 0
11, Run: 063, F, 0, 0, 106, 6
11, Run: 064, F, 0, 0, 102, 2
11, Run: 065, P, 0, 0, 100, 0
11, Run: 066, F, 0, 0, 101, 1
11, Run: 067, F, 0, 0, 101, 1
11, Run: 068, F, 0, 0, 102, 2
11, Run: 069, F, 0, 0, 109, 9
11, Run: 070, F, 0, 1, 101, 1
11, Run: 071, P, 0, 4, 100, 0
11, Run: 072, F, 0, 0, 105, 5
11, Run: 073, F, 0, 0, 103, 3
11, Run: 074, P, 0, 13, 100, 0
11, Run: 075, P, 0, 14, 100, 0
11, Run: 076, F, 0, 0, 106, 6
11, Run: 077, F, 0, 0, 110, 10
11, Run: 078, P, 0, 7, 100, 0
11, Run: 079, F, 0, 0, 108, 8
11, Run: 080, F, 0, 0, 106, 6
11, Run: 081, F, 0, 0, 118, 18
11, Run: 082, F, 0, 0, 116, 16
11, Run: 083, F, 0, 0, 105, 5
11, Run: 084, P, 0, 1, 100, 0
11, Run: 085, F, 0, 0, 109, 9
11, Run: 086, F, 0, 0, 109, 9
11, Run: 087, P, 0, 0, 100, 0
11, Run: 088, P, 0, 19, 100, 0
11, Run: 089, P, 0, 18, 100, 0
11, Run: 090, F, 0, 0, 109, 9
11, Run: 091, P, 0, 3, 100, 0
11, Run: 092, P, 0, 7, 100, 0
11, Run: 093, F, 0, 0, 108, 8
11, Run: 094, F, 0, 0, 106, 6
11, Run: 095, F, 0, 0, 119, 19
11, Run: 096, F, 0, 0, 104, 4
11, Run: 097, F, 0, 0, 101, 1
11, Run: 098, F, 0, 0, 121, 21
11, Run: 099, F, 0, 0, 113, 13
11, Run: 100, P, 0, 8, 100, 0
12, Run: 001, P, 0, 109, 200, 0
12, Run: 002, P, 0, 101, 200, 0
12, Run: 003, P, 0, 105, 200, 0
12, Run: 004, P, 0, 99, 200, 0
12, Run: 005, P, 0, 116, 200, 0
12, Run: 006, P, 0, 108, 200, 0
12, Run: 007, P, 0, 113, 200, 0
12, Run: 008, P, 0, 107, 200, 0
12, Run: 009, P, 0, 102, 200, 0
12, Run: 010, P, 0, 106, 200, 0
12, Run: 011, P, 0, 100, 200, 0
12, Run: 012, P, 0, 119, 200, 0
12, Run: 013, P, 0, 107, 200, 0
12, Run: 014, P, 0, 112, 200, 0
12, Run: 015, P, 0, 84, 200, 0
12, Run: 016, P, 0, 75, 200, 0
12, Run: 017, P, 0, 74, 200, 0
12, Run: 018, P, 0, 98, 200, 0
12, Run: 019, P, 0, 112, 200, 0
12, Run: 020, P, 0, 98, 200, 0
12, Run: 021, P, 0, 98, 200, 0
12, Run: 022, P, 0, 103, 200, 0
12, Run: 023, P, 0, 93, 200, 0
12, Run: 024, P, 0, 105, 200, 0
12, Run: 025, P, 0, 98, 200, 0
12, Run: 026, P, 0, 98, 200, 0
12, Run: 027, P, 0, 107, 200, 0
12, Run: 028, P, 0, 92, 200, 0
12, Run: 029, P, 0, 98, 200, 0
12, Run: 030, P, 0, 91, 200, 0
12, Run: 031, P, 0, 102, 200, 0
12, Run: 032, P, 0, 85, 200, 0
12, Run: 033, P, 0, 100, 200, 0
12, Run: 034, P, 0, 109, 200, 0
12, Run: 035, P, 0, 107, 200, 0
12, Run: 036, P, 0, 99, 200, 0
12, Run: 037, P, 0, 103, 200, 0
12, Run: 038, P, 0, 104, 200, 0
12, Run: 039, P, 0, 89, 200, 0
12, Run: 040, P, 0, 100, 200, 0
12, Run: 041, P, 0, 97, 200, 0
12, Run: 042, P, 0, 88, 200, 0
12, Run: 043, P, 0, 117, 200, 0
12, Run: 044, P, 0, 70, 200, 0
12, Run: 045, P, 0, 100, 200, 0
12, Run: 046, P, 0, 90, 200, 0
12, Run: 047, P, 0, 101, 200, 0
12, Run: 048, P, 0, 99, 200, 0
12, Run: 049, P, 0, 106, 200, 0
12, Run: 050, P, 0, 100, 200, 0
12, Run: 051, P, 0, 103, 200, 0
12, Run: 052, P, 0, 99, 200, 0
12, Run: 053, P, 0, 100, 200, 0
12, Run: 054, P, 0, 110, 200, 0
12, Run: 055, P, 0, 114, 200, 0
12, Run: 056, P, 0, 103, 200, 0
12, Run: 057, P, 0, 110, 200, 0
12, Run: 058, P, 0, 108, 200, 0
12, Run: 059, P, 0, 90, 200, 0
12, Run: 060, P, 0, 101, 200, 0
12, Run: 061, P, 0, 91, 200, 0
12, Run: 062, P, 0, 106, 200, 0
12, Run: 063, P, 0, 83, 200, 0
12, Run: 064, P, 0, 107, 200, 0
12, Run: 065, P, 0, 92, 200, 0
12, Run: 066, P, 0, 118, 200, 0
12, Run: 067, P, 0, 91, 200, 0
12, Run: 068, P, 0, 87, 200, 0
12, Run: 069, P, 0, 109, 200, 0
12, Run: 070, P, 0, 92, 200, 0
12, Run: 071, P, 0, 105, 200, 0
12, Run: 072, P, 0, 92, 200, 0
12, Run: 073, P, 0, 102, 200, 0
12, Run: 074, P, 0, 107, 200, 0
12, Run: 075, P, 0, 95, 200, 0
12, Run: 076, P, 0, 100, 200, 0
12, Run: 077, P, 0, 102, 200, 0
12, Run: 078, P, 0, 81, 200, 0
12, Run: 079, P, 0, 94, 200, 0
12, Run: 080, P, 0, 92, 200, 0
12, Run: 081, P, 0, 94, 200, 0
12, Run: 082, P, 0, 102, 200, 0
12, Run: 083, P, 0, 95, 200, 0
12, Run: 084, P, 0, 81, 200, 0
12, Run: 085, P, 0, 95, 200, 0
12, Run: 086, P, 0, 105, 200, 0
12, Run: 087, P, 0, 100, 200, 0
12, Run: 088, P, 0, 103, 200, 0
12, Run: 089, P, 0, 92, 200, 0
12, Run: 090, P, 0, 107, 200, 0
12, Run: 091, P, 0, 91, 200, 0
12, Run: 092, P, 0, 103, 200, 0
12, Run: 093, P, 0, 106, 200, 0
12, Run: 094, P, 0, 104, 200, 0
12, Run: 095, P, 0, 118, 200, 0
12, Run: 096, P, 0, 75, 200, 0
12, Run: 097, P, 0, 81, 200, 0
12, Run: 098, P, 0, 105, 200, 0
12, Run: 099, P, 0, 95, 200, 0
12, Run: 100, P, 0, 106, 200, 0
13, Run: 001, F, 0, 0, 136, 118
13, Run: 002, F, 0, 0, 89, 71
13, Run: 003, F, 0, 0, 95, 77
13, Run: 004, F, 0, 0, 94, 76
13, Run: 005, F, 0, 0, 122, 104
13, Run: 006, F, 0, 0, 102, 84
13, Run: 007, F, 0, 0, 103, 85
13, Run: 008, F, 0, 0, 110, 92
13, Run: 009, F, 0, 0, 94, 76
13, Run: 010, F, 0, 0, 91, 73
13, Run: 011, F, 0, 0, 128, 110
13, Run: 012, F, 0, 0, 97, 79
13, Run: 013, F, 0, 0, 92, 74
