Input Number, Run_Number, Result@ 100, predator_Q2b_H2, prey_H1, predator_g555, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, F, 0, 0, 4, 5, 1, 0, 0, 1, 1, 5, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 3, 0, 0, 2, 1, 3, 97, 10, 95, 115, 114, 134, 129, 142, 71, 83, 19, 97, 16, 70, 45, 25, 35, 77, 21, 21, 23, 100, 83, 89, 89, 93, 89, 104, 101, 94, 53, 58, 48, 80, 48, 28, 35, 39, 38, 38, 30, 28, 99, 64, 86, 11, 11
INVAR-1, Run: 012, F, 0, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 1, 1, 96, 3, 102, 135, 135, 97, 97, 100, 63, 67, 10, 95, 9, 37, 45, 26, 28, 80, 19, 18, 16, 96, 83, 118, 118, 100, 98, 83, 81, 102, 57, 59, 20, 82, 19, 31, 20, 43, 22, 22, 28, 27, 89, 61, 99, 4, 4
INVAR-1, Run: 013, F, 0, 0, 3, 0, 1, 1, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 2, 100, 4, 93, 98, 98, 239, 234, 246, 167, 49, 6, 99, 4, 74, 25, 18, 36, 89, 8, 7, 14, 102, 99, 121, 120, 103, 101, 115, 112, 111, 67, 42, 11, 97, 9, 22, 20, 46, 24, 24, 20, 20, 70, 34, 89, 4, 4
INVAR-1, Run: 014, F, 0, 1, 5, 1, 1, 2, 0, 1, 0, 6, 10, 2, 1, 0, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 97, 25, 93, 93, 93, 284, 278, 259, 176, 52, 28, 95, 24, 73, 24, 26, 32, 97, 8, 8, 5, 102, 121, 79, 79, 98, 98, 111, 111, 90, 71, 64, 9, 113, 9, 34, 22, 22, 27, 27, 30, 30, 90, 56, 69, 21, 21
INVAR-1, Run: 015, F, 0, 0, 4, 1, 1, 3, 0, 1, 2, 6, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 3, 102, 3, 99, 87, 85, 176, 170, 172, 106, 62, 12, 99, 9, 64, 30, 26, 46, 82, 19, 19, 13, 94, 120, 86, 84, 94, 93, 92, 91, 78, 55, 68, 19, 117, 19, 37, 28, 25, 31, 31, 30, 29, 125, 78, 97, 6, 6
INVAR-1, Run: 016, P, 0, 0, 1, 0, 1, 1, 0, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 105, 30, 96, 112, 111, 98, 95, 118, 61, 39, 20, 104, 20, 54, 12, 20, 32, 81, 14, 13, 18, 98, 111, 115, 115, 107, 107, 87, 85, 74, 46, 42, 20, 111, 19, 22, 26, 28, 27, 27, 20, 20, 75, 43, 67, 18, 18
INVAR-1, Run: 017, F, 1, 0, 7, 0, 1, 1, 0, 0, 0, 15, 14, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 6, 109, 17, 89, 99, 99, 367, 352, 351, 239, 39, 37, 108, 30, 98, 15, 30, 53, 78, 16, 16, 7, 85, 117, 68, 67, 100, 99, 101, 101, 90, 67, 71, 24, 110, 24, 34, 18, 29, 24, 24, 37, 37, 110, 57, 72, 25, 25
INVAR-1, Run: 018, F, 0, 1, 5, 3, 1, 1, 0, 2, 2, 2, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 1, 0, 2, 1, 4, 100, 16, 109, 95, 93, 323, 321, 338, 195, 44, 22, 99, 18, 140, 18, 17, 71, 88, 4, 4, 3, 91, 113, 80, 80, 99, 97, 90, 87, 109, 68, 53, 11, 109, 10, 29, 20, 42, 26, 26, 23, 21, 130, 59, 95, 17, 17
INVAR-1, Run: 019, F, 0, 0, 2, 0, 1, 0, 1, 4, 1, 2, 0, 0, 0, 1, 0, 1, 4, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 101, 29, 95, 83, 82, 163, 161, 152, 110, 55, 18, 101, 16, 42, 29, 35, 48, 79, 22, 22, 15, 90, 70, 64, 62, 100, 100, 85, 84, 98, 75, 79, 18, 68, 18, 41, 25, 24, 26, 26, 38, 38, 103, 55, 70, 16, 15
INVAR-1, Run: 020, F, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 4, 0, 0, 0, 0, 1, 1, 92, 4, 90, 78, 78, 178, 178, 162, 104, 61, 8, 91, 7, 57, 31, 21, 32, 84, 17, 17, 16, 100, 79, 119, 116, 95, 91, 81, 81, 79, 59, 53, 34, 77, 34, 31, 29, 21, 30, 30, 22, 22, 106, 74, 87, 5, 5
INVAR-1, Run: 021, F, 0, 1, 4, 2, 1, 2, 0, 0, 0, 2, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 3, 83, 14, 99, 117, 117, 270, 268, 252, 152, 72, 18, 81, 15, 95, 30, 39, 41, 86, 15, 14, 15, 101, 66, 94, 94, 91, 91, 102, 101, 103, 72, 69, 37, 62, 36, 25, 37, 32, 42, 42, 43, 42, 95, 54, 85, 11, 11
INVAR-1, Run: 022, F, 0, 0, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 105, 11, 93, 84, 83, 184, 183, 244, 175, 47, 20, 104, 19, 69, 28, 44, 34, 76, 10, 10, 9, 85, 78, 81, 81, 108, 108, 111, 111, 97, 71, 93, 15, 75, 15, 47, 18, 27, 19, 19, 46, 45, 85, 51, 83, 13, 13
INVAR-1, Run: 023, P, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 4, 0, 0, 0, 1, 0, 100, 13, 98, 95, 95, 94, 93, 79, 60, 76, 8, 100, 8, 17, 37, 20, 35, 75, 21, 21, 15, 90, 116, 116, 116, 89, 87, 74, 70, 85, 46, 40, 18, 116, 18, 19, 39, 38, 39, 39, 21, 21, 109, 74, 86, 8, 8
INVAR-1, Run: 024, F, 1, 0, 4, 0, 1, 0, 1, 1, 0, 7, 8, 0, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 3, 96, 8, 108, 124, 124, 228, 221, 241, 131, 47, 13, 96, 8, 102, 20, 25, 44, 79, 13, 13, 15, 93, 104, 60, 59, 98, 97, 102, 101, 110, 82, 73, 15, 97, 15, 43, 24, 31, 27, 27, 30, 30, 94, 50, 101, 11, 10
INVAR-1, Run: 025, F, 0, 0, 4, 2, 1, 1, 0, 2, 1, 8, 4, 0, 0, 2, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 2, 1, 3, 88, 23, 93, 74, 73, 260, 252, 248, 173, 50, 15, 87, 12, 71, 20, 28, 30, 82, 31, 31, 17, 98, 97, 93, 91, 101, 100, 138, 137, 124, 78, 72, 61, 93, 60, 36, 26, 47, 30, 30, 35, 33, 79, 49, 72, 15, 15
INVAR-1, Run: 026, F, 1, 0, 3, 0, 1, 2, 0, 2, 3, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 2, 79, 23, 97, 104, 101, 117, 117, 116, 72, 41, 24, 77, 21, 43, 22, 37, 20, 98, 21, 21, 15, 112, 75, 130, 129, 100, 100, 121, 119, 135, 71, 77, 18, 71, 18, 37, 17, 66, 19, 19, 40, 40, 69, 49, 76, 17, 17
INVAR-1, Run: 027, F, 0, 0, 5, 0, 1, 0, 0, 4, 4, 4, 4, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 4, 84, 13, 110, 90, 86, 242, 238, 250, 140, 71, 17, 84, 13, 106, 35, 38, 42, 75, 20, 20, 19, 93, 86, 95, 94, 104, 104, 113, 113, 101, 57, 73, 27, 82, 27, 31, 31, 48, 36, 35, 42, 42, 86, 44, 101, 13, 13
INVAR-1, Run: 028, F, 1, 0, 4, 0, 1, 2, 0, 2, 1, 5, 3, 0, 0, 0, 3, 1, 3, 0, 0, 3, 1, 0, 2, 0, 0, 0, 1, 3, 101, 18, 92, 106, 105, 335, 330, 371, 237, 52, 27, 99, 23, 131, 23, 33, 40, 96, 16, 16, 14, 107, 91, 136, 133, 109, 109, 113, 111, 117, 57, 67, 27, 84, 27, 30, 26, 63, 29, 29, 37, 37, 79, 39, 76, 15, 15
INVAR-1, Run: 029, F, 1, 0, 6, 0, 1, 1, 1, 1, 0, 6, 5, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 5, 92, 27, 108, 95, 95, 367, 361, 374, 234, 35, 36, 91, 29, 135, 16, 30, 55, 80, 15, 15, 18, 96, 77, 95, 93, 95, 95, 86, 86, 96, 63, 72, 18, 69, 18, 35, 14, 38, 19, 19, 37, 37, 96, 41, 82, 30, 29
INVAR-1, Run: 030, F, 0, 1, 5, 0, 1, 1, 0, 0, 1, 5, 3, 0, 1, 0, 3, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 4, 101, 19, 85, 74, 73, 329, 324, 319, 214, 42, 35, 100, 31, 102, 20, 31, 56, 101, 7, 7, 1, 100, 97, 82, 82, 105, 104, 77, 76, 100, 67, 73, 5, 90, 5, 37, 15, 37, 21, 20, 36, 35, 102, 46, 66, 17, 17
INVAR-1, Run: 031, F, 0, 0, 3, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 2, 110, 2, 81, 98, 98, 242, 241, 264, 172, 36, 9, 109, 7, 91, 13, 12, 32, 81, 14, 14, 13, 94, 106, 101, 101, 98, 96, 89, 87, 81, 43, 34, 31, 103, 30, 20, 20, 39, 23, 23, 14, 14, 83, 49, 81, 4, 4
INVAR-1, Run: 032, F, 0, 0, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 87, 8, 90, 80, 79, 91, 90, 80, 56, 55, 10, 86, 9, 24, 20, 25, 21, 82, 9, 8, 15, 96, 60, 122, 121, 95, 95, 75, 74, 81, 53, 65, 13, 57, 12, 38, 33, 29, 35, 35, 27, 27, 68, 47, 83, 6, 6
INVAR-1, Run: 033, F, 0, 1, 6, 0, 1, 2, 0, 0, 1, 2, 4, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 5, 81, 3, 107, 115, 114, 321, 319, 324, 191, 52, 21, 79, 16, 129, 28, 42, 60, 86, 7, 6, 4, 90, 82, 76, 76, 93, 92, 110, 108, 103, 71, 82, 11, 75, 10, 35, 17, 37, 24, 24, 47, 47, 115, 55, 104, 4, 4
INVAR-1, Run: 034, F, 0, 0, 5, 0, 1, 0, 0, 1, 0, 4, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 104, 19, 93, 103, 103, 309, 305, 298, 174, 43, 26, 104, 22, 122, 20, 45, 46, 76, 11, 11, 5, 80, 102, 55, 55, 111, 111, 122, 121, 108, 90, 81, 12, 97, 11, 32, 18, 22, 23, 23, 49, 49, 95, 49, 75, 21, 21
INVAR-1, Run: 035, F, 0, 0, 4, 1, 1, 0, 0, 2, 0, 3, 4, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 3, 108, 22, 98, 87, 87, 236, 233, 232, 151, 51, 32, 108, 29, 77, 29, 29, 56, 84, 19, 18, 14, 98, 110, 90, 90, 88, 87, 87, 85, 94, 71, 59, 16, 106, 15, 25, 18, 25, 22, 22, 34, 34, 136, 80, 78, 28, 28
INVAR-1, Run: 036, F, 1, 0, 6, 1, 1, 1, 0, 0, 0, 7, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 5, 130, 9, 96, 80, 80, 439, 432, 454, 321, 50, 35, 129, 29, 130, 27, 25, 74, 102, 12, 11, 26, 128, 130, 106, 106, 103, 102, 108, 107, 91, 63, 60, 18, 124, 17, 26, 17, 32, 23, 23, 34, 32, 113, 39, 87, 13, 13
INVAR-1, Run: 037, F, 1, 0, 5, 2, 1, 1, 0, 0, 0, 6, 2, 0, 0, 0, 1, 1, 3, 0, 0, 3, 1, 3, 1, 0, 0, 0, 1, 4, 98, 17, 80, 85, 85, 273, 267, 286, 186, 49, 24, 97, 19, 98, 24, 21, 53, 102, 8, 8, 9, 108, 121, 101, 98, 111, 108, 94, 93, 79, 50, 48, 12, 115, 12, 22, 21, 31, 25, 25, 26, 26, 121, 68, 63, 20, 20
INVAR-1, Run: 038, F, 1, 0, 5, 1, 1, 1, 0, 2, 0, 3, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3, 1, 4, 93, 5, 87, 97, 97, 316, 313, 290, 187, 56, 15, 92, 10, 102, 32, 18, 37, 73, 21, 21, 12, 84, 93, 83, 83, 93, 93, 116, 115, 82, 58, 58, 33, 87, 32, 32, 18, 27, 24, 23, 26, 23, 83, 46, 84, 12, 12
INVAR-1, Run: 039, F, 0, 0, 3, 0, 1, 1, 1, 4, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 2, 99, 13, 113, 99, 99, 211, 209, 212, 120, 52, 12, 98, 9, 91, 29, 30, 32, 95, 7, 7, 6, 100, 92, 88, 85, 92, 91, 55, 54, 74, 62, 70, 9, 89, 9, 37, 21, 14, 23, 23, 33, 33, 85, 53, 104, 7, 6
INVAR-1, Run: 040, F, 0, 0, 3, 0, 1, 1, 0, 2, 1, 4, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 91, 20, 111, 83, 82, 189, 185, 188, 138, 41, 20, 90, 18, 49, 17, 31, 24, 79, 16, 16, 27, 106, 92, 125, 124, 111, 110, 111, 110, 112, 62, 73, 32, 88, 32, 38, 22, 52, 24, 24, 35, 34, 71, 47, 93, 9, 9
INVAR-1, Run: 041, F, 0, 0, 4, 1, 1, 3, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 3, 93, 20, 88, 78, 78, 241, 240, 223, 151, 49, 13, 90, 10, 71, 27, 39, 47, 74, 19, 18, 21, 93, 77, 83, 82, 102, 102, 102, 99, 99, 60, 72, 33, 73, 31, 28, 17, 41, 22, 22, 43, 43, 91, 44, 68, 19, 19
INVAR-1, Run: 042, F, 0, 0, 3, 1, 1, 2, 0, 3, 3, 4, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 105, 11, 123, 101, 98, 141, 137, 149, 89, 67, 14, 103, 12, 58, 33, 26, 28, 89, 16, 16, 8, 96, 95, 67, 66, 96, 95, 72, 72, 79, 62, 60, 26, 93, 26, 31, 32, 18, 34, 34, 29, 28, 111, 83, 115, 9, 9
INVAR-1, Run: 043, F, 0, 0, 4, 2, 1, 0, 1, 0, 0, 5, 5, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 3, 100, 20, 90, 102, 102, 358, 353, 350, 206, 53, 29, 100, 25, 139, 29, 27, 49, 64, 14, 14, 18, 81, 112, 59, 58, 98, 96, 100, 99, 97, 69, 65, 29, 108, 29, 32, 21, 29, 24, 24, 32, 32, 109, 60, 70, 17, 16
INVAR-1, Run: 044, F, 1, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 92, 8, 112, 119, 119, 160, 159, 139, 89, 37, 5, 91, 3, 50, 23, 21, 25, 83, 4, 4, 2, 82, 60, 113, 113, 100, 99, 72, 72, 82, 48, 43, 11, 58, 11, 19, 13, 35, 14, 14, 23, 23, 70, 45, 104, 6, 6
INVAR-1, Run: 045, F, 0, 0, 6, 3, 1, 0, 0, 1, 4, 7, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 3, 1, 0, 2, 1, 5, 109, 7, 102, 112, 108, 211, 204, 243, 106, 48, 19, 109, 14, 135, 23, 31, 34, 96, 4, 4, 4, 99, 106, 112, 111, 99, 96, 122, 119, 108, 70, 77, 10, 101, 10, 38, 20, 40, 25, 25, 38, 36, 96, 62, 96, 9, 9
INVAR-1, Run: 046, P, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 2, 1, 0, 1, 1, 2, 2, 0, 0, 2, 1, 0, 97, 0, 92, 100, 99, 105, 103, 104, 62, 67, 7, 97, 7, 41, 35, 25, 15, 86, 12, 12, 24, 108, 80, 130, 129, 93, 91, 95, 92, 91, 46, 57, 17, 80, 16, 30, 30, 44, 32, 32, 27, 25, 88, 72, 92, 3, 3
INVAR-1, Run: 047, F, 0, 0, 3, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 91, 11, 93, 99, 98, 252, 251, 200, 132, 47, 20, 89, 18, 67, 22, 22, 42, 97, 6, 6, 4, 101, 103, 90, 90, 90, 89, 87, 87, 79, 43, 50, 9, 99, 9, 26, 23, 37, 25, 25, 24, 24, 79, 37, 82, 11, 11
INVAR-1, Run: 048, F, 0, 0, 7, 0, 1, 0, 1, 1, 0, 4, 5, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 2, 9, 0, 0, 1, 0, 6, 104, 18, 100, 83, 83, 471, 467, 428, 260, 57, 22, 104, 15, 163, 26, 20, 54, 86, 19, 19, 19, 103, 108, 93, 91, 112, 110, 126, 117, 116, 63, 78, 13, 101, 13, 48, 25, 59, 31, 31, 30, 29, 90, 36, 83, 22, 21
INVAR-1, Run: 049, F, 0, 0, 3, 0, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 84, 19, 81, 87, 87, 187, 184, 185, 88, 36, 12, 83, 9, 97, 9, 22, 26, 81, 8, 8, 21, 101, 75, 99, 99, 92, 91, 71, 68, 67, 41, 52, 14, 71, 13, 27, 24, 28, 27, 27, 25, 25, 64, 38, 63, 16, 15
INVAR-1, Run: 050, F, 1, 0, 3, 2, 1, 0, 0, 2, 1, 1, 1, 1, 1, 0, 3, 1, 1, 0, 0, 0, 1, 3, 3, 0, 2, 0, 1, 2, 81, 9, 107, 106, 105, 181, 180, 172, 115, 48, 13, 81, 10, 56, 29, 32, 40, 87, 10, 10, 5, 91, 82, 97, 97, 98, 95, 106, 103, 113, 74, 58, 9, 76, 9, 23, 14, 39, 18, 16, 35, 35, 92, 51, 100, 6, 6
INVAR-1, Run: 051, F, 0, 0, 5, 0, 1, 1, 0, 2, 4, 9, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 4, 1, 0, 0, 1, 4, 112, 1, 107, 136, 132, 232, 223, 265, 134, 42, 11, 111, 7, 129, 24, 25, 50, 95, 11, 11, 12, 106, 95, 88, 88, 87, 85, 72, 68, 94, 68, 66, 14, 91, 14, 36, 14, 30, 18, 18, 29, 29, 103, 52, 108, 5, 5
INVAR-1, Run: 052, F, 0, 0, 3, 3, 1, 1, 1, 0, 0, 3, 3, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 3, 8, 3, 1, 0, 0, 2, 94, 8, 91, 88, 88, 169, 166, 205, 122, 27, 14, 93, 11, 80, 13, 21, 36, 110, 4, 4, 1, 111, 85, 109, 109, 110, 107, 104, 95, 95, 50, 59, 13, 82, 12, 31, 10, 44, 14, 13, 25, 25, 89, 53, 83, 14, 13
INVAR-1, Run: 053, F, 0, 0, 5, 1, 1, 0, 0, 1, 0, 6, 0, 0, 0, 0, 0, 1, 3, 0, 0, 3, 1, 3, 0, 0, 0, 0, 1, 4, 90, 3, 114, 103, 103, 418, 412, 403, 262, 27, 11, 90, 7, 141, 13, 19, 50, 91, 14, 14, 15, 103, 89, 79, 76, 110, 107, 138, 138, 104, 70, 61, 13, 85, 13, 38, 10, 37, 14, 14, 23, 23, 88, 38, 112, 6, 6
INVAR-1, Run: 054, F, 1, 0, 4, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 2, 0, 1, 0, 1, 0, 2, 1, 0, 1, 2, 0, 0, 1, 3, 91, 10, 91, 81, 81, 332, 330, 324, 234, 47, 12, 90, 8, 88, 20, 20, 54, 86, 24, 24, 26, 112, 83, 108, 106, 94, 94, 101, 99, 109, 73, 63, 35, 79, 34, 35, 23, 39, 27, 27, 26, 26, 83, 28, 82, 11, 11
