Input Number, Run_Number, Result@ 100, predator_Q2b_H2, prey_H1, predator_g555, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 3, 6, 1, 1, 0, 0, 0, 4, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 102, 2, 95, 78, 78, 206, 202, 208, 127, 53, 8, 101, 6, 78, 24, 26, 33, 84, 21, 21, 12, 95, 90, 103, 103, 103, 103, 105, 105, 108, 69, 70, 34, 87, 34, 41, 27, 35, 29, 29, 28, 28, 80, 47, 93, 4, 4
INVAR-1, Run: 002, F, 0, 0, 5, 0, 1, 0, 1, 1, 1, 10, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 4, 93, 8, 112, 101, 100, 281, 271, 265, 152, 48, 24, 93, 19, 112, 25, 23, 34, 88, 17, 17, 19, 107, 84, 98, 98, 107, 106, 117, 115, 113, 69, 74, 24, 79, 24, 46, 19, 48, 23, 23, 28, 28, 80, 46, 105, 18, 17
INVAR-1, Run: 003, F, 1, 0, 3, 0, 1, 2, 0, 4, 2, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 92, 10, 110, 117, 115, 152, 152, 145, 94, 62, 7, 90, 4, 50, 32, 17, 25, 80, 23, 23, 12, 92, 71, 86, 85, 116, 115, 91, 91, 70, 43, 54, 15, 66, 15, 33, 28, 29, 30, 30, 21, 21, 76, 50, 104, 5, 5
INVAR-1, Run: 004, F, 2, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1, 2, 2, 0, 0, 0, 1, 2, 90, 22, 102, 109, 109, 170, 169, 167, 115, 80, 17, 90, 13, 50, 52, 12, 61, 78, 17, 17, 28, 104, 125, 118, 116, 103, 101, 118, 116, 83, 49, 28, 15, 120, 15, 12, 26, 36, 28, 28, 16, 16, 119, 58, 80, 19, 19
INVAR-1, Run: 005, F, 0, 1, 4, 2, 1, 0, 0, 2, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 3, 87, 12, 85, 76, 76, 124, 119, 119, 82, 34, 20, 87, 17, 32, 20, 31, 19, 86, 7, 6, 3, 89, 70, 77, 77, 108, 107, 109, 107, 96, 74, 75, 6, 67, 5, 39, 9, 23, 14, 14, 35, 34, 72, 53, 75, 16, 16
INVAR-1, Run: 006, F, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 3, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 1, 112, 5, 101, 105, 104, 143, 142, 133, 85, 60, 11, 111, 10, 46, 28, 20, 41, 83, 12, 12, 13, 95, 123, 105, 104, 85, 83, 86, 85, 88, 52, 45, 29, 119, 29, 24, 30, 36, 32, 32, 21, 21, 104, 63, 97, 9, 9
INVAR-1, Run: 007, F, 1, 0, 4, 0, 1, 1, 1, 1, 0, 3, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 3, 92, 16, 87, 62, 62, 251, 248, 269, 184, 35, 25, 91, 20, 83, 21, 26, 47, 86, 12, 11, 10, 95, 79, 106, 105, 111, 111, 113, 111, 122, 75, 63, 7, 72, 6, 31, 10, 50, 14, 14, 32, 31, 74, 27, 72, 19, 18
INVAR-1, Run: 008, F, 0, 1, 6, 1, 1, 2, 1, 0, 0, 5, 8, 1, 0, 0, 0, 0, 3, 0, 1, 1, 1, 1, 0, 4, 0, 4, 0, 5, 108, 24, 111, 115, 115, 271, 266, 236, 134, 75, 24, 106, 18, 94, 39, 33, 53, 81, 22, 21, 21, 99, 87, 113, 112, 99, 98, 112, 111, 98, 58, 75, 13, 81, 12, 28, 29, 44, 36, 36, 43, 39, 115, 61, 87, 19, 18
INVAR-1, Run: 009, F, 1, 0, 3, 0, 1, 1, 0, 1, 0, 3, 6, 0, 0, 0, 1, 1, 3, 1, 0, 5, 1, 1, 0, 0, 0, 0, 1, 2, 81, 10, 109, 120, 120, 290, 287, 255, 153, 42, 23, 80, 20, 96, 22, 28, 43, 90, 8, 8, 8, 95, 98, 110, 105, 93, 92, 74, 73, 81, 35, 53, 8, 94, 7, 22, 17, 48, 20, 20, 31, 31, 89, 46, 100, 13, 13
INVAR-1, Run: 010, F, 0, 1, 3, 0, 1, 1, 0, 2, 1, 2, 3, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 105, 2, 123, 134, 133, 175, 173, 143, 73, 56, 13, 104, 11, 67, 29, 29, 34, 61, 21, 21, 26, 87, 80, 90, 89, 102, 102, 97, 97, 86, 57, 56, 27, 77, 27, 25, 24, 31, 27, 27, 31, 31, 90, 55, 123, 4, 4
