Input Number, Run_Number, Result@ 100, predator_mrna533, prey_g616, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 104, 1, 108, 109, 109, 101, 100, 111, 61, 101, 4, 104, 4, 49, 53, 4, 49, 92, 0, 0, 0, 91, 113, 105, 102, 0, 0, 0, 0, 0, 1, 5, 0, 113, 0, 1, 48, 0, 48, 48, 4, 4, 121, 72, 109, 4, 4
INVAR-1, Run: 002, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 110, 0, 89, 107, 107, 101, 101, 95, 58, 95, 0, 109, 0, 36, 47, 0, 28, 103, 0, 0, 0, 102, 112, 92, 92, 1, 1, 2, 2, 2, 0, 0, 0, 109, 0, 0, 46, 3, 48, 47, 0, 0, 115, 87, 90, 0, 0
INVAR-1, Run: 003, P, 1, 0, 0, 1, 1, 0, 0, 1, 2, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 96, 0, 121, 98, 98, 121, 119, 127, 70, 81, 0, 95, 0, 54, 45, 5, 42, 107, 0, 0, 0, 106, 89, 93, 93, 3, 3, 4, 4, 5, 5, 7, 0, 88, 0, 2, 36, 1, 36, 36, 5, 5, 110, 68, 123, 0, 0
INVAR-1, Run: 004, P, 2, 0, 0, 1, 1, 0, 1, 1, 2, 0, 2, 1, 0, 2, 0, 1, 3, 0, 0, 2, 0, 0, 0, 1, 4, 0, 1, 1, 104, 0, 95, 113, 112, 107, 105, 93, 60, 91, 0, 103, 0, 33, 40, 0, 24, 98, 0, 0, 0, 95, 88, 125, 123, 3, 3, 2, 2, 2, 2, 0, 0, 86, 0, 0, 45, 1, 50, 46, 0, 0, 94, 68, 98, 0, 0
INVAR-1, Run: 005, P, 1, 0, 0, 1, 3, 0, 1, 1, 3, 3, 1, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 101, 123, 122, 125, 122, 114, 67, 39, 0, 92, 0, 44, 15, 4, 33, 109, 4, 4, 9, 115, 82, 139, 138, 1, 1, 6, 6, 5, 5, 6, 3, 82, 3, 2, 24, 1, 24, 24, 4, 4, 93, 59, 103, 0, 0
INVAR-1, Run: 006, P, 0, 0, 0, 1, 1, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 102, 0, 92, 92, 89, 101, 101, 96, 68, 73, 3, 101, 3, 28, 33, 1, 20, 104, 0, 0, 0, 103, 105, 111, 109, 7, 7, 8, 8, 5, 2, 2, 1, 103, 1, 1, 39, 4, 40, 39, 1, 1, 83, 63, 93, 1, 1
INVAR-1, Run: 007, P, 0, 0, 0, 1, 2, 0, 3, 1, 2, 0, 1, 1, 0, 3, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 109, 94, 91, 108, 106, 99, 65, 79, 0, 101, 0, 34, 37, 0, 25, 103, 0, 0, 0, 101, 122, 114, 113, 0, 0, 0, 0, 0, 0, 3, 0, 119, 0, 3, 41, 1, 41, 41, 0, 0, 106, 80, 110, 0, 0
INVAR-1, Run: 008, P, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 107, 4, 94, 97, 97, 84, 84, 75, 52, 75, 2, 106, 2, 23, 38, 2, 28, 92, 0, 0, 0, 90, 131, 100, 100, 3, 3, 4, 4, 5, 3, 4, 0, 129, 0, 2, 35, 3, 36, 36, 2, 2, 112, 84, 92, 3, 3
INVAR-1, Run: 009, P, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 98, 0, 104, 89, 89, 90, 90, 75, 45, 66, 0, 98, 0, 30, 36, 1, 36, 90, 0, 0, 0, 87, 84, 86, 86, 1, 1, 2, 2, 1, 1, 3, 0, 84, 0, 2, 29, 1, 30, 30, 1, 1, 109, 73, 105, 0, 0
INVAR-1, Run: 010, P, 4, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 110, 3, 87, 83, 80, 99, 98, 86, 61, 79, 11, 109, 11, 25, 42, 4, 31, 97, 9, 9, 7, 104, 126, 120, 120, 15, 15, 13, 13, 7, 3, 10, 4, 126, 4, 6, 37, 5, 37, 37, 4, 4, 107, 76, 89, 8, 8
