Input Number, Run_Number, Result@ 100, predator_mrna533, prey_g616, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, P, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 110, 11, 88, 100, 100, 103, 103, 108, 68, 57, 4, 109, 4, 40, 32, 2, 23, 98, 0, 0, 0, 97, 97, 88, 87, 2, 2, 0, 0, 0, 1, 2, 0, 95, 0, 0, 25, 0, 25, 25, 2, 2, 91, 68, 79, 5, 5
INVAR-1, Run: 012, P, 0, 0, 0, 1, 1, 0, 0, 1, 1, 4, 1, 0, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 106, 0, 85, 86, 86, 99, 98, 92, 63, 85, 0, 105, 0, 25, 39, 0, 33, 86, 0, 0, 0, 85, 122, 92, 92, 1, 1, 1, 1, 2, 3, 0, 0, 118, 0, 0, 45, 0, 46, 46, 0, 0, 109, 75, 86, 0, 0
INVAR-1, Run: 013, P, 2, 0, 0, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 110, 0, 105, 134, 132, 76, 76, 67, 34, 108, 0, 110, 0, 32, 54, 0, 24, 97, 0, 0, 0, 97, 108, 97, 97, 1, 1, 4, 4, 5, 2, 2, 0, 107, 0, 2, 52, 4, 53, 53, 0, 0, 114, 89, 108, 0, 0
INVAR-1, Run: 014, P, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 121, 136, 136, 111, 111, 103, 57, 66, 0, 113, 0, 46, 42, 1, 32, 77, 0, 0, 0, 77, 105, 73, 73, 2, 2, 2, 2, 1, 1, 2, 0, 105, 0, 1, 24, 1, 24, 24, 1, 1, 109, 77, 123, 0, 0
INVAR-1, Run: 015, P, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 92, 92, 90, 101, 100, 112, 71, 61, 0, 93, 0, 41, 30, 1, 17, 96, 0, 0, 0, 96, 68, 100, 99, 2, 2, 1, 1, 0, 1, 1, 0, 67, 0, 0, 30, 0, 30, 30, 1, 1, 87, 68, 94, 0, 0
INVAR-1, Run: 016, P, 2, 0, 0, 1, 2, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 106, 106, 103, 108, 107, 110, 69, 107, 0, 95, 0, 41, 53, 0, 22, 103, 0, 0, 0, 103, 130, 111, 109, 0, 0, 0, 0, 0, 1, 0, 0, 129, 0, 0, 54, 0, 54, 54, 0, 0, 109, 87, 109, 0, 0
INVAR-1, Run: 017, P, 3, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 98, 115, 113, 91, 90, 88, 51, 69, 2, 100, 2, 37, 36, 1, 20, 102, 2, 2, 3, 105, 108, 118, 118, 6, 6, 8, 8, 1, 1, 2, 2, 106, 2, 1, 32, 1, 32, 32, 1, 1, 97, 76, 102, 2, 2
INVAR-1, Run: 018, P, 0, 0, 0, 1, 1, 0, 2, 1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 108, 0, 101, 115, 113, 114, 113, 95, 53, 84, 0, 107, 0, 40, 41, 0, 21, 112, 0, 0, 0, 112, 99, 118, 118, 0, 0, 0, 0, 0, 1, 0, 0, 99, 0, 0, 43, 0, 43, 43, 0, 0, 104, 82, 102, 0, 0
INVAR-1, Run: 019, P, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 95, 0, 109, 133, 132, 85, 84, 76, 35, 74, 0, 95, 0, 41, 37, 0, 26, 88, 2, 2, 4, 92, 71, 87, 87, 1, 1, 1, 1, 3, 1, 0, 2, 71, 2, 0, 36, 3, 37, 36, 0, 0, 90, 63, 111, 0, 0
INVAR-1, Run: 020, P, 2, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 110, 4, 101, 99, 98, 91, 91, 78, 42, 67, 5, 108, 5, 36, 37, 5, 32, 105, 6, 6, 3, 107, 132, 119, 116, 3, 3, 8, 8, 5, 3, 9, 3, 131, 3, 4, 30, 3, 30, 30, 5, 5, 126, 94, 100, 3, 3
INVAR-1, Run: 021, P, 0, 0, 0, 1, 3, 0, 2, 1, 2, 0, 0, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 88, 0, 90, 96, 94, 110, 108, 126, 74, 57, 0, 85, 0, 52, 22, 0, 29, 104, 0, 0, 0, 104, 96, 115, 115, 1, 1, 1, 1, 0, 0, 0, 0, 92, 0, 0, 33, 1, 34, 34, 0, 0, 86, 57, 91, 0, 0
INVAR-1, Run: 022, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 94, 0, 84, 64, 64, 81, 81, 83, 68, 63, 0, 93, 0, 14, 29, 0, 25, 108, 0, 0, 0, 107, 92, 121, 121, 3, 3, 1, 1, 0, 1, 1, 0, 92, 0, 1, 32, 0, 34, 33, 0, 0, 88, 63, 85, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 0, 114, 120, 120, 102, 101, 98, 52, 77, 0, 90, 0, 46, 47, 0, 27, 101, 0, 0, 0, 101, 95, 84, 84, 0, 0, 0, 0, 0, 1, 0, 0, 95, 0, 0, 28, 0, 28, 28, 0, 0, 103, 75, 115, 0, 0
INVAR-1, Run: 024, P, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 91, 85, 85, 103, 101, 108, 75, 95, 0, 94, 0, 33, 48, 0, 34, 105, 0, 0, 0, 105, 88, 103, 103, 2, 2, 0, 0, 0, 1, 0, 0, 88, 0, 0, 47, 0, 47, 47, 0, 0, 85, 51, 92, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 109, 3, 89, 84, 84, 101, 100, 88, 54, 110, 4, 109, 4, 32, 43, 3, 41, 82, 1, 1, 0, 81, 120, 82, 82, 7, 7, 9, 9, 6, 3, 4, 3, 119, 3, 1, 66, 4, 67, 66, 3, 3, 126, 85, 87, 3, 3
INVAR-1, Run: 026, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 109, 0, 102, 85, 85, 93, 93, 100, 66, 63, 0, 108, 0, 32, 37, 0, 33, 107, 0, 0, 0, 105, 116, 109, 107, 1, 1, 1, 1, 0, 1, 0, 0, 115, 0, 0, 25, 0, 26, 26, 0, 0, 101, 68, 103, 0, 0
INVAR-1, Run: 027, P, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 110, 0, 77, 81, 80, 87, 87, 98, 58, 73, 0, 109, 0, 39, 34, 0, 32, 99, 0, 0, 0, 98, 119, 93, 93, 1, 1, 0, 0, 0, 0, 0, 0, 118, 0, 0, 38, 1, 39, 38, 0, 0, 112, 80, 79, 0, 0
INVAR-1, Run: 028, P, 2, 0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 1, 1, 104, 0, 103, 116, 113, 98, 98, 122, 66, 54, 0, 104, 0, 56, 32, 0, 29, 84, 0, 0, 0, 84, 89, 101, 99, 0, 0, 0, 0, 0, 1, 1, 0, 89, 0, 1, 19, 0, 22, 20, 0, 0, 77, 47, 106, 0, 0
INVAR-1, Run: 029, P, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 1, 3, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 1, 101, 7, 110, 134, 133, 94, 94, 99, 58, 87, 6, 100, 6, 41, 40, 2, 26, 98, 1, 1, 0, 95, 95, 91, 88, 4, 4, 7, 7, 6, 6, 7, 2, 93, 2, 5, 46, 1, 47, 46, 2, 2, 113, 86, 104, 2, 2
INVAR-1, Run: 030, P, 0, 0, 0, 1, 3, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 2, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1, 109, 0, 95, 115, 115, 108, 107, 108, 61, 79, 0, 106, 0, 45, 37, 0, 31, 101, 0, 0, 0, 99, 96, 122, 119, 1, 1, 0, 0, 0, 1, 0, 0, 95, 0, 0, 40, 0, 41, 41, 0, 0, 107, 75, 96, 0, 0
INVAR-1, Run: 031, P, 1, 0, 0, 1, 4, 0, 0, 1, 0, 0, 3, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 95, 0, 89, 78, 78, 92, 92, 85, 63, 71, 0, 91, 0, 22, 33, 0, 29, 108, 0, 0, 0, 108, 80, 116, 116, 1, 1, 0, 0, 1, 2, 0, 0, 77, 0, 0, 35, 0, 36, 36, 0, 0, 97, 65, 91, 0, 0
INVAR-1, Run: 032, P, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 99, 101, 100, 96, 95, 79, 50, 80, 0, 96, 0, 28, 47, 0, 31, 115, 0, 0, 0, 113, 91, 146, 143, 0, 0, 0, 0, 0, 1, 0, 0, 91, 0, 0, 32, 0, 32, 32, 0, 0, 105, 74, 101, 0, 0
INVAR-1, Run: 033, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 99, 0, 114, 107, 107, 97, 97, 135, 79, 88, 0, 98, 0, 56, 44, 0, 42, 86, 0, 0, 0, 85, 121, 110, 107, 2, 2, 1, 1, 2, 1, 0, 0, 121, 0, 0, 44, 2, 44, 44, 0, 0, 116, 73, 115, 0, 0
INVAR-1, Run: 034, P, 1, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 84, 88, 84, 109, 108, 115, 75, 48, 0, 97, 0, 40, 23, 0, 42, 85, 0, 0, 0, 84, 109, 91, 90, 6, 6, 8, 8, 4, 5, 0, 0, 108, 0, 0, 25, 0, 25, 25, 0, 0, 102, 60, 86, 0, 0
INVAR-1, Run: 035, P, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 69, 0, 125, 126, 126, 103, 103, 101, 48, 77, 0, 69, 0, 53, 41, 0, 24, 112, 0, 0, 0, 111, 72, 107, 107, 0, 0, 0, 0, 0, 1, 0, 0, 72, 0, 0, 36, 0, 36, 36, 0, 0, 85, 61, 126, 0, 0
INVAR-1, Run: 036, P, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 88, 0, 94, 125, 123, 98, 98, 93, 47, 113, 0, 88, 0, 46, 50, 0, 23, 106, 0, 0, 0, 105, 111, 112, 110, 0, 0, 0, 0, 0, 1, 0, 0, 109, 0, 0, 61, 0, 63, 61, 0, 0, 123, 98, 95, 0, 0
INVAR-1, Run: 037, P, 2, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 100, 5, 90, 72, 71, 91, 90, 104, 64, 58, 12, 98, 12, 40, 27, 4, 22, 105, 0, 0, 0, 103, 67, 83, 83, 3, 3, 0, 0, 6, 6, 8, 0, 67, 0, 4, 29, 1, 31, 29, 4, 4, 68, 46, 88, 8, 8
INVAR-1, Run: 038, P, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 108, 0, 88, 64, 64, 102, 101, 122, 89, 70, 0, 108, 0, 32, 33, 0, 54, 121, 0, 0, 0, 118, 140, 96, 95, 1, 1, 0, 0, 2, 1, 0, 0, 140, 0, 0, 36, 2, 36, 36, 0, 0, 126, 72, 90, 0, 0
INVAR-1, Run: 039, P, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 95, 87, 87, 103, 103, 120, 83, 68, 0, 113, 0, 37, 30, 0, 48, 90, 0, 0, 0, 90, 109, 83, 83, 1, 1, 1, 1, 0, 1, 1, 0, 108, 0, 1, 36, 0, 36, 36, 0, 0, 128, 78, 97, 0, 0
INVAR-1, Run: 040, P, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 1, 1, 95, 0, 121, 106, 105, 93, 93, 92, 43, 72, 0, 95, 0, 48, 38, 0, 19, 92, 0, 0, 0, 91, 92, 75, 74, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 31, 1, 34, 31, 0, 0, 97, 77, 122, 0, 0
INVAR-1, Run: 041, P, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 3, 1, 0, 1, 1, 93, 0, 115, 106, 106, 100, 100, 106, 61, 70, 0, 93, 0, 45, 29, 4, 16, 111, 0, 0, 0, 110, 98, 118, 116, 4, 4, 5, 5, 10, 9, 11, 0, 98, 0, 7, 36, 2, 40, 39, 4, 4, 99, 81, 117, 0, 0
INVAR-1, Run: 042, P, 2, 0, 0, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 95, 0, 104, 91, 91, 104, 103, 103, 46, 92, 0, 93, 0, 55, 36, 1, 32, 89, 0, 0, 0, 89, 103, 94, 94, 1, 1, 2, 2, 3, 4, 1, 0, 103, 0, 0, 55, 0, 56, 56, 1, 1, 105, 73, 107, 0, 0
INVAR-1, Run: 043, P, 1, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 96, 0, 118, 97, 96, 100, 98, 120, 71, 70, 3, 95, 3, 47, 32, 8, 36, 99, 0, 0, 0, 99, 101, 101, 99, 4, 4, 7, 7, 15, 11, 9, 1, 101, 1, 1, 37, 5, 38, 37, 8, 8, 104, 68, 120, 0, 0
INVAR-1, Run: 044, P, 1, 0, 0, 1, 2, 0, 2, 1, 2, 2, 0, 1, 0, 1, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 90, 98, 96, 110, 108, 105, 63, 56, 2, 100, 2, 40, 21, 3, 34, 85, 0, 0, 0, 83, 96, 92, 90, 3, 3, 7, 7, 9, 5, 3, 0, 95, 0, 0, 34, 5, 34, 34, 3, 3, 95, 61, 92, 3, 3
INVAR-1, Run: 045, P, 2, 0, 0, 1, 1, 0, 5, 1, 3, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 3, 0, 0, 0, 2, 0, 0, 1, 1, 108, 0, 99, 90, 85, 101, 98, 101, 69, 72, 1, 107, 1, 30, 36, 1, 34, 124, 0, 0, 0, 122, 120, 119, 116, 1, 1, 0, 0, 0, 1, 1, 0, 119, 0, 0, 34, 0, 36, 36, 1, 1, 117, 83, 102, 0, 0
INVAR-1, Run: 046, P, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 111, 2, 86, 112, 112, 98, 98, 97, 52, 63, 4, 109, 4, 45, 27, 1, 32, 107, 0, 0, 0, 106, 110, 90, 89, 0, 0, 0, 0, 0, 1, 1, 0, 110, 0, 0, 35, 0, 36, 36, 1, 1, 109, 77, 85, 3, 3
INVAR-1, Run: 047, P, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 87, 0, 93, 98, 96, 106, 106, 93, 57, 53, 0, 87, 0, 36, 24, 0, 19, 86, 0, 0, 0, 86, 79, 107, 105, 4, 4, 1, 1, 2, 3, 3, 0, 79, 0, 3, 29, 0, 29, 29, 0, 0, 77, 58, 95, 0, 0
INVAR-1, Run: 048, P, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 87, 0, 86, 73, 73, 98, 97, 97, 55, 57, 0, 87, 0, 40, 31, 0, 24, 90, 0, 0, 0, 89, 84, 94, 92, 2, 2, 0, 0, 1, 0, 0, 0, 83, 0, 0, 26, 2, 26, 26, 0, 0, 84, 60, 87, 0, 0
INVAR-1, Run: 049, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 111, 0, 105, 126, 126, 83, 83, 77, 38, 109, 0, 110, 0, 39, 57, 1, 20, 86, 0, 0, 0, 86, 91, 95, 95, 0, 0, 0, 0, 0, 1, 3, 0, 89, 0, 2, 52, 0, 52, 52, 1, 1, 126, 106, 106, 0, 0
INVAR-1, Run: 050, P, 2, 0, 0, 1, 2, 0, 2, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 104, 0, 109, 124, 122, 102, 101, 118, 65, 62, 0, 102, 0, 53, 29, 0, 17, 104, 0, 0, 0, 103, 115, 105, 105, 3, 3, 5, 5, 2, 2, 3, 0, 114, 0, 3, 29, 1, 31, 29, 0, 0, 110, 92, 112, 0, 0
INVAR-1, Run: 051, P, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 121, 0, 104, 120, 120, 105, 103, 93, 46, 104, 0, 121, 0, 47, 50, 0, 24, 86, 0, 0, 0, 86, 127, 107, 107, 4, 4, 0, 0, 0, 1, 0, 0, 127, 0, 0, 53, 0, 53, 53, 0, 0, 112, 86, 105, 0, 0
INVAR-1, Run: 052, P, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 120, 0, 97, 109, 109, 119, 117, 103, 65, 84, 0, 119, 0, 36, 33, 3, 34, 108, 0, 0, 0, 107, 126, 124, 123, 1, 1, 2, 2, 2, 3, 5, 2, 125, 2, 2, 51, 0, 51, 51, 3, 3, 125, 90, 98, 0, 0
INVAR-1, Run: 053, P, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 96, 0, 100, 90, 89, 112, 112, 93, 58, 59, 0, 96, 0, 35, 27, 0, 24, 102, 0, 0, 0, 101, 101, 103, 100, 1, 1, 0, 0, 0, 0, 0, 0, 101, 0, 0, 31, 1, 31, 31, 0, 0, 82, 58, 101, 0, 0
INVAR-1, Run: 054, P, 2, 0, 0, 1, 2, 0, 5, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 101, 0, 96, 107, 102, 109, 107, 125, 90, 56, 0, 99, 0, 34, 31, 0, 40, 98, 0, 0, 0, 98, 88, 78, 77, 1, 1, 0, 0, 0, 1, 1, 0, 88, 0, 1, 24, 0, 25, 25, 0, 0, 93, 52, 99, 0, 0
