Input Number, Run_Number, Result@ 1000, A, B, H, C, T5, L4, L1, L5, Y, T1, T2, T3, T4, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 1, 2, 60, 50, 356, 229, 2027, 2591, 2535, 2486, 2435, 2340, 56, 4272, 49, 51, 45, 32, 2308, 2308, 3306, 2712, 2356, 2127, 966, 594
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 332, 221, 2026, 4429, 4358, 4291, 4224, 4107, 71, 3850, 67, 67, 67, 67, 4040, 4040, 3137, 2679, 2347, 2126, 713, 458
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 382, 237, 1914, 3406, 3326, 3250, 3190, 3093, 80, 4146, 76, 60, 47, 47, 3046, 3046, 3233, 2633, 2251, 2014, 913, 600
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 481, 310, 1607, 1693, 1635, 1589, 1549, 1455, 58, 4360, 46, 40, 44, 29, 1426, 1426, 3188, 2498, 2017, 1707, 1172, 690
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 331, 242, 1799, 2524, 2460, 2403, 2363, 2277, 64, 4101, 57, 40, 36, 39, 2238, 2238, 3125, 2472, 2141, 1899, 976, 653
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 505, 352, 2371, 3784, 3706, 3641, 3578, 3476, 78, 5199, 65, 63, 52, 58, 3418, 3418, 4078, 3328, 2823, 2471, 1121, 750
INVAR-1, Run: 007, P, 10, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 50, 50, 307, 237, 2195, 4057, 3997, 3927, 3865, 3764, 60, 3898, 70, 62, 51, 50, 3714, 3714, 3278, 2839, 2532, 2295, 620, 439
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 11, 2, 3, 61, 50, 410, 280, 2155, 3731, 3668, 3598, 3527, 3409, 63, 4426, 70, 71, 68, 47, 3362, 3362, 3552, 2945, 2535, 2255, 874, 607
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 489, 377, 2794, 3356, 3288, 3235, 3164, 3057, 68, 5499, 53, 71, 57, 51, 3006, 3006, 4426, 3760, 3271, 2894, 1073, 666
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 421, 273, 2224, 3814, 3732, 3662, 3605, 3503, 82, 4487, 70, 57, 52, 38, 3465, 3465, 3579, 3018, 2597, 2324, 908, 561
INVAR-1, Run: 011, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 395, 309, 1817, 3762, 3695, 3625, 3566, 3468, 67, 4039, 70, 59, 48, 60, 3408, 3408, 3203, 2621, 2226, 1917, 836, 582
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 317, 180, 1871, 4051, 3987, 3927, 3875, 3770, 64, 3544, 60, 52, 55, 54, 3716, 3716, 2881, 2468, 2151, 1971, 663, 413
INVAR-1, Run: 013, P, 10, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 3, 51, 50, 362, 274, 2149, 3049, 3004, 2959, 2921, 2826, 45, 4075, 45, 38, 45, 51, 2775, 2775, 3397, 2885, 2523, 2249, 678, 512
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 455, 411, 1962, 2089, 2029, 1984, 1929, 1838, 60, 4725, 45, 55, 41, 38, 1800, 1800, 3634, 2928, 2473, 2062, 1091, 706
INVAR-1, Run: 015, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 378, 262, 1916, 3258, 3195, 3134, 3096, 2994, 63, 4283, 61, 38, 52, 33, 2961, 2961, 3301, 2656, 2278, 2016, 982, 645
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 419, 281, 1886, 4022, 3939, 3872, 3802, 3707, 83, 4180, 67, 70, 45, 52, 3655, 3655, 3267, 2686, 2267, 1986, 913, 581
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 474, 360, 2124, 3087, 3003, 2930, 2873, 2790, 84, 4724, 73, 57, 33, 46, 2744, 2744, 3751, 3058, 2584, 2224, 973, 693
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 605, 405, 2521, 3320, 3241, 3164, 3106, 3003, 79, 5588, 77, 58, 53, 54, 2949, 2949, 4416, 3631, 3026, 2621, 1172, 785
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 468, 324, 1763, 2646, 2584, 2527, 2467, 2357, 62, 4661, 57, 60, 60, 55, 2302, 2302, 3451, 2655, 2187, 1863, 1210, 796
INVAR-1, Run: 020, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 434, 279, 1595, 2289, 2205, 2147, 2085, 2005, 84, 4396, 58, 62, 30, 31, 1974, 1974, 3145, 2408, 1974, 1695, 1251, 737
INVAR-1, Run: 021, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 397, 283, 2268, 3987, 3906, 3836, 3777, 3670, 81, 4466, 70, 59, 57, 57, 3613, 3613, 3596, 3048, 2651, 2368, 870, 548
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 59, 50, 369, 282, 2409, 4291, 4225, 4142, 4091, 3978, 66, 4574, 83, 51, 63, 58, 3920, 3920, 3735, 3160, 2791, 2509, 839, 575
INVAR-1, Run: 023, P, 0, 0, 0, 10, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 8, 9, 0, 58, 50, 537, 377, 2337, 3875, 3794, 3732, 3673, 3552, 81, 5257, 62, 59, 71, 42, 3510, 3510, 4162, 3351, 2814, 2437, 1095, 811
