Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 059, P, 0, 24, 3811, 38, 0, 24, 3787, 0
INVAR-1, Run: 060, P, 0, 24, 3797, 38, 0, 24, 3773, 0
INVAR-1, Run: 061, P, 0, 24, 3854, 38, 0, 24, 3830, 0
INVAR-1, Run: 062, P, 0, 24, 3806, 38, 0, 24, 3782, 0
INVAR-1, Run: 063, P, 0, 24, 3803, 38, 0, 24, 3779, 0
INVAR-1, Run: 064, P, 0, 24, 3747, 38, 0, 24, 3723, 0
INVAR-1, Run: 065, P, 0, 24, 3792, 38, 0, 24, 3768, 0
INVAR-1, Run: 066, P, 0, 24, 3907, 38, 0, 24, 3883, 0
INVAR-1, Run: 067, P, 0, 24, 3691, 38, 0, 24, 3667, 0
INVAR-1, Run: 068, P, 0, 24, 3795, 38, 0, 24, 3771, 0
INVAR-1, Run: 069, P, 0, 24, 3746, 38, 0, 24, 3722, 0
INVAR-1, Run: 070, P, 0, 24, 3797, 38, 0, 24, 3773, 0
INVAR-1, Run: 071, P, 0, 24, 3802, 38, 0, 24, 3778, 0
INVAR-1, Run: 072, P, 0, 24, 3824, 38, 0, 24, 3800, 0
INVAR-1, Run: 073, P, 0, 24, 3819, 38, 0, 24, 3795, 0
INVAR-1, Run: 074, P, 0, 24, 3869, 38, 0, 24, 3845, 0
INVAR-1, Run: 075, P, 0, 24, 3782, 38, 0, 24, 3758, 0
INVAR-1, Run: 076, P, 0, 24, 3923, 38, 0, 24, 3899, 0
INVAR-1, Run: 077, P, 0, 24, 3865, 38, 0, 24, 3841, 0
INVAR-1, Run: 078, P, 0, 24, 3982, 38, 0, 24, 3958, 0
INVAR-1, Run: 079, P, 0, 24, 3735, 38, 0, 24, 3711, 0
INVAR-1, Run: 080, P, 0, 24, 3882, 38, 0, 24, 3858, 0
INVAR-1, Run: 081, P, 0, 24, 3963, 38, 0, 24, 3939, 0
INVAR-1, Run: 082, P, 0, 24, 3938, 38, 0, 24, 3914, 0
INVAR-1, Run: 083, P, 0, 24, 3865, 38, 0, 24, 3841, 0
INVAR-1, Run: 084, P, 0, 24, 3732, 38, 0, 24, 3708, 0
INVAR-1, Run: 085, P, 0, 24, 3850, 38, 0, 24, 3826, 0
INVAR-1, Run: 086, P, 0, 24, 4032, 38, 0, 24, 4008, 0
INVAR-1, Run: 087, P, 0, 24, 3780, 38, 0, 24, 3756, 0
INVAR-1, Run: 088, P, 0, 24, 3914, 38, 0, 24, 3890, 0
INVAR-1, Run: 089, P, 0, 24, 3850, 38, 0, 24, 3826, 0
INVAR-1, Run: 090, P, 0, 24, 3807, 38, 0, 24, 3783, 0
INVAR-1, Run: 091, P, 0, 24, 3802, 38, 0, 24, 3778, 0
INVAR-1, Run: 092, P, 0, 24, 3960, 38, 0, 24, 3936, 0
INVAR-1, Run: 093, P, 0, 24, 3883, 38, 0, 24, 3859, 0
INVAR-1, Run: 094, P, 0, 24, 3798, 38, 0, 24, 3774, 0
INVAR-1, Run: 095, P, 0, 24, 3820, 38, 0, 24, 3796, 0
INVAR-1, Run: 096, P, 0, 24, 3831, 38, 0, 24, 3807, 0
INVAR-1, Run: 097, P, 0, 24, 3783, 38, 0, 24, 3759, 0
INVAR-1, Run: 098, P, 0, 24, 3757, 38, 0, 24, 3733, 0
INVAR-1, Run: 099, P, 0, 24, 3849, 38, 0, 24, 3825, 0
INVAR-1, Run: 100, P, 0, 24, 3816, 38, 0, 24, 3792, 0
INVAR-10, Run: 001, P, 0, 42, 5035, 50, 0, 42, 4993, 0
INVAR-10, Run: 002, P, 0, 42, 4949, 50, 0, 42, 4907, 0
INVAR-10, Run: 003, P, 0, 42, 5036, 50, 0, 42, 4994, 0
INVAR-10, Run: 004, P, 0, 42, 4890, 50, 0, 42, 4848, 0
INVAR-10, Run: 005, P, 0, 42, 5035, 50, 0, 42, 4993, 0
INVAR-10, Run: 006, P, 0, 42, 5022, 50, 0, 42, 4980, 0
INVAR-10, Run: 007, P, 0, 42, 5121, 50, 0, 42, 5079, 0
INVAR-10, Run: 008, P, 0, 42, 5058, 50, 0, 42, 5016, 0
INVAR-10, Run: 009, P, 0, 42, 5110, 50, 0, 42, 5068, 0
INVAR-10, Run: 010, P, 0, 42, 5107, 50, 0, 42, 5065, 0
INVAR-10, Run: 011, P, 0, 42, 5029, 50, 0, 42, 4987, 0
INVAR-10, Run: 012, P, 0, 42, 4955, 50, 0, 42, 4913, 0
INVAR-10, Run: 013, P, 0, 42, 4934, 50, 0, 42, 4892, 0
INVAR-10, Run: 014, P, 0, 42, 5221, 50, 0, 42, 5179, 0
INVAR-10, Run: 015, P, 0, 42, 5035, 50, 0, 42, 4993, 0
INVAR-10, Run: 016, P, 0, 42, 5181, 50, 0, 42, 5139, 0
INVAR-10, Run: 017, P, 0, 42, 4917, 50, 0, 42, 4875, 0
INVAR-10, Run: 018, P, 0, 42, 4909, 50, 0, 42, 4867, 0
INVAR-10, Run: 019, P, 0, 42, 5017, 50, 0, 42, 4975, 0
INVAR-10, Run: 020, P, 0, 42, 5041, 50, 0, 42, 4999, 0
INVAR-10, Run: 021, P, 0, 42, 5059, 50, 0, 42, 5017, 0
INVAR-10, Run: 022, P, 0, 42, 4965, 50, 0, 42, 4923, 0
INVAR-10, Run: 023, P, 0, 42, 4964, 50, 0, 42, 4922, 0
INVAR-10, Run: 024, P, 0, 42, 5132, 50, 0, 42, 5090, 0
INVAR-10, Run: 025, P, 0, 42, 5039, 50, 0, 42, 4997, 0
INVAR-10, Run: 026, P, 0, 42, 5135, 50, 0, 42, 5093, 0
INVAR-10, Run: 027, P, 0, 42, 5018, 50, 0, 42, 4976, 0
INVAR-10, Run: 028, P, 0, 42, 5070, 50, 0, 42, 5028, 0
INVAR-10, Run: 029, P, 0, 42, 5183, 50, 0, 42, 5141, 0
INVAR-10, Run: 030, P, 0, 42, 5033, 50, 0, 42, 4991, 0
INVAR-10, Run: 031, P, 0, 42, 4980, 50, 0, 42, 4938, 0
INVAR-10, Run: 032, P, 0, 42, 5138, 50, 0, 42, 5096, 0
INVAR-10, Run: 033, P, 0, 42, 5047, 50, 0, 42, 5005, 0
INVAR-10, Run: 034, P, 0, 42, 5106, 50, 0, 42, 5064, 0
INVAR-10, Run: 035, P, 0, 42, 4858, 50, 0, 42, 4816, 0
INVAR-10, Run: 036, P, 0, 42, 4935, 50, 0, 42, 4893, 0
