Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 050, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 9, 184, 10, 6, 3, 10, 20, 30, 19, 184
INVAR-1, Run: 051, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 11, 201, 13, 10, 2, 13, 26, 39, 24, 201
INVAR-1, Run: 052, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 16, 81, 9, 7, 2, 9, 19, 28, 17, 139
INVAR-1, Run: 053, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 9, 233, 13, 8, 4, 13, 26, 39, 22, 233
INVAR-1, Run: 054, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 10, 178, 12, 6, 5, 12, 24, 36, 22, 178
INVAR-1, Run: 055, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 6, 123, 11, 6, 4, 11, 22, 33, 17, 123
INVAR-1, Run: 056, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 19, 352, 13, 8, 4, 13, 26, 39, 32, 352
INVAR-1, Run: 057, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 15, 153, 10, 5, 5, 10, 21, 31, 18, 217
INVAR-1, Run: 058, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 21, 192, 10, 8, 2, 10, 21, 31, 24, 256
INVAR-1, Run: 059, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 27, 153, 10, 7, 3, 10, 21, 31, 30, 217
INVAR-1, Run: 060, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 7, 212, 14, 9, 4, 14, 28, 42, 21, 212
INVAR-1, Run: 061, P, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1, 1, 19, 6, 76, 9, 6, 3, 9, 19, 28, 7, 134
INVAR-1, Run: 062, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 13, 176, 10, 8, 1, 10, 20, 30, 23, 176
INVAR-1, Run: 063, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 7, 256, 13, 8, 4, 13, 26, 39, 20, 256
INVAR-1, Run: 064, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 27, 279, 11, 9, 2, 11, 23, 34, 32, 349
INVAR-1, Run: 065, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 7, 196, 12, 8, 3, 12, 24, 36, 19, 196
INVAR-1, Run: 066, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 20, 213, 11, 6, 4, 11, 22, 33, 31, 213
INVAR-1, Run: 067, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 8, 186, 11, 8, 2, 11, 22, 33, 19, 186
INVAR-1, Run: 068, P, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1, 3, 21, 16, 183, 10, 10, 0, 10, 21, 31, 19, 247
INVAR-1, Run: 069, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 18, 81, 11, 7, 3, 11, 22, 33, 29, 81
INVAR-1, Run: 070, P, 0, 0, 1, 0, 1, 99, 3, 88, 0, 0, 1, 11, 29, 13, 482, 14, 12, 2, 14, 29, 43, 24, 570
INVAR-1, Run: 071, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 34, 376, 13, 6, 6, 13, 26, 39, 47, 376
INVAR-1, Run: 072, P, 3, 0, 0, 0, 0, 15, 0, 0, 1, 90, 0, 12, 30, 18, 448, 15, 6, 8, 15, 30, 45, 33, 448
INVAR-1, Run: 073, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1, 9, 27, 10, 272, 13, 11, 2, 13, 27, 40, 19, 354
INVAR-1, Run: 074, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 12, 171, 11, 5, 5, 11, 22, 33, 23, 171
INVAR-1, Run: 075, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 10, 169, 12, 6, 5, 12, 24, 36, 22, 169
INVAR-1, Run: 076, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 7, 172, 12, 7, 4, 12, 24, 36, 19, 172
INVAR-1, Run: 077, P, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1, 5, 23, 8, 121, 11, 8, 3, 11, 23, 34, 13, 191
INVAR-1, Run: 078, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 14, 152, 12, 6, 5, 12, 24, 36, 26, 152
INVAR-1, Run: 079, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 12, 199, 12, 7, 4, 12, 24, 36, 24, 199
INVAR-1, Run: 080, P, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0, 8, 26, 18, 291, 13, 7, 5, 13, 26, 39, 31, 291
INVAR-1, Run: 081, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 13, 287, 12, 7, 4, 12, 24, 36, 25, 287
INVAR-1, Run: 082, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 15, 112, 11, 6, 4, 11, 22, 33, 26, 112
INVAR-1, Run: 083, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 8, 95, 11, 7, 3, 11, 22, 33, 19, 95
INVAR-1, Run: 084, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1, 9, 27, 26, 399, 13, 6, 7, 13, 27, 40, 35, 481
INVAR-1, Run: 085, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 10, 113, 10, 6, 3, 10, 20, 30, 20, 113
INVAR-1, Run: 086, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 12, 79, 11, 4, 6, 11, 22, 33, 23, 79
INVAR-1, Run: 087, P, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1, 9, 27, 14, 251, 13, 8, 5, 13, 27, 40, 23, 333
INVAR-1, Run: 088, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 8, 177, 11, 7, 3, 11, 22, 33, 19, 177
INVAR-1, Run: 089, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 0, 18, 7, 123, 9, 8, 0, 9, 18, 27, 16, 123
INVAR-1, Run: 090, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0, 0, 18, 10, 86, 9, 7, 1, 9, 18, 27, 19, 86
INVAR-1, Run: 091, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 10, 117, 11, 6, 4, 11, 22, 33, 21, 117
