Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 043, F, 98, 0, 0, 0, 0, 0, 0, 351, 602, 1, 0, 251, 200, 2035, 843, 100, 56, 43, 100, 200, 300, 2386, 1094
INVAR-10, Run: 044, F, 120, 0, 0, 0, 0, 0, 0, 340, 580, 1, 0, 240, 200, 1680, 722, 100, 57, 42, 100, 200, 300, 2020, 962
INVAR-10, Run: 045, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2288, 911, 100, 59, 40, 100, 200, 300, 2681, 1204
INVAR-10, Run: 046, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 3449, 951, 100, 64, 35, 100, 200, 300, 3844, 1246
INVAR-10, Run: 047, F, 22, 0, 0, 0, 0, 0, 0, 389, 678, 1, 0, 289, 200, 1473, 754, 100, 57, 42, 100, 200, 300, 1862, 1043
INVAR-10, Run: 048, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2016, 706, 100, 68, 31, 100, 200, 300, 2413, 1003
INVAR-10, Run: 049, F, 94, 0, 0, 0, 0, 0, 0, 353, 606, 1, 0, 253, 200, 1864, 806, 100, 53, 46, 100, 200, 300, 2217, 1059
INVAR-10, Run: 050, F, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0, 288, 200, 1947, 706, 100, 59, 40, 100, 200, 300, 2335, 994
INVAR-10, Run: 051, F, 82, 0, 0, 0, 0, 0, 0, 359, 618, 1, 0, 259, 200, 1838, 736, 100, 65, 34, 100, 200, 300, 2197, 995
INVAR-10, Run: 052, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2769, 1038, 100, 65, 34, 100, 200, 300, 3166, 1335
INVAR-10, Run: 053, F, 38, 0, 0, 0, 0, 0, 0, 381, 662, 1, 0, 281, 200, 2861, 807, 100, 61, 38, 100, 200, 300, 3242, 1088
INVAR-10, Run: 054, F, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0, 288, 200, 2338, 814, 100, 62, 37, 100, 200, 300, 2726, 1102
INVAR-10, Run: 055, F, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0, 291, 200, 3109, 848, 100, 52, 47, 100, 200, 300, 3500, 1139
INVAR-10, Run: 056, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2269, 734, 100, 63, 36, 100, 200, 300, 2667, 1032
INVAR-10, Run: 057, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 2290, 716, 100, 56, 43, 100, 200, 300, 2685, 1011
INVAR-10, Run: 058, F, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0, 285, 200, 2818, 850, 100, 60, 39, 100, 200, 300, 3203, 1135
INVAR-10, Run: 059, F, 42, 0, 0, 0, 0, 0, 0, 379, 658, 1, 0, 279, 200, 2616, 882, 100, 59, 40, 100, 200, 300, 2995, 1161
INVAR-10, Run: 060, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2312, 754, 100, 68, 31, 100, 200, 300, 2704, 1046
