Input Number, Run_Number, Result@ 100, U, X2, X1, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 036, F, 0, 0, 38, 127, 209, 113, 322
INVAR-1, Run: 037, F, 0, 0, 38, 89, 128, 75, 203
INVAR-1, Run: 038, F, 0, 38, 0, 314, 267, 338, 605
INVAR-1, Run: 039, F, 0, 0, 38, 266, 428, 252, 680
INVAR-1, Run: 040, F, 0, 0, 38, 160, 499, 146, 645
INVAR-1, Run: 041, F, 0, 38, 0, 130, 64, 154, 218
INVAR-1, Run: 042, F, 0, 0, 38, 102, 150, 88, 238
INVAR-1, Run: 043, F, 0, 0, 38, 148, 253, 134, 387
INVAR-1, Run: 044, F, 0, 0, 38, 22, 98, 8, 106
INVAR-1, Run: 045, F, 0, 0, 38, 57, 211, 43, 254
INVAR-1, Run: 046, F, 0, 0, 38, 98, 208, 84, 292
INVAR-1, Run: 047, F, 0, 38, 0, 236, 123, 260, 383
INVAR-1, Run: 048, F, 0, 0, 38, 72, 92, 58, 150
INVAR-1, Run: 049, F, 0, 0, 38, 71, 271, 57, 328
INVAR-1, Run: 050, F, 0, 0, 38, 56, 257, 42, 299
INVAR-1, Run: 051, F, 0, 0, 38, 159, 230, 145, 375
INVAR-1, Run: 052, F, 0, 38, 0, 475, 255, 499, 754
INVAR-1, Run: 053, F, 0, 38, 0, 61, 48, 85, 133
INVAR-1, Run: 054, F, 0, 0, 38, 47, 172, 33, 205
INVAR-1, Run: 055, F, 0, 0, 38, 586, 611, 572, 1183
INVAR-1, Run: 056, F, 0, 38, 0, 425, 576, 449, 1025
INVAR-1, Run: 057, F, 0, 0, 38, 41, 237, 27, 264
INVAR-1, Run: 058, F, 0, 38, 0, 185, 130, 209, 339
INVAR-1, Run: 059, F, 0, 0, 38, 271, 568, 257, 825
INVAR-1, Run: 060, F, 0, 0, 38, 28, 101, 14, 115
INVAR-1, Run: 061, F, 0, 38, 0, 410, 305, 434, 739
INVAR-1, Run: 062, F, 0, 38, 0, 25, 25, 49, 74
INVAR-1, Run: 063, F, 0, 0, 38, 216, 438, 202, 640
INVAR-1, Run: 064, F, 0, 38, 0, 173, 328, 197, 525
INVAR-1, Run: 065, F, 0, 0, 38, 84, 254, 70, 324
INVAR-1, Run: 066, F, 0, 38, 0, 156, 104, 180, 284
INVAR-1, Run: 067, F, 0, 0, 38, 329, 384, 315, 699
INVAR-1, Run: 068, F, 0, 38, 0, 568, 298, 592, 890
INVAR-1, Run: 069, F, 0, 0, 38, 36, 86, 22, 108
INVAR-1, Run: 070, F, 0, 0, 38, 136, 294, 122, 416
INVAR-1, Run: 071, F, 0, 0, 38, 169, 331, 155, 486
INVAR-1, Run: 072, F, 0, 0, 38, 107, 349, 93, 442
INVAR-1, Run: 073, F, 0, 38, 0, 303, 113, 327, 440
INVAR-1, Run: 074, F, 0, 0, 38, 15, 52, 1, 53
INVAR-1, Run: 075, F, 0, 0, 38, 163, 401, 149, 550
INVAR-1, Run: 076, F, 0, 0, 38, 132, 189, 118, 307
INVAR-1, Run: 077, F, 0, 0, 38, 49, 324, 35, 359
INVAR-1, Run: 078, F, 0, 0, 38, 307, 590, 293, 883
INVAR-1, Run: 079, F, 0, 0, 38, 321, 314, 307, 621
INVAR-1, Run: 080, F, 0, 0, 38, 89, 307, 75, 382
INVAR-1, Run: 081, F, 0, 0, 38, 111, 382, 97, 479
INVAR-1, Run: 082, F, 0, 0, 38, 117, 202, 103, 305
INVAR-1, Run: 083, F, 0, 0, 38, 116, 299, 102, 401
INVAR-1, Run: 084, F, 0, 0, 38, 76, 219, 62, 281
INVAR-1, Run: 085, F, 0, 38, 0, 83, 60, 107, 167
INVAR-1, Run: 086, F, 0, 0, 38, 57, 152, 43, 195
INVAR-1, Run: 087, F, 0, 38, 0, 117, 136, 141, 277
INVAR-1, Run: 088, F, 0, 0, 38, 124, 276, 110, 386
INVAR-1, Run: 089, F, 0, 0, 38, 305, 356, 291, 647
INVAR-1, Run: 090, F, 0, 0, 38, 304, 991, 290, 1281
INVAR-1, Run: 091, F, 0, 0, 38, 195, 587, 181, 768
INVAR-1, Run: 092, F, 0, 38, 0, 211, 142, 235, 377
INVAR-1, Run: 093, F, 0, 0, 38, 303, 594, 289, 883
INVAR-1, Run: 094, F, 0, 0, 38, 280, 427, 266, 693
INVAR-1, Run: 095, F, 0, 38, 0, 204, 224, 228, 452
INVAR-1, Run: 096, F, 0, 0, 38, 38, 147, 24, 171
INVAR-1, Run: 097, F, 0, 0, 38, 353, 208, 339, 547
