Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0, 18, 51, 2, 2, 0, 9, 7, 1, 9, 9, 18, 68, 34
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 23, 33, 1, 2, 0, 8, 0, 18, 31, 4, 2, 0, 9, 6, 2, 8, 9, 18, 16, 8
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 20, 34, 1, 0, 0, 9, 0, 18, 34, 5, 5, 0, 9, 8, 0, 9, 9, 18, 48, 24
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0, 18, 51, 8, 8, 0, 9, 5, 3, 9, 9, 18, 32, 16
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0, 18, 41, 0, 0, 0, 9, 7, 1, 9, 9, 18, 56, 28
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0, 18, 39, 8, 8, 0, 9, 4, 4, 9, 9, 18, 56, 28
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 15, 41, 1, 2, 0, 8, 0, 18, 39, 7, 5, 0, 9, 6, 2, 8, 9, 18, 40, 20
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 4, 4, 0, 9, 8, 0, 9, 9, 18, 56, 28
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0, 18, 39, 1, 1, 0, 9, 6, 2, 9, 9, 18, 36, 18
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 5, 5, 0, 9, 5, 3, 9, 9, 18, 56, 28
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0, 18, 51, 3, 3, 0, 9, 3, 5, 9, 9, 18, 58, 29
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 22, 32, 1, 0, 0, 9, 0, 18, 32, 2, 2, 0, 9, 2, 6, 9, 9, 18, 54, 27
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 7, 7, 0, 9, 6, 2, 9, 9, 18, 38, 19
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0, 18, 36, 6, 6, 0, 9, 4, 4, 9, 9, 18, 62, 31
INVAR-1, Run: 044, P, 0, 0, 1, 0, 0, 0, 55, 1, 0, 0, 9, 1, 18, 55, 4, 4, 0, 9, 8, 0, 9, 8, 18, 41, 20
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 7, 7, 0, 9, 7, 1, 9, 9, 18, 46, 23
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 26, 28, 1, 0, 0, 9, 0, 18, 28, 5, 5, 0, 9, 3, 5, 9, 9, 18, 112, 56
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 26, 28, 1, 0, 0, 9, 0, 18, 28, 6, 6, 0, 9, 4, 4, 9, 9, 18, 258, 129
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 7, 7, 0, 9, 4, 4, 9, 9, 18, 62, 31
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 8, 8, 0, 9, 6, 2, 9, 9, 18, 40, 20
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 17, 39, 1, 2, 0, 8, 0, 18, 37, 12, 10, 0, 9, 4, 4, 8, 9, 18, 78, 39
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0, 18, 39, 6, 6, 0, 9, 4, 4, 9, 9, 18, 20, 10
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 11, 11, 0, 9, 2, 6, 9, 9, 18, 50, 25
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 2, 2, 0, 9, 5, 3, 9, 9, 18, 22, 11
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 11, 11, 0, 9, 7, 1, 9, 9, 18, 82, 41
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 20, 36, 1, 2, 0, 8, 0, 18, 34, 12, 10, 0, 9, 3, 5, 8, 9, 18, 28, 14
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 25, 31, 1, 2, 0, 8, 0, 18, 29, 11, 9, 0, 9, 5, 3, 8, 9, 18, 46, 23
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 12, 44, 1, 2, 0, 8, 0, 18, 42, 12, 10, 0, 9, 6, 2, 8, 9, 18, 82, 41
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0, 18, 46, 6, 6, 0, 9, 4, 4, 9, 9, 18, 90, 45
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 6, 6, 0, 9, 6, 2, 9, 9, 18, 52, 26
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0, 18, 30, 5, 5, 0, 9, 5, 3, 9, 9, 18, 44, 22
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 20, 36, 1, 2, 0, 8, 0, 18, 34, 6, 4, 0, 9, 4, 4, 8, 9, 18, 138, 69
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 20, 36, 1, 2, 0, 8, 0, 18, 34, 8, 6, 0, 9, 4, 4, 8, 9, 18, 72, 36
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 5, 5, 0, 9, 5, 3, 9, 9, 18, 26, 13
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 4, 4, 0, 9, 4, 4, 9, 9, 18, 48, 24
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 1, 53, 1, 0, 0, 9, 0, 18, 53, 4, 4, 0, 9, 6, 2, 9, 9, 18, 26, 13
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 13, 43, 1, 2, 0, 8, 0, 18, 41, 14, 12, 0, 9, 6, 2, 8, 9, 18, 46, 23
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0, 18, 41, 8, 8, 0, 9, 5, 3, 9, 9, 18, 44, 22
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 56, 1, 2, 0, 8, 0, 18, 54, 12, 10, 0, 9, 5, 3, 8, 9, 18, 24, 12
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 7, 7, 0, 9, 7, 1, 9, 9, 18, 20, 10
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 15, 41, 1, 2, 0, 8, 0, 18, 39, 10, 8, 0, 9, 1, 7, 8, 9, 18, 58, 29
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 1, 53, 1, 0, 0, 9, 0, 18, 53, 15, 15, 0, 9, 6, 2, 9, 9, 18, 18, 9
INVAR-1, Run: 072, P, 0, 0, 1, 0, 0, 0, 57, 1, 2, 0, 8, 1, 18, 55, 7, 5, 0, 9, 3, 5, 8, 8, 18, 29, 14
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0, 18, 30, 4, 4, 0, 9, 6, 2, 9, 9, 18, 36, 18
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 23, 33, 1, 2, 0, 8, 0, 18, 31, 6, 4, 0, 9, 5, 3, 8, 9, 18, 18, 9
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 14, 14, 0, 9, 3, 5, 9, 9, 18, 60, 30
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 12, 44, 1, 2, 0, 8, 0, 18, 42, 4, 2, 0, 9, 8, 0, 8, 9, 18, 68, 34
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 21, 35, 1, 2, 0, 8, 0, 18, 33, 10, 8, 0, 9, 2, 6, 8, 9, 18, 34, 17
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 12, 12, 0, 9, 5, 3, 9, 9, 18, 40, 20
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 17, 39, 1, 2, 0, 8, 0, 18, 37, 8, 6, 0, 9, 5, 3, 8, 9, 18, 48, 24
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 21, 35, 1, 2, 0, 8, 0, 18, 33, 10, 8, 0, 9, 5, 3, 8, 9, 18, 50, 25
