Input Number, Run_Number, Result@ 100, X2, X1, Y
In01, Run: 001, P, 186, 0, 0
In01, Run: 002, P, 224, 0, 0
In01, Run: 003, P, 200, 0, 0
In01, Run: 004, P, 228, 0, 0
In01, Run: 005, P, 208, 0, 0
In01, Run: 006, P, 190, 0, 0
In01, Run: 007, P, 224, 0, 0
In01, Run: 008, P, 184, 0, 0
In01, Run: 009, P, 234, 0, 0
In01, Run: 010, P, 212, 0, 0
In01, Run: 011, P, 242, 0, 0
In01, Run: 012, P, 198, 0, 0
In01, Run: 013, P, 228, 0, 0
In01, Run: 014, P, 238, 0, 0
In01, Run: 015, P, 210, 0, 0
In01, Run: 016, P, 228, 0, 0
In01, Run: 017, P, 242, 0, 0
In01, Run: 018, P, 214, 0, 0
In01, Run: 019, P, 192, 0, 0
In01, Run: 020, P, 204, 0, 0
In01, Run: 021, P, 200, 0, 0
In01, Run: 022, P, 232, 0, 0
In01, Run: 023, P, 208, 0, 0
In01, Run: 024, P, 212, 0, 0
In01, Run: 025, P, 256, 0, 0
In01, Run: 026, P, 200, 0, 0
In01, Run: 027, P, 210, 0, 0
In01, Run: 028, P, 164, 0, 0
In01, Run: 029, P, 214, 0, 0
In01, Run: 030, P, 224, 0, 0
In01, Run: 031, P, 212, 0, 0
In01, Run: 032, P, 186, 0, 0
In01, Run: 033, P, 204, 0, 0
In01, Run: 034, P, 218, 0, 0
In01, Run: 035, P, 186, 0, 0
In01, Run: 036, P, 202, 0, 0
In01, Run: 037, P, 236, 0, 0
In01, Run: 038, P, 208, 0, 0
In01, Run: 039, P, 244, 0, 0
In01, Run: 040, P, 216, 0, 0
In01, Run: 041, P, 222, 0, 0
In01, Run: 042, P, 232, 0, 0
In01, Run: 043, P, 278, 0, 0
In01, Run: 044, P, 210, 0, 0
In01, Run: 045, P, 158, 0, 0
In01, Run: 046, P, 200, 0, 0
In01, Run: 047, P, 228, 0, 0
In01, Run: 048, P, 194, 0, 0
In01, Run: 049, P, 190, 0, 0
In01, Run: 050, P, 244, 0, 0
In01, Run: 051, P, 222, 0, 0
In01, Run: 052, P, 210, 0, 0
In01, Run: 053, P, 214, 0, 0
In01, Run: 054, P, 224, 0, 0
In01, Run: 055, P, 220, 0, 0
In01, Run: 056, P, 222, 0, 0
In01, Run: 057, P, 200, 0, 0
In01, Run: 058, P, 218, 0, 0
In01, Run: 059, P, 184, 0, 0
In01, Run: 060, P, 224, 0, 0
In01, Run: 061, P, 220, 0, 0
In01, Run: 062, P, 212, 0, 0
In01, Run: 063, P, 212, 0, 0
In01, Run: 064, P, 210, 0, 0
In01, Run: 065, P, 208, 0, 0
In01, Run: 066, P, 210, 0, 0
In01, Run: 067, P, 222, 0, 0
In01, Run: 068, P, 218, 0, 0
In01, Run: 069, P, 216, 0, 0
In01, Run: 070, P, 204, 0, 0
In01, Run: 071, P, 210, 0, 0
In01, Run: 072, P, 196, 0, 0
In01, Run: 073, P, 228, 0, 0
In01, Run: 074, P, 242, 0, 0
In01, Run: 075, P, 210, 0, 0
In01, Run: 076, P, 188, 0, 0
In01, Run: 077, P, 182, 0, 0
In01, Run: 078, P, 204, 0, 0
In01, Run: 079, P, 218, 0, 0
In01, Run: 080, P, 202, 0, 0
In01, Run: 081, P, 230, 0, 0
In01, Run: 082, P, 182, 0, 0
In01, Run: 083, P, 200, 0, 0
In01, Run: 084, P, 240, 0, 0
In01, Run: 085, P, 178, 0, 0
In01, Run: 086, P, 194, 0, 0
In01, Run: 087, P, 212, 0, 0
In01, Run: 088, P, 210, 0, 0
In01, Run: 089, P, 186, 0, 0
In01, Run: 090, P, 182, 0, 0
In01, Run: 091, P, 226, 0, 0
In01, Run: 092, P, 246, 0, 0
In01, Run: 093, P, 236, 0, 0
In01, Run: 094, P, 228, 0, 0
In01, Run: 095, P, 176, 0, 0
In01, Run: 096, P, 220, 0, 0
In01, Run: 097, P, 226, 0, 0
In01, Run: 098, P, 230, 0, 0
In01, Run: 099, P, 234, 0, 0
In01, Run: 100, P, 196, 0, 0
In02, Run: 001, P, 164, 0, 0
In02, Run: 002, P, 208, 0, 0
In02, Run: 003, P, 200, 0, 0
In02, Run: 004, P, 232, 0, 0
In02, Run: 005, P, 196, 0, 0
In02, Run: 006, P, 198, 0, 0
In02, Run: 007, P, 160, 0, 0
In02, Run: 008, P, 180, 0, 0
In02, Run: 009, P, 228, 0, 0
In02, Run: 010, P, 188, 0, 0
