Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 104, 0, 52, 60, 60, 88, 88, 90, 64, 56, 14, 103, 13, 25, 27, 22, 32, 105, 11, 11, 20, 124, 99, 142, 141, 90, 89, 93, 90, 90, 44, 46, 13, 97, 13, 23, 29, 46, 29, 29, 23, 23, 91, 59, 52, 1, 0
INVAR-1, Run: 002, F, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 3, 1, 0, 0, 1, 1, 1, 1, 2, 0, 1, 1, 0, 103, 0, 18, 11, 11, 101, 100, 116, 112, 66, 30, 102, 29, 3, 32, 25, 53, 70, 23, 23, 20, 87, 121, 104, 104, 87, 86, 128, 127, 121, 68, 67, 31, 120, 31, 38, 32, 52, 33, 32, 27, 26, 126, 72, 18, 1, 0
INVAR-1, Run: 003, F, 1, 2, 0, 0, 0, 1, 3, 3, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 5, 3, 3, 108, 105, 92, 85, 72, 13, 91, 11, 4, 34, 28, 34, 89, 17, 17, 13, 101, 109, 113, 112, 82, 82, 79, 80, 94, 58, 54, 32, 106, 33, 24, 39, 36, 38, 38, 30, 30, 89, 55, 5, 1, 0
INVAR-1, Run: 004, F, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 0, 0, 90, 0, 29, 34, 34, 90, 90, 85, 66, 84, 44, 90, 43, 19, 35, 30, 33, 92, 28, 28, 15, 107, 90, 105, 104, 110, 108, 103, 104, 111, 75, 62, 51, 88, 52, 31, 47, 36, 48, 46, 31, 31, 115, 81, 29, 1, 0
INVAR-1, Run: 005, F, 1, 2, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 98, 0, 3, 1, 1, 110, 109, 111, 111, 54, 24, 96, 23, 0, 24, 41, 37, 85, 29, 29, 25, 109, 94, 82, 81, 125, 124, 137, 135, 116, 73, 83, 39, 92, 39, 41, 30, 43, 30, 30, 42, 42, 94, 55, 3, 1, 0
INVAR-1, Run: 006, F, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0, 1, 0, 0, 87, 0, 42, 53, 53, 94, 93, 103, 76, 67, 10, 87, 9, 26, 28, 25, 36, 87, 29, 29, 31, 118, 87, 112, 112, 97, 95, 89, 87, 88, 62, 60, 59, 85, 60, 33, 39, 26, 39, 38, 27, 27, 102, 65, 42, 1, 0
INVAR-1, Run: 007, F, 1, 2, 0, 0, 0, 1, 2, 3, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 102, 0, 20, 26, 26, 109, 107, 114, 108, 47, 21, 100, 20, 3, 26, 26, 41, 95, 3, 3, 2, 97, 106, 86, 86, 93, 92, 86, 87, 90, 62, 51, 9, 105, 10, 22, 20, 28, 21, 21, 29, 29, 96, 55, 20, 1, 0
INVAR-1, Run: 008, F, 1, 2, 0, 0, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 90, 0, 40, 39, 39, 95, 94, 96, 74, 96, 11, 88, 10, 21, 51, 18, 29, 86, 30, 30, 32, 115, 96, 131, 128, 100, 99, 79, 79, 79, 51, 39, 40, 94, 40, 19, 45, 28, 45, 45, 20, 20, 115, 84, 40, 1, 0
INVAR-1, Run: 009, F, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 1, 0, 100, 0, 14, 11, 11, 87, 86, 80, 73, 55, 43, 100, 42, 6, 30, 35, 48, 66, 16, 16, 16, 81, 118, 61, 61, 112, 110, 117, 116, 100, 69, 73, 27, 116, 28, 35, 26, 29, 25, 25, 38, 37, 113, 65, 14, 1, 0
INVAR-1, Run: 010, F, 1, 3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 98, 0, 1, 0, 0, 103, 103, 117, 117, 53, 32, 95, 31, 0, 30, 38, 45, 81, 17, 17, 16, 97, 107, 87, 86, 110, 110, 126, 125, 153, 90, 86, 19, 106, 20, 47, 23, 63, 23, 22, 39, 39, 117, 70, 1, 1, 0
