Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 70, 1, 18, 7, 15, 9, 5, 3, 9, 18, 19, 16, 15
INVAR-1, Run: 002, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 68, 0, 18, 16, 14, 9, 7, 1, 9, 18, 20, 25, 14
INVAR-1, Run: 003, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 1, 18, 8, 11, 9, 5, 3, 9, 18, 21, 17, 11
INVAR-1, Run: 004, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 1, 18, 16, 11, 9, 7, 1, 9, 18, 21, 25, 11
INVAR-1, Run: 005, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 68, 0, 18, 7, 14, 9, 6, 2, 9, 18, 20, 16, 14
INVAR-1, Run: 006, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 0, 18, 9, 12, 9, 6, 2, 9, 18, 21, 18, 12
INVAR-1, Run: 007, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 68, 0, 18, 15, 14, 9, 4, 4, 9, 18, 20, 24, 14
INVAR-1, Run: 008, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 64, 0, 18, 10, 10, 9, 5, 3, 9, 18, 22, 19, 10
INVAR-1, Run: 009, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 64, 1, 18, 8, 9, 9, 7, 1, 9, 18, 22, 17, 9
INVAR-1, Run: 010, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 68, 1, 18, 13, 13, 9, 6, 2, 9, 18, 20, 22, 13
INVAR-1, Run: 011, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 0, 18, 16, 12, 9, 6, 2, 9, 18, 21, 25, 12
INVAR-1, Run: 012, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 72, 1, 18, 26, 17, 9, 5, 3, 9, 18, 18, 35, 17
INVAR-1, Run: 013, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 1, 18, 9, 11, 9, 5, 3, 9, 18, 21, 18, 11
INVAR-1, Run: 014, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 66, 1, 18, 10, 11, 9, 4, 4, 9, 18, 21, 19, 11
INVAR-1, Run: 015, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 70, 1, 18, 13, 15, 9, 7, 1, 9, 18, 19, 22, 15
