Input Number, Run_Number, Result@ 1000, A, B, H, C, T4, T6, Y, L4, L1, L5, T1, T2, T3, T5, R, U, L2, D, L3
2, Run: 020, P, 0, 100, 0, 0, 0, 0, 106, 0, 0, 0, 1, 1, 1, 0, 1, 6, 0, 47, 0
2, Run: 021, P, 100, 0, 0, 0, 1, 0, 101, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 48, 0
2, Run: 022, P, 100, 0, 0, 0, 0, 0, 107, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 023, P, 0, 100, 0, 0, 0, 1, 105, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 47, 0
2, Run: 024, P, 0, 100, 0, 0, 1, 0, 101, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 48, 0
2, Run: 025, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 49, 0
2, Run: 026, P, 0, 100, 0, 0, 0, 2, 105, 0, 0, 0, 1, 2, 0, 0, 1, 6, 0, 45, 0
2, Run: 027, P, 0, 0, 0, 100, 2, 1, 104, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 45, 0
2, Run: 028, P, 0, 0, 0, 100, 1, 0, 106, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 48, 0
2, Run: 029, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 1, 6, 0, 48, 0
2, Run: 030, P, 0, 0, 0, 100, 2, 0, 102, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 46, 0
2, Run: 031, P, 0, 0, 0, 100, 0, 0, 105, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 032, P, 100, 0, 0, 0, 0, 1, 104, 0, 0, 0, 0, 0, 3, 0, 1, 6, 0, 46, 0
2, Run: 033, P, 0, 0, 0, 100, 0, 0, 102, 0, 0, 0, 1, 1, 1, 0, 1, 6, 0, 47, 0
2, Run: 034, P, 0, 0, 0, 100, 1, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 035, P, 0, 100, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 036, P, 100, 0, 0, 0, 1, 1, 104, 0, 0, 0, 0, 0, 1, 3, 1, 6, 0, 44, 0
2, Run: 037, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
2, Run: 038, P, 0, 0, 0, 100, 0, 1, 106, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 48, 0
2, Run: 039, P, 0, 100, 0, 0, 0, 0, 105, 0, 0, 0, 2, 0, 1, 0, 1, 6, 0, 47, 0
2, Run: 040, P, 100, 0, 0, 0, 2, 0, 102, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 041, P, 0, 0, 0, 100, 0, 1, 107, 0, 0, 0, 0, 2, 0, 2, 1, 6, 0, 45, 0
2, Run: 042, P, 0, 0, 0, 100, 0, 0, 104, 0, 0, 0, 1, 0, 0, 2, 1, 6, 0, 47, 0
2, Run: 043, P, 0, 0, 0, 100, 0, 0, 109, 0, 0, 0, 0, 2, 0, 0, 1, 6, 0, 48, 0
2, Run: 044, P, 100, 0, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 46, 0
2, Run: 045, P, 0, 0, 0, 100, 0, 0, 106, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 046, P, 100, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 2, 0, 1, 6, 0, 48, 0
2, Run: 047, P, 0, 0, 0, 100, 0, 1, 103, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 48, 0
2, Run: 048, P, 0, 100, 0, 0, 0, 0, 103, 0, 0, 0, 0, 2, 1, 0, 1, 6, 0, 47, 0
2, Run: 049, P, 0, 0, 0, 100, 1, 1, 104, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 47, 0
2, Run: 050, P, 100, 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 47, 0
2, Run: 051, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
2, Run: 052, P, 0, 0, 0, 100, 0, 1, 105, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 47, 0
2, Run: 053, P, 0, 100, 0, 0, 0, 0, 105, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 054, P, 0, 0, 0, 100, 1, 2, 104, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 44, 0
2, Run: 055, P, 100, 0, 0, 0, 2, 0, 103, 0, 0, 0, 0, 1, 1, 1, 1, 6, 0, 45, 0
2, Run: 056, P, 0, 100, 0, 0, 1, 0, 105, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 47, 0
2, Run: 057, P, 100, 0, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 47, 0
2, Run: 058, P, 0, 100, 0, 0, 1, 0, 103, 0, 0, 0, 1, 1, 0, 1, 1, 6, 0, 46, 0
2, Run: 059, P, 100, 0, 0, 0, 0, 1, 104, 0, 0, 0, 1, 2, 0, 0, 1, 6, 0, 46, 0
2, Run: 060, P, 0, 100, 0, 0, 0, 0, 105, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 061, P, 0, 100, 0, 0, 1, 1, 103, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 062, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
2, Run: 063, P, 0, 100, 0, 0, 1, 0, 107, 0, 0, 0, 0, 0, 2, 0, 1, 6, 0, 47, 0
2, Run: 064, P, 0, 0, 0, 100, 0, 0, 102, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 065, P, 0, 0, 0, 100, 0, 0, 104, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
2, Run: 066, P, 0, 0, 0, 100, 0, 0, 106, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 067, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 0, 2, 1, 0, 1, 6, 0, 47, 0
2, Run: 068, P, 0, 100, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
2, Run: 069, P, 0, 100, 0, 0, 1, 2, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 47, 0
2, Run: 070, P, 0, 100, 0, 0, 0, 0, 102, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 47, 0
2, Run: 071, P, 100, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 2, 0, 0, 1, 6, 0, 48, 0
2, Run: 072, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 073, P, 0, 100, 0, 0, 1, 1, 102, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 47, 0
2, Run: 074, P, 0, 100, 0, 0, 1, 1, 105, 0, 0, 0, 2, 0, 1, 0, 1, 6, 0, 45, 0
2, Run: 075, P, 0, 100, 0, 0, 1, 0, 101, 0, 0, 0, 1, 1, 2, 1, 1, 6, 0, 44, 0
2, Run: 076, P, 100, 0, 0, 0, 2, 0, 102, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 46, 0
2, Run: 077, P, 100, 0, 0, 0, 0, 1, 103, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 078, P, 0, 0, 0, 100, 0, 1, 104, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 079, P, 0, 0, 0, 100, 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 49, 0
2, Run: 080, P, 0, 100, 0, 0, 0, 1, 107, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 081, P, 0, 0, 0, 100, 1, 0, 105, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 48, 0
2, Run: 082, P, 100, 0, 0, 0, 0, 0, 104, 0, 0, 0, 1, 1, 1, 0, 1, 6, 0, 47, 0
2, Run: 083, P, 0, 0, 0, 100, 1, 0, 105, 0, 0, 0, 1, 0, 1, 0, 1, 6, 0, 47, 0
2, Run: 084, P, 0, 100, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 085, P, 0, 100, 0, 0, 0, 1, 104, 0, 0, 0, 1, 0, 4, 1, 1, 6, 0, 43, 0
2, Run: 086, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 087, P, 0, 0, 0, 100, 1, 1, 105, 0, 0, 0, 1, 2, 1, 0, 1, 6, 0, 44, 0
2, Run: 088, P, 100, 0, 0, 0, 1, 1, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 47, 0
2, Run: 089, P, 100, 0, 0, 0, 1, 0, 102, 0, 0, 0, 1, 1, 1, 0, 1, 6, 0, 46, 0
2, Run: 090, P, 100, 0, 0, 0, 1, 1, 105, 0, 0, 0, 1, 2, 0, 0, 1, 6, 0, 45, 0
2, Run: 091, P, 100, 0, 0, 0, 2, 0, 102, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 47, 0
2, Run: 092, P, 100, 0, 0, 0, 1, 0, 105, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
2, Run: 093, P, 0, 0, 0, 100, 0, 0, 106, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 094, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 095, P, 0, 0, 0, 100, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
2, Run: 096, P, 0, 0, 0, 100, 1, 0, 105, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 097, P, 100, 0, 0, 0, 0, 1, 107, 0, 0, 0, 1, 2, 3, 0, 1, 6, 0, 43, 0
2, Run: 098, P, 0, 100, 0, 0, 0, 0, 104, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 48, 0
2, Run: 099, P, 0, 100, 0, 0, 1, 0, 104, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 46, 0
2, Run: 100, P, 0, 0, 0, 100, 0, 1, 103, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
3, Run: 001, P, 1000, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 48, 0
3, Run: 002, P, 0, 0, 0, 1000, 1, 1, 106, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 47, 0
3, Run: 003, P, 0, 0, 0, 1000, 0, 0, 102, 0, 0, 0, 1, 0, 1, 0, 1, 6, 0, 48, 0
3, Run: 004, P, 0, 0, 0, 1000, 1, 0, 102, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 47, 0
