Input Number, Run_Number, Result@ 1000, A, B, H, C, T4, T6, Y, L4, L1, L5, T1, T2, T3, T5, R, U, L2, D, L3
1, Run: 001, F, 0, 10, 0, 0, 0, 1, 103, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 002, F, 0, 10, 0, 0, 0, 2, 104, 0, 0, 0, 2, 1, 2, 0, 1, 6, 0, 43, 0
1, Run: 003, F, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 004, F, 0, 0, 0, 10, 0, 1, 106, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 005, F, 0, 0, 0, 10, 0, 2, 110, 0, 0, 0, 4, 0, 1, 0, 1, 6, 0, 43, 0
1, Run: 006, F, 0, 10, 0, 0, 2, 0, 108, 0, 0, 0, 0, 2, 0, 0, 1, 6, 0, 46, 0
1, Run: 007, F, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 008, F, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 009, F, 0, 10, 0, 0, 1, 1, 106, 0, 0, 0, 2, 3, 0, 0, 1, 6, 0, 43, 0
1, Run: 010, F, 0, 10, 0, 0, 0, 1, 105, 0, 0, 0, 1, 1, 0, 2, 1, 6, 0, 45, 0
1, Run: 011, F, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 2, 0, 1, 6, 0, 48, 0
1, Run: 012, F, 0, 10, 0, 0, 1, 0, 107, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 013, F, 0, 10, 0, 0, 1, 0, 103, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 014, F, 0, 10, 0, 0, 1, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 015, F, 0, 10, 0, 0, 1, 1, 105, 0, 0, 0, 0, 0, 0, 2, 1, 6, 0, 46, 0
1, Run: 016, F, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 017, F, 0, 10, 0, 0, 1, 1, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 018, F, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 48, 0
