Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, F, 59, 0, 0, 24, 56, 10, 21
INVAR-1, Run: 002, F, 87, 0, 0, 46, 112, 32, 49
INVAR-1, Run: 003, F, 72, 0, 0, 28, 82, 14, 34
INVAR-1, Run: 004, F, 54, 0, 0, 22, 46, 8, 16
INVAR-1, Run: 005, F, 52, 0, 0, 21, 42, 7, 14
INVAR-1, Run: 006, F, 54, 0, 0, 20, 46, 6, 16
INVAR-1, Run: 007, F, 73, 0, 0, 41, 84, 27, 35
INVAR-1, Run: 008, F, 0, 90, 0, 43, 28, 119, 52
INVAR-1, Run: 009, F, 66, 0, 0, 27, 70, 13, 28
INVAR-1, Run: 010, F, 47, 0, 0, 17, 32, 3, 9
INVAR-1, Run: 011, F, 52, 0, 0, 17, 42, 3, 14
INVAR-1, Run: 012, F, 64, 0, 0, 29, 66, 15, 26
INVAR-1, Run: 013, F, 0, 102, 0, 44, 40, 132, 64
INVAR-1, Run: 014, F, 55, 0, 0, 20, 48, 6, 17
INVAR-1, Run: 015, F, 44, 0, 0, 21, 26, 7, 6
INVAR-1, Run: 016, F, 48, 0, 0, 14, 34, 0, 10
INVAR-1, Run: 017, F, 56, 0, 0, 25, 50, 11, 18
INVAR-1, Run: 018, F, 54, 0, 0, 19, 46, 5, 16
INVAR-1, Run: 019, F, 79, 0, 0, 32, 96, 18, 41
INVAR-1, Run: 020, F, 60, 0, 0, 17, 58, 3, 22
INVAR-1, Run: 021, F, 49, 0, 0, 18, 36, 4, 11
INVAR-1, Run: 022, F, 51, 0, 0, 15, 40, 1, 13
INVAR-1, Run: 023, F, 72, 0, 0, 32, 82, 18, 34
INVAR-1, Run: 024, F, 65, 0, 0, 34, 68, 20, 27
INVAR-1, Run: 025, F, 46, 0, 0, 16, 30, 2, 8
INVAR-1, Run: 026, F, 64, 0, 0, 31, 66, 17, 26
INVAR-1, Run: 027, F, 59, 0, 0, 25, 56, 11, 21
INVAR-1, Run: 028, F, 54, 0, 0, 21, 46, 7, 16
INVAR-1, Run: 029, F, 46, 0, 0, 18, 30, 4, 8
INVAR-1, Run: 030, F, 55, 0, 0, 33, 48, 19, 17
INVAR-1, Run: 031, F, 75, 0, 0, 35, 88, 21, 37
INVAR-1, Run: 032, F, 69, 0, 0, 28, 76, 14, 31
INVAR-1, Run: 033, F, 70, 0, 0, 41, 78, 27, 32
INVAR-1, Run: 034, F, 42, 0, 0, 16, 22, 2, 4
INVAR-1, Run: 035, F, 52, 0, 0, 23, 42, 9, 14
INVAR-1, Run: 036, F, 67, 0, 0, 21, 72, 7, 29
INVAR-1, Run: 037, F, 71, 0, 0, 24, 80, 10, 33
INVAR-1, Run: 038, F, 96, 0, 0, 58, 130, 44, 58
INVAR-1, Run: 039, F, 57, 0, 0, 21, 52, 7, 19
INVAR-1, Run: 040, F, 66, 0, 0, 24, 70, 10, 28
INVAR-1, Run: 041, F, 67, 0, 0, 27, 72, 13, 29
INVAR-1, Run: 042, F, 59, 0, 0, 24, 56, 10, 21
INVAR-1, Run: 043, F, 122, 0, 0, 93, 182, 79, 84
INVAR-1, Run: 044, F, 74, 0, 0, 31, 86, 17, 36
INVAR-1, Run: 045, F, 107, 0, 0, 73, 152, 59, 69
INVAR-1, Run: 046, F, 69, 0, 0, 35, 76, 21, 31
INVAR-1, Run: 047, F, 58, 0, 0, 24, 54, 10, 20
INVAR-1, Run: 048, F, 58, 0, 0, 18, 54, 4, 20
INVAR-1, Run: 049, F, 60, 0, 0, 21, 58, 7, 22
INVAR-1, Run: 050, F, 49, 0, 0, 17, 36, 3, 11
INVAR-1, Run: 051, F, 62, 0, 0, 24, 62, 10, 24
INVAR-1, Run: 052, F, 109, 0, 0, 63, 156, 49, 71
INVAR-1, Run: 053, F, 55, 0, 0, 18, 48, 4, 17
INVAR-1, Run: 054, F, 78, 0, 0, 41, 94, 27, 40
INVAR-1, Run: 055, F, 52, 0, 0, 15, 42, 1, 14
