Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-1, Run: 001, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
INVAR-1, Run: 002, P, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0
INVAR-1, Run: 003, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 004, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
INVAR-1, Run: 005, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
INVAR-1, Run: 006, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 007, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 008, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 009, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 010, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 011, P, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0
INVAR-1, Run: 012, P, 32, 0, 0, 0, 0, 0, 0, 20, 31, 1, 0
INVAR-1, Run: 013, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 014, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 015, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 016, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 017, P, 34, 0, 0, 0, 0, 0, 0, 19, 29, 1, 0
INVAR-1, Run: 018, P, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0
INVAR-1, Run: 019, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 020, P, 18, 0, 0, 0, 0, 0, 0, 27, 45, 1, 0
INVAR-1, Run: 021, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 022, P, 42, 0, 0, 0, 0, 0, 0, 15, 21, 1, 0
INVAR-1, Run: 023, P, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
INVAR-1, Run: 024, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
INVAR-1, Run: 025, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
INVAR-1, Run: 026, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 027, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 028, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 029, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
INVAR-1, Run: 030, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
INVAR-1, Run: 031, P, 12, 0, 0, 0, 0, 0, 0, 30, 51, 1, 0
INVAR-1, Run: 032, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
INVAR-1, Run: 033, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 034, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 035, P, 8, 0, 0, 0, 0, 0, 0, 32, 55, 1, 0
INVAR-1, Run: 036, P, 28, 0, 0, 0, 0, 0, 0, 22, 35, 1, 0
INVAR-1, Run: 037, P, 24, 0, 0, 0, 0, 0, 0, 24, 39, 1, 0
INVAR-1, Run: 038, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 039, P, 22, 0, 0, 0, 0, 0, 0, 25, 41, 1, 0
INVAR-1, Run: 040, P, 30, 0, 0, 0, 0, 0, 0, 21, 33, 1, 0
INVAR-1, Run: 041, P, 10, 0, 0, 0, 0, 0, 0, 31, 53, 1, 0
INVAR-1, Run: 042, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 043, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
INVAR-1, Run: 044, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
INVAR-1, Run: 045, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 046, P, 16, 0, 0, 0, 0, 0, 0, 28, 47, 1, 0
INVAR-1, Run: 047, F, 4, 0, 0, 0, 0, 0, 0, 34, 59, 1, 0
INVAR-1, Run: 048, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 0, 0, 36, 63, 1, 0
INVAR-1, Run: 050, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 051, P, 20, 0, 0, 0, 0, 0, 0, 26, 43, 1, 0
INVAR-1, Run: 052, P, 6, 0, 0, 0, 0, 0, 0, 33, 57, 1, 0
INVAR-1, Run: 053, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 054, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
INVAR-1, Run: 055, F, 2, 0, 0, 0, 0, 0, 0, 35, 61, 1, 0
INVAR-1, Run: 056, P, 26, 0, 0, 0, 0, 0, 0, 23, 37, 1, 0
INVAR-1, Run: 057, P, 14, 0, 0, 0, 0, 0, 0, 29, 49, 1, 0
