Input Number, Run_Number, Result@ 100, A2, F1, F2, A1, F1P, F2P, Y
1, Run: 001, P, 28, 0, 0, 22, 0, 6, 3
1, Run: 002, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 003, P, 29, 0, 0, 21, 0, 6, 3
1, Run: 004, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 005, P, 28, 0, 0, 22, 0, 6, 3
1, Run: 006, P, 28, 0, 0, 21, 0, 6, 3
1, Run: 007, F, 22, 0, 0, 24, 0, 15, 0
1, Run: 008, P, 31, 0, 0, 20, 0, 3, 4
1, Run: 009, P, 28, 0, 0, 21, 0, 6, 3
1, Run: 010, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 011, P, 27, 0, 0, 22, 0, 9, 2
1, Run: 012, P, 22, 0, 0, 23, 0, 12, 1
1, Run: 013, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 014, P, 25, 0, 0, 22, 0, 9, 2
1, Run: 015, P, 29, 0, 0, 21, 0, 6, 3
1, Run: 016, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 017, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 018, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 019, P, 25, 0, 0, 22, 0, 9, 2
1, Run: 020, P, 24, 0, 0, 23, 0, 12, 1
1, Run: 021, P, 26, 0, 0, 22, 0, 9, 2
1, Run: 022, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 023, P, 28, 0, 0, 21, 0, 6, 3
1, Run: 024, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 025, P, 26, 0, 0, 22, 0, 9, 2
1, Run: 026, P, 28, 0, 0, 21, 0, 6, 3
1, Run: 027, P, 25, 0, 0, 22, 0, 9, 2
1, Run: 028, F, 20, 0, 0, 24, 0, 15, 0
1, Run: 029, P, 31, 0, 0, 20, 0, 3, 4
1, Run: 030, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 031, P, 30, 0, 0, 20, 0, 3, 4
1, Run: 032, P, 24, 0, 0, 23, 0, 12, 1
1, Run: 033, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 034, P, 25, 0, 0, 22, 0, 9, 2
1, Run: 035, P, 30, 0, 0, 21, 0, 6, 3
1, Run: 036, P, 30, 0, 0, 21, 0, 6, 3
1, Run: 037, F, 20, 0, 0, 24, 0, 15, 0
1, Run: 038, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 039, P, 29, 0, 0, 21, 0, 6, 3
1, Run: 040, P, 25, 0, 0, 23, 0, 9, 2
1, Run: 041, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 042, P, 26, 0, 0, 22, 0, 9, 2
1, Run: 043, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 044, P, 29, 0, 0, 22, 0, 6, 3
1, Run: 045, P, 22, 0, 0, 23, 0, 12, 1
1, Run: 046, P, 30, 0, 0, 20, 0, 3, 4
1, Run: 047, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 048, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 049, P, 23, 0, 0, 23, 0, 12, 1
1, Run: 050, P, 30, 0, 0, 20, 0, 3, 4
1, Run: 051, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 052, F, 20, 0, 0, 24, 0, 15, 0
1, Run: 053, F, 20, 0, 0, 24, 0, 15, 0
1, Run: 054, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 055, P, 24, 0, 0, 22, 0, 9, 2
1, Run: 056, P, 27, 0, 0, 21, 0, 6, 3
1, Run: 057, P, 25, 0, 0, 22, 0, 9, 2
1, Run: 058, P, 26, 0, 0, 22, 0, 9, 2
