Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 6, 6, 0, 9, 6, 2, 9, 9, 18, 22, 11
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 24, 32, 1, 2, 0, 8, 0, 18, 30, 10, 8, 0, 9, 5, 3, 8, 9, 18, 120, 60
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 27, 27, 1, 0, 0, 9, 0, 18, 27, 4, 4, 0, 9, 5, 3, 9, 9, 18, 26, 13
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 2, 54, 1, 2, 0, 8, 0, 18, 52, 13, 11, 0, 9, 7, 1, 8, 9, 18, 44, 22
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 4, 52, 1, 2, 0, 8, 0, 18, 50, 9, 7, 0, 9, 3, 5, 8, 9, 18, 28, 14
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 9, 9, 0, 9, 5, 3, 9, 9, 18, 42, 21
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 43, 13, 1, 2, 0, 8, 0, 18, 11, 4, 2, 0, 9, 1, 7, 8, 9, 18, 158, 79
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 24, 32, 1, 2, 0, 8, 0, 18, 30, 5, 3, 0, 9, 4, 4, 8, 9, 18, 100, 50
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 9, 9, 0, 9, 6, 2, 9, 9, 18, 18, 9
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 8, 48, 1, 2, 0, 8, 0, 18, 46, 9, 7, 0, 9, 5, 3, 8, 9, 18, 20, 10
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 5, 5, 0, 9, 7, 1, 9, 9, 18, 66, 33
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 3, 3, 0, 9, 6, 2, 9, 9, 18, 48, 24
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 26, 28, 1, 0, 0, 9, 0, 18, 28, 4, 4, 0, 9, 5, 3, 9, 9, 18, 78, 39
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 10, 10, 0, 9, 4, 4, 9, 9, 18, 52, 26
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 6, 6, 0, 9, 3, 5, 9, 9, 18, 24, 12
INVAR-1, Run: 016, P, 0, 0, 1, 0, 0, 0, 55, 1, 0, 0, 9, 1, 18, 55, 7, 7, 0, 9, 6, 2, 9, 8, 18, 81, 40
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 26, 30, 1, 2, 0, 8, 0, 18, 28, 10, 8, 0, 9, 4, 4, 8, 9, 18, 86, 43
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0, 18, 36, 6, 6, 0, 9, 5, 3, 9, 9, 18, 28, 14
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0, 18, 41, 6, 6, 0, 9, 6, 2, 9, 9, 18, 22, 11
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 8, 46, 1, 0, 0, 9, 0, 18, 46, 3, 3, 0, 9, 6, 2, 9, 9, 18, 40, 20
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0, 18, 30, 4, 4, 0, 9, 5, 3, 9, 9, 18, 60, 30
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 4, 4, 0, 9, 5, 3, 9, 9, 18, 34, 17
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 5, 5, 0, 9, 7, 1, 9, 9, 18, 30, 15
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 15, 41, 1, 2, 0, 8, 0, 18, 39, 8, 6, 0, 9, 5, 3, 8, 9, 18, 38, 19
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 20, 36, 1, 2, 0, 8, 0, 18, 34, 9, 7, 0, 9, 5, 3, 8, 9, 18, 40, 20
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 54, 1, 0, 0, 9, 0, 18, 54, 7, 7, 0, 9, 3, 5, 9, 9, 18, 48, 24
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 30, 26, 1, 2, 0, 8, 0, 18, 24, 7, 5, 0, 9, 4, 4, 8, 9, 18, 28, 14
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 5, 51, 1, 2, 0, 8, 0, 18, 49, 9, 7, 0, 9, 5, 3, 8, 9, 18, 32, 16
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 1, 53, 1, 0, 0, 9, 0, 18, 53, 10, 10, 0, 9, 3, 5, 9, 9, 18, 26, 13
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0, 18, 36, 6, 6, 0, 9, 4, 4, 9, 9, 18, 68, 34
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 16, 38, 1, 0, 0, 9, 0, 18, 38, 5, 5, 0, 9, 4, 4, 9, 9, 18, 34, 17
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 25, 31, 1, 2, 0, 8, 0, 18, 29, 11, 9, 0, 9, 7, 1, 8, 9, 18, 26, 13
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 13, 41, 1, 0, 0, 9, 0, 18, 41, 4, 4, 0, 9, 5, 3, 9, 9, 18, 38, 19
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 11, 43, 1, 0, 0, 9, 0, 18, 43, 5, 5, 0, 9, 5, 3, 9, 9, 18, 72, 36
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 16, 40, 1, 2, 0, 8, 0, 18, 38, 5, 3, 0, 9, 7, 1, 8, 9, 18, 30, 15
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 18, 36, 1, 0, 0, 9, 0, 18, 36, 12, 12, 0, 9, 5, 3, 9, 9, 18, 36, 18
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 10, 10, 0, 9, 6, 2, 9, 9, 18, 42, 21
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 10, 46, 1, 2, 0, 8, 0, 18, 44, 9, 7, 0, 9, 5, 3, 8, 9, 18, 28, 14
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 13, 13, 0, 9, 6, 2, 9, 9, 18, 32, 16
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 11, 11, 0, 9, 7, 1, 9, 9, 18, 66, 33
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 11, 43, 1, 0, 0, 9, 0, 18, 43, 6, 6, 0, 9, 4, 4, 9, 9, 18, 42, 21
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 14, 42, 1, 2, 0, 8, 0, 18, 40, 8, 6, 0, 9, 5, 3, 8, 9, 18, 72, 36
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 19, 37, 1, 2, 0, 8, 0, 18, 35, 4, 2, 0, 9, 6, 2, 8, 9, 18, 50, 25
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 9, 45, 1, 0, 0, 9, 0, 18, 45, 5, 5, 0, 9, 3, 5, 9, 9, 18, 32, 16
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 5, 5, 0, 9, 6, 2, 9, 9, 18, 16, 8
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 16, 40, 1, 2, 0, 8, 0, 18, 38, 8, 6, 0, 9, 4, 4, 8, 9, 18, 248, 124
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0, 18, 42, 5, 5, 0, 9, 7, 1, 9, 9, 18, 58, 29
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 9, 47, 1, 2, 0, 8, 0, 18, 45, 11, 9, 0, 9, 3, 5, 8, 9, 18, 26, 13
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 0, 0, 0, 9, 6, 2, 9, 9, 18, 44, 22
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 2, 2, 0, 9, 6, 2, 9, 9, 18, 60, 30
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 16, 38, 1, 0, 0, 9, 0, 18, 38, 8, 8, 0, 9, 6, 2, 9, 9, 18, 34, 17
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 5, 5, 0, 9, 7, 1, 9, 9, 18, 36, 18
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 12, 44, 1, 2, 0, 8, 0, 18, 42, 7, 5, 0, 9, 7, 1, 8, 9, 18, 64, 32
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 18, 38, 1, 2, 0, 8, 0, 18, 36, 4, 2, 0, 9, 4, 4, 8, 9, 18, 44, 22
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 5, 5, 0, 9, 6, 2, 9, 9, 18, 18, 9
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 4, 4, 0, 9, 6, 2, 9, 9, 18, 62, 31
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 16, 38, 1, 0, 0, 9, 0, 18, 38, 2, 2, 0, 9, 6, 2, 9, 9, 18, 50, 25
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 30, 24, 1, 0, 0, 9, 0, 18, 24, 5, 5, 0, 9, 2, 6, 9, 9, 18, 142, 71
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 12, 42, 1, 0, 0, 9, 0, 18, 42, 3, 3, 0, 9, 4, 4, 9, 9, 18, 60, 30
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 6, 50, 1, 2, 0, 8, 0, 18, 48, 7, 5, 0, 9, 6, 2, 8, 9, 18, 30, 15
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 14, 42, 1, 2, 0, 8, 0, 18, 40, 9, 7, 0, 9, 6, 2, 8, 9, 18, 40, 20
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 8, 8, 0, 9, 4, 4, 9, 9, 18, 92, 46
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 17, 39, 1, 2, 0, 8, 0, 18, 37, 6, 4, 0, 9, 7, 1, 8, 9, 18, 26, 13
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 7, 7, 0, 9, 5, 3, 9, 9, 18, 48, 24
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 5, 5, 0, 9, 5, 3, 9, 9, 18, 54, 27
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 8, 8, 0, 9, 5, 3, 9, 9, 18, 46, 23
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 5, 5, 0, 9, 8, 0, 9, 9, 18, 30, 15
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 10, 46, 1, 2, 0, 8, 0, 18, 44, 12, 10, 0, 9, 4, 4, 8, 9, 18, 68, 34
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 19, 35, 1, 0, 0, 9, 0, 18, 35, 9, 9, 0, 9, 6, 2, 9, 9, 18, 30, 15
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0, 18, 30, 6, 6, 0, 9, 5, 3, 9, 9, 18, 58, 29
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 20, 34, 1, 0, 0, 9, 0, 18, 34, 3, 3, 0, 9, 4, 4, 9, 9, 18, 58, 29
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 14, 14, 0, 9, 6, 2, 9, 9, 18, 52, 26
