Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 67, 5, 9, 63, 9, 6, 2, 11, 6, 18, 16, 5
INVAR-1, Run: 002, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 160, 9, 13, 156, 9, 5, 3, 11, 6, 18, 132, 63
INVAR-1, Run: 003, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 93, 2, 8, 87, 9, 6, 2, 12, 6, 18, 68, 31
INVAR-1, Run: 004, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 134, 17, 23, 128, 9, 6, 2, 12, 5, 18, 28, 10
INVAR-1, Run: 005, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 146, 3, 7, 142, 9, 6, 2, 11, 7, 18, 94, 45
INVAR-1, Run: 006, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 184, 2, 8, 178, 9, 7, 1, 12, 6, 18, 34, 14
INVAR-1, Run: 007, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 162, 8, 14, 156, 9, 6, 2, 12, 6, 18, 76, 35
INVAR-1, Run: 008, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 6, 1, 12, 7, 18, 157, 10, 16, 151, 9, 3, 5, 12, 5, 18, 98, 45
INVAR-1, Run: 009, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 168, 5, 9, 164, 9, 5, 3, 11, 7, 18, 62, 29
INVAR-1, Run: 010, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 120, 4, 8, 116, 9, 6, 2, 11, 6, 18, 52, 23
INVAR-1, Run: 011, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 110, 12, 18, 104, 9, 4, 4, 12, 6, 18, 36, 15
INVAR-1, Run: 012, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 148, 8, 16, 140, 9, 6, 2, 13, 5, 18, 80, 36
INVAR-1, Run: 013, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 176, 4, 10, 170, 9, 6, 2, 12, 5, 18, 42, 17
INVAR-1, Run: 014, F, 1, 0, 3, 0, 0, 0, 0, 0, 58, 6, 1, 12, 9, 18, 76, 8, 14, 70, 9, 6, 2, 12, 4, 18, 40, 15
INVAR-1, Run: 015, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 1, 10, 2, 18, 72, 7, 9, 70, 9, 6, 2, 10, 8, 18, 52, 25
INVAR-1, Run: 016, F, 0, 0, 4, 0, 0, 0, 0, 0, 58, 4, 1, 11, 8, 18, 70, 9, 13, 66, 9, 5, 3, 11, 5, 18, 62, 27
INVAR-1, Run: 017, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 1, 10, 2, 18, 89, 4, 6, 87, 9, 4, 4, 10, 8, 18, 34, 16
INVAR-1, Run: 018, F, 0, 0, 6, 0, 0, 0, 0, 0, 60, 0, 1, 9, 6, 18, 45, 7, 7, 45, 9, 5, 3, 9, 6, 18, 64, 29
INVAR-1, Run: 019, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 8, 1, 13, 9, 18, 160, 10, 18, 152, 9, 6, 2, 13, 4, 18, 90, 40
INVAR-1, Run: 020, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 99, 9, 13, 95, 9, 6, 2, 11, 6, 18, 48, 21
INVAR-1, Run: 021, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 223, 4, 6, 221, 9, 4, 4, 10, 7, 18, 80, 38
INVAR-1, Run: 022, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 1, 10, 2, 18, 125, 6, 8, 123, 9, 6, 2, 10, 8, 18, 18, 8
INVAR-1, Run: 023, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 54, 7, 9, 52, 9, 5, 3, 10, 7, 18, 38, 17
INVAR-1, Run: 024, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 139, 5, 11, 133, 9, 7, 1, 12, 5, 18, 14, 3
INVAR-1, Run: 025, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 6, 1, 12, 7, 18, 106, 7, 13, 100, 9, 6, 2, 12, 5, 18, 82, 37
INVAR-1, Run: 026, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 82, 7, 9, 80, 9, 5, 3, 10, 7, 18, 24, 10
INVAR-1, Run: 027, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 92, 4, 12, 84, 9, 7, 1, 13, 5, 18, 36, 14
INVAR-1, Run: 028, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 2, 1, 10, 3, 18, 106, 3, 5, 104, 9, 5, 3, 10, 7, 18, 20, 8
INVAR-1, Run: 029, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 84, 4, 8, 80, 9, 6, 2, 11, 6, 18, 30, 12
INVAR-1, Run: 030, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 54, 6, 8, 52, 9, 6, 2, 10, 7, 18, 44, 20
INVAR-1, Run: 031, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 92, 4, 8, 88, 9, 7, 1, 11, 7, 18, 144, 70
INVAR-1, Run: 032, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 91, 15, 15, 91, 9, 1, 7, 9, 8, 18, 96, 47
INVAR-1, Run: 033, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 79, 11, 13, 77, 9, 5, 3, 10, 7, 18, 40, 18
INVAR-1, Run: 034, F, 0, 0, 4, 0, 0, 0, 0, 0, 58, 0, 1, 9, 4, 18, 78, 13, 13, 78, 9, 4, 4, 9, 7, 18, 12, 4
INVAR-1, Run: 035, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 1, 14, 10, 18, 177, 4, 14, 167, 9, 6, 2, 14, 4, 18, 28, 9
INVAR-1, Run: 036, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 88, 9, 17, 80, 9, 7, 1, 13, 5, 18, 44, 18
INVAR-1, Run: 037, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 99, 7, 13, 93, 9, 8, 0, 12, 5, 18, 64, 28
INVAR-1, Run: 038, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 108, 6, 12, 102, 9, 5, 3, 12, 6, 18, 26, 10
INVAR-1, Run: 039, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 94, 7, 11, 90, 9, 8, 0, 11, 6, 18, 18, 6
INVAR-1, Run: 040, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 6, 1, 12, 7, 18, 211, 8, 14, 205, 9, 7, 1, 12, 5, 18, 18, 5
INVAR-1, Run: 041, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 118, 12, 18, 112, 9, 3, 5, 12, 6, 18, 18, 6
INVAR-1, Run: 042, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 246, 13, 17, 242, 9, 4, 4, 11, 6, 18, 36, 15
INVAR-1, Run: 043, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 4, 1, 11, 5, 18, 146, 8, 12, 142, 9, 7, 1, 11, 6, 18, 46, 20
INVAR-1, Run: 044, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 0, 1, 9, 2, 18, 50, 7, 7, 50, 9, 5, 3, 9, 8, 18, 62, 30
INVAR-1, Run: 045, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 84, 6, 8, 82, 9, 7, 1, 10, 7, 18, 80, 38
INVAR-1, Run: 046, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 118, 8, 14, 112, 9, 5, 3, 12, 5, 18, 22, 7
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 93, 7, 11, 89, 9, 5, 3, 11, 7, 18, 52, 24
INVAR-1, Run: 048, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 115, 11, 15, 111, 9, 7, 1, 11, 6, 18, 34, 14
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 2, 1, 10, 2, 18, 96, 7, 9, 94, 9, 6, 2, 10, 8, 18, 32, 15
INVAR-1, Run: 050, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 92, 9, 15, 86, 9, 7, 1, 12, 5, 18, 40, 16
INVAR-1, Run: 051, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 111, 5, 7, 109, 9, 6, 2, 10, 7, 18, 68, 32
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 133, 5, 13, 125, 9, 7, 1, 13, 5, 18, 62, 27
INVAR-1, Run: 053, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 90, 6, 10, 86, 9, 6, 2, 11, 6, 18, 106, 50
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 185, 6, 14, 177, 9, 8, 0, 13, 5, 18, 40, 16
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 100, 2, 10, 92, 9, 8, 0, 13, 5, 18, 18, 5
INVAR-1, Run: 056, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 120, 6, 10, 116, 9, 7, 1, 11, 6, 18, 24, 9
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 106, 3, 7, 102, 9, 5, 3, 11, 7, 18, 42, 19
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 123, 9, 15, 117, 9, 4, 4, 12, 6, 18, 30, 12
INVAR-1, Run: 059, F, 0, 0, 4, 0, 0, 0, 0, 0, 58, 2, 1, 10, 6, 18, 94, 6, 8, 92, 9, 6, 2, 10, 6, 18, 44, 19
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 108, 3, 9, 102, 9, 7, 1, 12, 6, 18, 38, 16
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 160, 10, 14, 156, 9, 4, 4, 11, 7, 18, 38, 17
INVAR-1, Run: 062, F, 1, 0, 1, 0, 0, 0, 0, 0, 56, 8, 1, 13, 9, 18, 134, 6, 14, 126, 9, 6, 2, 13, 4, 18, 38, 14
INVAR-1, Run: 063, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 155, 11, 15, 151, 9, 6, 2, 11, 6, 18, 24, 9
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 133, 5, 9, 129, 9, 7, 1, 11, 7, 18, 124, 60
INVAR-1, Run: 065, F, 0, 0, 4, 0, 0, 0, 0, 0, 58, 0, 1, 9, 4, 18, 35, 7, 7, 35, 9, 2, 6, 9, 7, 18, 56, 26
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 93, 4, 10, 87, 9, 5, 3, 12, 6, 18, 80, 37
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 118, 5, 13, 110, 9, 6, 2, 13, 5, 18, 32, 12
INVAR-1, Run: 068, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 107, 6, 8, 105, 9, 5, 3, 10, 7, 18, 50, 23
INVAR-1, Run: 069, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 8, 1, 13, 10, 18, 135, 10, 18, 127, 9, 7, 1, 13, 4, 18, 42, 16
INVAR-1, Run: 070, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 144, 13, 19, 138, 9, 6, 2, 12, 5, 18, 48, 20
INVAR-1, Run: 071, F, 1, 0, 3, 0, 0, 0, 0, 0, 58, 2, 1, 10, 5, 18, 70, 9, 11, 68, 9, 4, 4, 10, 6, 18, 28, 11
INVAR-1, Run: 072, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 111, 8, 12, 107, 9, 6, 2, 11, 6, 18, 28, 11
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 0, 0, 0, 54, 10, 1, 14, 10, 18, 130, 6, 16, 120, 9, 4, 4, 14, 4, 18, 32, 11
INVAR-1, Run: 074, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 77, 9, 15, 71, 9, 7, 1, 12, 5, 18, 18, 5
INVAR-1, Run: 075, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 100, 4, 8, 96, 9, 7, 1, 11, 6, 18, 36, 15
INVAR-1, Run: 076, F, 0, 0, 2, 0, 0, 0, 0, 0, 56, 4, 1, 11, 6, 18, 148, 10, 14, 144, 9, 6, 2, 11, 6, 18, 52, 23
