Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 001, F, 28, 0, 0, 10, 4, 9, 0, 5
INVAR-1, Run: 002, F, 26, 0, 0, 12, 7, 18, 5, 16
INVAR-1, Run: 003, F, 26, 0, 0, 12, 7, 10, 5, 8
INVAR-1, Run: 004, F, 35, 0, 0, 3, 13, 22, 2, 11
INVAR-1, Run: 005, F, 30, 0, 0, 8, 6, 10, 0, 4
INVAR-1, Run: 006, F, 30, 0, 0, 8, 10, 20, 4, 14
INVAR-1, Run: 007, F, 28, 0, 0, 10, 5, 10, 1, 6
INVAR-1, Run: 008, F, 29, 0, 0, 9, 7, 12, 2, 7
INVAR-1, Run: 009, F, 30, 0, 0, 8, 7, 12, 1, 6
INVAR-1, Run: 010, F, 35, 0, 0, 3, 12, 19, 1, 8
INVAR-1, Run: 011, F, 32, 0, 0, 6, 8, 11, 0, 3
INVAR-1, Run: 012, F, 29, 0, 0, 9, 6, 16, 1, 11
INVAR-1, Run: 013, F, 32, 0, 0, 6, 8, 17, 0, 9
INVAR-1, Run: 014, F, 30, 0, 0, 8, 7, 7, 1, 1
INVAR-1, Run: 015, F, 29, 0, 0, 9, 7, 6, 2, 1
INVAR-1, Run: 016, F, 29, 0, 0, 9, 5, 14, 0, 9
INVAR-1, Run: 017, F, 31, 0, 0, 7, 7, 12, 0, 5
INVAR-1, Run: 018, F, 28, 0, 0, 10, 5, 10, 1, 6
INVAR-1, Run: 019, F, 29, 0, 0, 9, 7, 10, 2, 5
INVAR-1, Run: 020, F, 31, 0, 0, 7, 7, 13, 0, 6
INVAR-1, Run: 021, F, 30, 0, 0, 8, 6, 11, 0, 5
INVAR-1, Run: 022, F, 30, 0, 0, 8, 7, 13, 1, 7
INVAR-1, Run: 023, F, 27, 0, 0, 11, 3, 11, 0, 8
INVAR-1, Run: 024, F, 29, 0, 0, 9, 7, 10, 2, 5
INVAR-1, Run: 025, F, 35, 0, 0, 3, 11, 19, 0, 8
INVAR-1, Run: 026, F, 33, 0, 0, 5, 11, 19, 2, 10
INVAR-1, Run: 027, F, 28, 0, 0, 10, 7, 14, 3, 10
INVAR-1, Run: 028, F, 30, 0, 0, 8, 10, 15, 4, 9
INVAR-1, Run: 029, F, 31, 0, 0, 7, 10, 19, 3, 12
INVAR-1, Run: 030, F, 31, 0, 0, 7, 7, 10, 0, 3
INVAR-1, Run: 031, F, 28, 0, 0, 10, 5, 10, 1, 6
INVAR-1, Run: 032, F, 31, 0, 0, 7, 8, 15, 1, 8
INVAR-1, Run: 033, F, 33, 0, 0, 5, 9, 14, 0, 5
INVAR-1, Run: 034, F, 31, 0, 0, 7, 7, 8, 0, 1
INVAR-1, Run: 035, F, 31, 0, 0, 7, 10, 15, 3, 8
INVAR-1, Run: 036, F, 30, 0, 0, 8, 7, 11, 1, 5
INVAR-1, Run: 037, F, 28, 0, 0, 10, 6, 12, 2, 8
INVAR-1, Run: 038, F, 28, 0, 0, 10, 4, 9, 0, 5
INVAR-1, Run: 039, F, 28, 0, 0, 10, 5, 14, 1, 10
INVAR-1, Run: 040, F, 31, 0, 0, 7, 8, 15, 1, 8
INVAR-1, Run: 041, F, 30, 0, 0, 8, 6, 13, 0, 7
