Input Number, Run_Number, Result@ 100, ak, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 16, 7, 2, 0, 7, 2, 0, 4, 0, 9, 1, 2, 1, 16, 1, 1, 17, 5, 20, 7, 1, 1, 0, 0, 0, 0, 6, 2, 7, 3, 1, 0, 0, 3, 0, 10, 5, 11, 6, 1, 15, 3, 0, 3, 0, 2, 7, 3, 1, 1, 1, 1, 1, 0, 0, 6, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 1, 12, 2, 14, 3, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 7, 2, 0, 9, 0, 0, 0, 0, 3, 1, 1, 1, 17, 1, 0, 13, 3, 15, 4, 1, 1, 0, 0, 0, 0, 7, 0, 8, 1, 1, 0, 0, 7, 0, 21, 4, 22, 5, 1, 14, 4, 0, 6, 4, 0, 11, 1, 1, 1, 1, 1, 1, 0, 0, 9, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 3, 2, 1, 0, 0, 0, 19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 12, 1, 13, 2, 1, 1, 14, 4, 0, 15, 2, 20, 3, 1, 1, 0, 0, 0, 0, 6, 0, 7, 1, 1, 0, 0, 10, 0, 11, 3, 12, 4, 1, 16, 2, 0, 11, 3, 1, 14, 2, 1, 1, 1, 1, 1, 0, 0, 12, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 4, 17, 3, 21, 4, 1, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 8, 1, 0, 8, 1, 0, 0, 5, 3, 6, 2, 1, 16, 1, 1, 22, 7, 25, 9, 1, 1, 0, 0, 0, 0, 20, 6, 21, 7, 1, 0, 0, 8, 0, 4, 0, 4, 0, 0, 17, 0, 0, 1, 5, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 29, 7, 30, 8, 1, 1, 16, 1, 1, 7, 0, 10, 2, 1, 1, 0, 0, 0, 0, 4, 0, 5, 1, 1, 0, 0, 9, 0, 16, 0, 17, 1, 1, 13, 5, 0, 9, 3, 4, 15, 5, 1, 1, 1, 1, 1, 0, 0, 11, 0, 21, 3, 1, 0, 0, 0, 0, 0, 0, 4, 10, 2, 15, 4, 1, 0, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 7, 2, 0, 8, 1, 0, 2, 0, 6, 1, 0, 1, 16, 2, 0, 14, 5, 17, 6, 1, 1, 0, 0, 0, 0, 20, 3, 21, 4, 1, 0, 0, 1, 0, 29, 7, 30, 8, 1, 18, 0, 0, 8, 0, 3, 9, 4, 1, 1, 1, 1, 1, 0, 0, 2, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5, 0, 0, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 15, 9, 0, 0, 7, 2, 0, 5, 1, 8, 2, 3, 1, 14, 4, 0, 2, 0, 7, 1, 1, 1, 0, 0, 0, 0, 24, 8, 25, 9, 1, 0, 0, 5, 0, 28, 4, 29, 5, 1, 16, 1, 1, 9, 1, 3, 12, 5, 1, 1, 1, 1, 1, 0, 0, 9, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3, 1, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 14, 5, 15, 6, 0, 1, 16, 2, 0, 23, 13, 26, 14, 1, 1, 1, 0, 0, 0, 14, 1, 15, 1, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 16, 1, 1, 3, 8, 1, 6, 3, 1, 1, 1, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 9, 0, 0, 8, 1, 0, 37, 14, 39, 15, 0, 1, 15, 3, 0, 12, 1, 16, 2, 1, 1, 0, 0, 0, 0, 15, 3, 16, 4, 1, 0, 0, 17, 0, 18, 8, 18, 8, 0, 16, 2, 0, 37, 3, 10, 40, 11, 1, 1, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 010, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 7, 2, 0, 8, 1, 0, 4, 0, 8, 1, 1, 1, 16, 2, 0, 23, 3, 26, 4, 1, 1, 0, 0, 0, 0, 23, 8, 24, 9, 1, 0, 0, 4, 0, 0, 0, 1, 1, 1, 15, 2, 1, 32, 1, 6, 35, 7, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
