Input Number, Run_Number, Result@ 100, ak, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 16, 7, 2, 0, 9, 0, 0, 11, 3, 14, 4, 2, 1, 16, 1, 1, 0, 3, 3, 5, 1, 1, 0, 0, 0, 0, 9, 0, 10, 1, 1, 0, 0, 1, 0, 6, 1, 7, 2, 1, 18, 0, 0, 16, 1, 4, 17, 5, 1, 1, 1, 1, 1, 0, 0, 4, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 4, 1, 0, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 18, 7, 2, 0, 8, 0, 1, 6, 1, 10, 3, 0, 1, 17, 1, 0, 18, 7, 20, 8, 1, 1, 0, 0, 0, 0, 6, 1, 7, 2, 1, 0, 0, 8, 0, 18, 5, 19, 6, 1, 17, 1, 0, 9, 0, 5, 11, 6, 1, 1, 1, 1, 1, 0, 0, 9, 0, 25, 3, 0, 0, 0, 0, 0, 0, 0, 1, 5, 1, 9, 2, 1, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 8, 1, 0, 8, 1, 0, 14, 2, 17, 3, 0, 1, 15, 3, 0, 15, 3, 19, 4, 1, 1, 0, 0, 0, 0, 13, 4, 14, 5, 1, 0, 0, 25, 0, 4, 1, 5, 2, 1, 16, 2, 0, 28, 5, 8, 31, 8, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 9, 0, 0, 8, 1, 0, 11, 3, 13, 4, 0, 1, 16, 2, 0, 27, 10, 30, 11, 1, 1, 0, 0, 0, 0, 32, 7, 33, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 16, 2, 0, 2, 0, 1, 5, 2, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 12, 3, 13, 4, 1, 1, 18, 0, 0, 30, 11, 31, 12, 1, 1, 0, 0, 0, 0, 12, 2, 13, 3, 1, 0, 0, 5, 0, 18, 2, 19, 2, 0, 15, 3, 0, 12, 0, 6, 16, 7, 1, 1, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 18, 18, 9, 0, 0, 9, 0, 0, 26, 5, 27, 6, 0, 1, 17, 1, 0, 1, 1, 3, 2, 1, 1, 0, 0, 0, 0, 10, 2, 11, 3, 1, 0, 0, 3, 0, 2, 1, 3, 2, 1, 17, 1, 0, 2, 1, 2, 4, 3, 1, 1, 1, 1, 1, 0, 0, 4, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 5, 30, 6, 0, 0, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 9, 0, 0, 8, 1, 0, 14, 1, 16, 2, 1, 1, 17, 1, 0, 16, 4, 18, 5, 1, 1, 0, 0, 0, 0, 13, 0, 14, 1, 1, 0, 0, 3, 0, 26, 7, 27, 8, 1, 17, 1, 0, 11, 2, 3, 13, 4, 1, 1, 1, 1, 1, 0, 0, 5, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 2, 0, 0, 0, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 9, 0, 0, 9, 0, 0, 26, 9, 27, 10, 2, 1, 15, 2, 1, 53, 6, 57, 8, 1, 1, 0, 0, 0, 0, 17, 1, 18, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 16, 2, 0, 10, 0, 3, 13, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 9, 0, 0, 7, 1, 1, 35, 14, 38, 16, 2, 1, 16, 2, 0, 13, 4, 16, 5, 1, 1, 1, 0, 0, 0, 6, 2, 7, 3, 1, 0, 0, 10, 0, 6, 4, 7, 5, 1, 16, 1, 1, 3, 3, 1, 6, 3, 1, 1, 1, 1, 1, 0, 0, 14, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 5, 10, 3, 11, 3, 0, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, F, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 1, 18, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 9, 0, 0, 8, 1, 0, 0, 0, 2, 1, 3, 1, 15, 1, 2, 20, 4, 23, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 8, 1, 0, 9, 0, 0, 1, 0, 3, 1, 1, 1, 17, 0, 1, 11, 3, 13, 5, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 0, 0, 1, 1, 1, 16, 2, 0, 35, 2, 6, 38, 7, 1, 1, 1, 1, 1, 0, 0, 5, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 4, 1, 1, 0, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 16, 9, 0, 0, 7, 2, 0, 6, 4, 9, 5, 2, 1, 15, 2, 1, 0, 1, 4, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 24, 0, 2, 1, 3, 2, 1, 15, 3, 0, 2, 6, 0, 6, 1, 1, 1, 1, 1, 1, 0, 0, 27, 0, 29, 2, 0, 0, 0, 0, 0, 0, 0, 7, 15, 3, 18, 4, 1, 0, 0, 0, 24, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 18, 8, 1, 0, 8, 1, 0, 4, 0, 7, 1, 0, 1, 18, 0, 0, 5, 0, 6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 18, 0, 2, 0, 3, 1, 1, 16, 1, 0, 4, 6, 1, 6, 2, 1, 1, 1, 1, 1, 0, 0, 19, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 7, 6, 0, 8, 2, 1, 0, 0, 0, 19, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 9, 0, 0, 9, 0, 0, 20, 4, 21, 5, 1, 1, 14, 4, 0, 18, 7, 23, 8, 1, 1, 0, 0, 0, 0, 5, 0, 6, 1, 1, 0, 0, 7, 0, 14, 1, 15, 2, 1, 17, 1, 0, 20, 3, 3, 22, 4, 1, 1, 1, 1, 1, 0, 0, 9, 0, 29, 1, 0, 0, 0, 0, 0, 0, 0, 4, 4, 1, 6, 2, 1, 0, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, F, 0, 18, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 8, 1, 0, 8, 0, 0, 0, 0, 2, 1, 0, 1, 14, 3, 1, 21, 4, 26, 6, 1, 1, 0, 0, 0, 0, 21, 4, 22, 5, 1, 0, 0, 5, 0, 19, 3, 20, 4, 1, 17, 1, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 0, 0, 6, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 28, 2, 0, 0, 0, 0, 9, 2, 11, 1, 2, 0
INVAR-1, Run: 026, F, 0, 18, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 7, 2, 0, 8, 0, 0, 1, 0, 4, 1, 0, 1, 16, 2, 0, 23, 4, 26, 5, 1, 1, 0, 0, 0, 0, 1, 2, 2, 3, 1, 0, 0, 13, 0, 3, 0, 4, 1, 1, 16, 1, 1, 29, 1, 5, 31, 6, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, F, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 17, 9, 0, 0, 8, 1, 0, 9, 4, 11, 5, 1, 1, 17, 1, 0, 2, 0, 4, 1, 1, 1, 0, 0, 0, 0, 3, 0, 4, 1, 1, 0, 0, 2, 0, 14, 2, 15, 3, 1, 16, 1, 1, 9, 0, 2, 12, 4, 1, 1, 1, 1, 1, 0, 0, 4, 0, 30, 1, 1, 0, 0, 0, 0, 0, 0, 1, 17, 3, 20, 5, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
